id,part,problem,rest,location
101421,,,,
101422,INTAKE GASKET,LEAKING,,R/H ENG #2 CYL   
101423,,,,
101424,,,,
101425,ROCKER COVER GASKET,LEAKING,,"R/H ENG CYL #3, 1  "
101426,ROCKER COVER,LEAKING,,#2 & 4  
101427,ROCKER COVER GASKET,LEAKING,,#3  
101428,,,,
101429,ROCKER COVER GASKET,LEAKING,, CYL #2 & 4 
101430,,,,
101431,ROCKER COVER,LEAKING,,#1  
101432,,,,
101433,,,,
101434,INTAKE GASKET,LEAKING,,"R/H ENG CYL #4, 3  "
101435,INTAKE GASKET,LEAKING,,"L/H ENG CYL #1, 3  "
101436,ROCKER COVER GASKET,LEAKING,,"L/H ENG CYL #2, 3, 4  "
101437,CYL ROCKER COVER GASKET,LEAKING,,R/H ENG ALL   
101438,INTAKE GASKET,LEAKING,,CYL #4  
101439,,COMPRESSION,LOW COMPRESSION (54/80),R/H ENG #3 CYL   
101440,ROCKER COVER,LEAKING,,R/H ENG #2 & 3  
101441,ROCKER COVER,LEAKING,,L/H ENGINE #1 & 3  
101442,,,,
101443,ROCKER COVER,LEAKING,,#2  
101444,ROCKER COVER,LEAKING,,#4  
101445,INTAKE GASKET,LEAKING,,#2  
101446,IS,MISSING,A ROCKER COVER SCREW,#1 CYLINDER   
101447,INTAKE GASKET,LEAKING,, CYL #2 
101448,ROCKER COVER GASKET,LEAKING,, CYL #4 
101449,ROCKER COVER,LEAKING,,CYL #2 & 3  
101450,EXHAUST VALVE PUSH ROD TUBE,LEAK,IN,#3 CYLINDER   
101451,EXHAUST VALVE PUSH ROD TUBE,LEAK,IN,#3 CYLINDER   
101452,INTAKE,LEAKING,," 2, 3 & 4 R/H ENGINE"
101453,INTAKE,LEAKING,, 2 & 4 L/H ENGINE
101454,ROCKER COVER,LEAKING,," 1, 2 & 4 L/H ENGINE"
101455,,COMPRESSION,LOW COMPRESSION,#3 CYLINDER  R/H ENGINE  
101456,,COMPRESSION,LOW COMPRESSION,#3 CYLINDER  R/H ENGINE  
101457,,COMPRESSION,LOW COMPRESSION,#3 CYLINDER  R/H ENGINE  
101458,,COMPRESSION,LOW COMPRESSION,#3 CYLINDER  R/H ENGINE  
101459,,COMPRESSION,LOW COMPRESSION,#3 CYLINDER  R/H ENGINE  
101460,,COMPRESSION,LOW COMPRESSION,#3 CYLINDER  R/H ENGINE  
101461,INTAKE,LEAKING,,"R/H ENG, #1  "
101462,INTAKE TUBE GASKET,LEAKING,,"L/H ENG, #2  "
101463,,,,
101464,,,,
101465,ROCKER COVER,LEAKING,,"R/H ENG CYL #1, 2, 3 & 4  "
101466,ROCKER COVER GASKET,LEAKING,,"L/H ENG, CYL #1, 3, 4  "
101467,LWR INTAKE CLAMP,LOOSE,,#1 CYL   
101468,ROCKER COVER,LEAKING,,#2 & 3  
101469,,,,
101470,INTAKE,LEAKING,,#3  R/H ENGINE
101471,,,,
101472,ROCKER COVER,LEAKING,,"#1, 3 & 4 CYLINDER   "
101473,ROCKER COVER GASKET,LEAKING,,CYL #2  
101474,ROCKER COVER GASKET,LEAKING,,CYL #2  
101475,,,,
101476,ROCKER COVER,LEAKING,,#2  
101477,INTAKE GASKET,LEAKING,,CYL #2  
101478,ROCKER COVER GASKET,LEAKING,,"#2, 4  "
101479,INTAKE GASKET,LEAKING,, CYL #2 
101480,ROCKER COVER GASKET,LEAKING,," CYL #1, 2 & 3 "
101481,,,,
101482,,,,
101483,INTAKE,LEAKING,,CYL #4  
101484,ROCKER COVER,LEAKING,,CYL #3  
101485,ROCKER COVER GASKET,TORN,,CYL #1  
101486,INTAKE GASKET,LEAKING,,CYL #4  
101487,ROCKER COVER GASKET,LEAKING,,CYL #1 & 3  
101488,INTAKE,LEAKING,,#4  L/H ENGINE
101489,INTAKE,LEAKING,,#1 & 4  R/H ENGINE
101490,ROCKER COVER SCREW,LOOSE,,ALL   
101491,AFT BAFFLE,CRACKED,,L/H ENGINE CYL #3  
101492,,,,
101493,INTAKE GASKET,LEAKING,,"CYL #2, 3 & 4  L/H ENG"
101494,ROCKER COVER GASKET,LEAKING,,CYL #1 & 3  L/H ENG
101495,ROCKER COVER GASKET,LEAKING,,R/H ENG CYL 1 & 3  
101496,INTAKE PIPE,NEEDS,TO BE RESWEDGED INTO SUMP,CYL #3  
101497,BAFFLE MOUNTING SCREW,LOOSE,,R/H REAR   
101498,INTAKE TUBE GASKET,LEAKING,,#2  
101499,INTAKE,LEAKING,,#1  
101500,INTAKE GASKET,LEAKING,,#2  
101501,ROCKER GASKET,LEAKING,,"#2, 3, 4  "
101502,SIDE BAFFLE,CRACKED,,R/H   
101503,ROCKER COVER,LEAKING,,#1  
101504,,,,
101505,INTAKE,LEAKING,,#4  
101506,INTAKE,LEAKING,,#2  
101507,ROCKER COVER,LEAKING,,#2  
101508,ROCKER COVER,LEAKING,,#3  
101509,ROCKER COVER GASKET,LEAKING,,CYL #4  
101510,INTAKE GASKET,LEAKING,,#2 & 4  
101511,,,,
101512,SIDE OF ENG BAFFLE WIRE,LOOSE,,L/H   
101513,INTAKE GASKET,LEAKING,,L/H ENG CYL #2  
101514,INTAKE GASKET,LEAKING,,R/H ENG CYL #3  
101515,,,,
101516,INTAKE,LEAKING,,L/H ENG #2  
101517,ROCKER COVER,LEAKING,,L/H ENG #3  
101518,ENGINE BAFFLE BEHIND ALTERNATOR,CRACKED,,  
101519,ROCKER COVER GASKET,LEAKING,, #2 & 4 
101520,FWD BAFFLE,CRACKED,,R/H   
101521,ROCKER COVER,LEAKING,,#3  
101522,BAFFLE SCREW,MISSING,,R/H ENGINE   
101523,INTAKE,LEAKING,,#4  R/H ENGINE
101524,,,,
101525,INTAKE,LEAKING,,CYL #4  
101526,ROCKER COVER,LEAKING,,#1  
101527,ROCKER COVER,LEAKING,,#3  
101528,INTAKE GASKET,LEAKING,,#3  
101529,ROCKER COVER GASKET,LEAKING,,CYL #4  
101530,BAFFLE SEAL,TORN,,R/H ENG #4  
101531,INTAKE TUBE GASKET,LEAKING,,R/H ENG #3  
101532,BAFFLE TIE ROD SPACER,LOOSE,,R/H ENG #1 & 3  
101533,,,,
101534,INTAKE GASKET,LEAKING,,R/H ENG CYL #2  
101535,,,,
101536,INTAKE,LEAKING,,L/H ENG CYL #4  
101537,FWD BAFFLE SEAL,TORN,,L/H ENG CYL #2  
101538,,,,
101539,SNIFFLER VALVE HOSE ADEL CLAMP RUBBER,WORN,OUT,L/H ENG   
101540,ROCKER COVER,LEAKING,,"L/H ENG CYL #1, 2 & 3  "
101541,,,,
101542,ROCKER COVER GASKET,LEAKING,,"CYL #4, 3  "
101543,BACK BAFFLE BRACKET RIVET,SHEARED,OFF,R/H   
101544,,,,
101545,INTAKE,LEAKING,,#1  
101546,ROCKER COVER SCREW,LOOSE,,ALL   
101547,ADEL CLAMP,TORN,BY R/H ENGINE MOUNT,  
101548,,,,
101549,,,,
101550,TAB,BROKEN,"OFF BAFFLE PLUGS, L/H & R/H SIDES",  
101551,,,,
101552,,,,
101553,INTAKE GASKET,LEAKING,,L/H ENG #2  
101554,BAFFLE SEAL,LOOSE,"LH/ ENG, #4 AFT BAFFLE",  
101555,BAFFLE SEAL,LOOSE,SIDE BAFFLE,  R/H ENG #1
101556,ROCKER COVER GASKET,LEAKING,,#2 & 4 CYL   
101557,,,,
101558,,,,
101559,FWD BAFFLE SEAL,LOOSE,,R/H ENG   
101560,RIVET,MISSING,ENGINE DATA PLATE,  
101561,,,,
101562,OIL,LEAK,NOTED ON FRONT ENGINE SECTION,  
101563,OIL,LEAK,NOTED ON FRONT ENGINE SECTION,  
101564,INTAKE GASKET,LEAKING,,CYL #1  
101565,ROCKER COVER,LEAKING,,"CYL #2, 3 & 4  "
101566,,,,
101567,INTAKE GASKET,LEAKING,,CYL #4  
101568,FWD ENGINE BAFFLE,CRACKED,BEHIND ALTERNATOR,  
101569,ROCKER COVER GASKET,LEAKING,,"CYL #1, 2  "
101570,BAFFLE SCREW,LOOSE,,R/H REAR ENGINE   
101571,INTAKE,LEAKING,, #2 & 4 L/H ENGINE
101572,INTAKE GASKET,LEAKING,, CYL #2 
101573,ROCKER COVER GASKET,LEAKING,, CYL #2 
101574,INTAKE,LEAKING,,CYL #4  
101575,,,,
101576,ROCKER COVER GASKET,LEAKING,,#2  
101577,,,,
101578,INTAKE,LEAKING,,#1  
101579,,,,
101580,,,,
101581,,,,
101582,,,,
101583,INTAKE TUBE,LOOSE,,CYL #1  
101584,ROCKER COVER,LOOSE,SCREWS,ALL 4  
101585,,,,
101586,ROCKER COVER GASKET,LEAKING,,CYL #2  
101587,INTAKE,LEAKING,,CYL #4  
101588,2 INTAKE GASKET,LEAKING,,CYL 3  
101589,ROCKER COVER GASKET,LEAKING,,#3 CYL   
101590,FWD BAFFLE,CRACKED,@ HEAT SHROUD AIR INTAKE,  
101591,INTAKE GASKET,LEAKING,,CYL #2  
101592,ROCKER COVER GASKET,LEAKING,, #3 
101593,AFT BAFFLE SCREW,LOOSE,,#3 CYL   
101594,,,,
101595,ROCKER COVER GASKET,LEAKING,,#4  
101596,OIL LINE 90 DEGREE ADEL CLAMP BRACKET,BROKEN,,  
101597,ROCKER COVER GASKET,NEEDS,TO BE REPLACED,CYL #4  
101598,INTAKE,LEAKING,,CYL #2 & 3  
101599,BOTH BAFFLE PLUGS HAVE TOO MANY TAB,MISSING,,  
101600,ROCKER COVER,LEAKING,,CYL #2 & 4  
101601,,,,
101602,INTAKE,LEAKING,,#3 & 4  
101603,INTAKE TUBE AT SUMP HAS POSSIBLE FUEL,LEAK,,CYL #2  
101604,INTAKE,LEAKING,,#4  
101605,ROCKER COVER,LEAKING,,#1  
101606,ROCKER COVER,LEAKING,," 1, 2 & 4 "
101607,FWD BAFFLE SEAL,LOOSE,,R/H   
101608,INTAKE,LEAKING,,#4  
101609,INTAKE GASKET,LEAKING,,#4  
101610,ROCKER COVER,LEAKING,,CYL #2  
101611,ROCKER COVER GASKET,LEAKING,,"CYL #1, 3  "
101612,,,,
101613,,,,
101614,BAFFLE TIE ROD,BROKEN,,R/H   
101615,INTAKE,LEAKING,,#2  
101616,INTAKE GASKET,LEAKING,,L/H ENG #2  
101617,EXHAUST STACK,MISSING,"NUT, R/H",#1 CYL   
101618,,,,
101619,,,,
101620,,,,
101621,BAFFLE PLUG TANG,BROKEN,OFF,  
101622,INTAKE CYL GASKET,LEAKING,,#2  
101623,,,,
101624,INTAKE GASKET,LEAKING,,CYL #3  
101625,BAFFLE PLUG,NEEDS,TO BE REPLACED,R/H   
101626,INTAKE GASKET,LEAKING,,CYL #4 & 2  
101627,INDUCTION TUBE GASKET,LEAKING,,#2  
101628,FORWARD BAFFLE SEAL,LOOSE,,R/H   
101629,,,,
101630,,,,
101631,,,,
101632,,,,
101633,,,,
101634,,,,
101635,,,,
101636,FWD BAFFLE SEAL,LOOSE,,R/H   
101637,AFT BAFFLE SEAL,LOOSE,SIDE,  R/H 
101638,ROCKER COVER,LEAKING,,CYL #2 & 4  
101639,ROCKER COVER GASKET,LEAKING,,"#1, 2, 3 & 4  "
101640,INTAKE GASKET,LEAKING,,CYL #3  
101641,INTAKE,LEAKING,,#4  
101642,ROCKER COVER,LEAKING,,#1  
101643,INDUCTION TUBE GASKET,LEAKING,,#2  
101644,CYL,COMPRESSION,COMPRESSION TEST WAS 35/80,#4  
101645,CYL,COMPRESSION,COMPRESSION TEST WAS 35/80,#4  
101646,CYL,COMPRESSION,COMPRESSION TEST WAS 35/80,#4  
101647,CYL,COMPRESSION,COMPRESSION TEST WAS 35/80,#4  
101648,FWD BAFFLE SEAL,LOOSE,,R/H   
101649,,,,
101650,,,,
101651,INTAKE,LEAKING,,#4  
101652,,,,
101653,,,,
101654,,,,
101655,,,,
101656,,,,
101657,FWD BAFFLE,CRACKED,BEYOND STOP DRILL,#2  
101658,REAR BAFFLE BRACKET AT ENGINE CENTER,BROKEN,AT BOLT,  
101659,,,,
101660,ROCKER COVER,LEAKING,,#2  
101661,BAFFLE SCREW,LOOSE,,R/H REAR ENGINE   
101662,INTAKE,LEAKING,,#3  
101663,FWD ENGINE BAFFLE,MISSING,PLUG,R/H   
101664,INTAKE,LEAKING,,#4  
101665,ROCKER COVER,LEAKING,,#1  
101666,ROCKER COVER GASKET,LEAKING,,"CYL #2, 3 & 4  "
101667,,,,
101668,ROCKER COVER GASKET,TORN,," #2, 3 "
101669,INTAKE GASKET,LEAKING,,CYL #2  
101670,,,,
101671,BAFFLE SUPPORT ROD FOR,BROKEN,,R/H  CYL 1 & 3 
101672,AFT BAFFLE,SHEARED,RIVET,CYL #3  
101673,ROCKER COVER GASKET,LEAKING,,#2 & 4  
101674,BAFFLE SEAL,TORN,FWD OF #2 CYL ON L/H & R/H ENGINES,  
101675,,,,
101676,AFT BAFFLE,CRACKED,,#3 CYL  L/H ENG  
101677,INTAKE GASKET,LEAKING,,#4  
101678,ROCKER COVER,LEAKING,,#2  
101679,INTAKE GASKET,LEAKING,,CYL #2  
101680,INDUCTION TUBE GASKET,LEAKING,,R/H ENG #2  
101681,ROCKER COVER,LEAKING,," #2, 3 & 4 R/H ENGINE"
101682,ROCKER COVER,LEAKING,,#1 & 4  L/H ENGINE
101683,INTAKE,LEAKING,,#2  L/H ENGINE
101684,ROCKER COVER,LEAKING,,#2 & 4  L/H ENGINE
101685,ROCKER COVER,LEAKING,, #2 & 4 R/H ENGINE
101686,,COMPRESSION,LOW COMPRESSION,#3 CYL  R/H ENG  
101687,,COMPRESSION,LOW COMPRESSION,#3 CYL  R/H ENG  
101688,,COMPRESSION,LOW COMPRESSION,#3 CYL  R/H ENG  
101689,CYL,LEAKING,INTAKE TUBE AT OIL SUMP, #3 
101690,CYL,LEAKING,INTAKE TUBE AT OIL SUMP, #3 
101691,ROCKER COVER GASKET,LEAKING,," CYL #2, 3 & 4 "
101692,INTAKE,LEAKING,,#2  
101693,INTAKE,LEAKING,,#4  
101694,INTAKE GASKET,LEAKING,, #4 
101695,,,,
101696,INTAKE,LEAKING,,#1  
101697,BAFFLE SPARK PLUG ACCESS PLUG,WORN,,  
101698,INTAKE TUBE,LOOSE,,#4  
101699,INTAKE GASKET,LEAKING,,CYL #2  
101700,ROCKER COVER GASKET,LEAKING,,CYL #2 & 4  
101701,ALTERANATE AIR DOOR,WORN,,  
101702,BAFFLE,CRACKED,,CYL #1  
101703,INTAKE,LEAKING,,#4  
101704,ROCKER COVER GASKET,LEAKING,,CYL #2 & 3  
101705,ROCKER COVER GASKET,LEAKING,, CYL #2 
101706,BAFFLE,CRACKED,BY ENGINE MOUNT BOLT HOLE,R/H AFT   
101707,CENTER TOP BAFFLE BRACKET,CRACKED,,  
101708,INTAKE,LEAKING,,#2  
101709,ENG ROCKER COVER SCREW,LOOSE,,ALL   
101710,,,,
101711,INTAKE GASKET,LEAKING,,#4  
101712,ROCKER GASKET,LEAKING,,#4  
101713,,,,
101714,ROCKER COVER GASKET,LEAKING,, CYL #2 & 4 
101715,ROCKER COVER GASKET,LEAKING,,#2  
101716,,,,
101717,,BAD,EXHAUST VALVE,L/H ENGINE #4 CYLINDER   
101718,INTAKE,LEAKING,,#3  R/H ENGINE
101719,ROCKER COVER,LEAKING,,#1 & 3  L/H ENGINE
101720,,BAD,EXHAUST VALVE,L/H ENGINE #4 CYLINDER   
101721,,BAD,EXHAUST VALVE,L/H ENGINE #4 CYLINDER   
101722,,,,
101723,TOP BAFFLE SEAL I,LOOSE,,CYL #2  
101724,INTAKE GASKET,LEAKING,, CYL #3 
101725,ROCKER COVER GASKET,LEAKING,, CYL #3 
101726,INTAKE TUBE,LEAKING,AROUND OIL SUMP CONNECTION AREA, CYL #1 
101727,INTAKE TUBE,LEAKING,AROUND OIL SUMP CONNECTION AREA, CYL #1 
101728,INTAKE GASKET,LEAKING,,#4  
101729,ROCKER GASKET,LEAKING,,#3 & 4  
101730,,,,
101731,ROCKER COVER GASKET,LEAKING,,#2  
101732,INTAKE TUBE,LEAKING,AT SUMP & CYLINDER,#2  
101733,ROCKER COVER GASKET,LEAKING,,CYL #4  
101734,ROCKER COVER GASKET,LEAKING,,CYL #4  
101735,INTAKE GASKETS APPEAR TO BE,LEAKING,,"CYL #2, 4  "
101736,INTAKE,LEAKING,,#4  
101737,ROCKER COVER,LEAKING,,#3 & 2  
101738,,,,
101739,,,,
101740,ROCKER COVER GASKET,LEAKING,,CYL #4 & 2  
101741,,,,
101742,,,,
101743,ROCKER COVER GASKET,LEAKING,,#2 & 4  
101744,BAFFLE BUTTON PLUG,WORN,,  
101745,ROCKER COVER GASKET,TORN,,#3  
101746,INTAKE GASKET,LEAKING,,CYL #2  
101747,,,,
101748,ROCKER COVER GASKET,LEAKING,,CYL #3  
101749,ROCKER COVER GASKET,LEAKING,,#4  
101750,OIL COOLER LOWER BAFFLE SEAL,MISSING,,  
101751,ROCKER COVER,LEAKING,,#2  
101752,,,,
101753,ROCKER COVER GASKET,LEAKING,,CYL #1  
101754,INTAKE,LEAKING,,#2  
101755,ROCKER COVER,LEAKING,,#1 & 2  
101756,,,,
101757,,,,
101758,ROCKER COVER SCREW,MISSING,,#2 CYL   
101759,ROCKER COVER GASKET,LEAKING,,#1  
101760,INTAKE GASKET,LEAKING,, CYL #2 
101761,ROCKER COVER GASKET,LEAKING,, CYL #2 
101762,INTAKE GASKET,LEAKING,,#3  
101763,INTAKE,LEAKING,,#3  
101764,BAFFLE SAFETY WIRE,BROKEN,,R/H   
101765,BAFFLE BUTTON PLUG,BROKEN,,L/H   
101766,INTAKE,LEAKING,,#2  
101767,ROCKER COVER,LEAKING,,"CYL #1, 3, 4  "
101768,CASE HALVE,LEAKING,BOTTOM FWD PORTION,  
101769,INTAKE,LEAKING,,#1  
101770,,,,
101771,ROCKER COVER GASKET,LEAKING,, CYL #2 
101772,,,,
101773,INTAKE GASKET,LEAKING,,CYL #4  
101774,INTAKE,LEAKING,,#2 & 4  L/H ENGINE
101775,AFT BAFFLE BRACKET,CRACKED,,R/H ENG CYL #4  
101776,INTAKE GASKET,LEAKING,,R/H ENG CYL #3  
101777,ROCKER COVER,LEAKING,,"L/H ENG, CYL #2  "
101778,,,,
101779,ROCKER COVER GASKET,LEAKING,,R/H ENG CYL #3  
101780,INDUCTION TUBE GASKET,LEAKING,,#2  
101781,,,,
101782,INTAKE,LEAKING,,CYL #4  
101783,FWD LOWER ENGINE BAFFLE,CRACKED,,  
101784,SIDE BAFFLE,CRACKED,,R/H ENGINE   
101785,ROCKER COVER GASKET,LEAKING,,CYL #2  
101786,FORWARD BAFFLE NEAR ALTERNATOR,CRACKED,,  
101787,BOTH ENG BAFFLE BUTTON,WORN,,  
101788,ROCKER COVER SCREW,LOOSE,& 1 MISSING,ALL   
101789,INTAKE,LEAKING,,CYL #4  
101790,,,,
101791,,,,
101792,,,,
101793,INTAKE,LEAKING,,#3  
101794,BOTH BAFFLE PLUG,WORN,,  
101795,BAFFLE,CRACKED,,R/H AFT   
101796,ROCKER COVER GASKET,LEAKING,, CYL #1 
101797,ROCKER COVER GASKET,LEAKING,,#4  
101798,ROCKER COVER GASKET,LEAKING,,#4  
101799,SCREW,MISSING,ROCKER COVER,  #4
101800,INTAKE,LEAKING,,#4  
101801,BAFFLE PLUG LOCK TAB,MISSING,,L/H   
101802,ROCKER COVER,LEAKING,,#3  
101803,INTAKE,LEAKING,,#2  
101804,FWD ENGINE BAFFLE SEAL,LOOSE,,R/H   
101805,INDUCTION TUBE GASKET,LEAKING,,#2  
101806,BAFFLE SUPPORT BRACKET RIVET,BROKEN,,R/H REAR ENGINE   
101807,INTAKE,LEAKING,,#2 & 4  
101808,INTAKE,LEAKING,,#3  R/H ENGINE
101809,INTAKE,LEAKING,," 2, 3 & 4 L/H ENGINE"
101810,,,,
101811,,,,
101812,LOWER FRONT ENGINE CASE HALF SEAM,LEAKING,,  
101813,LOWER FRONT ENGINE CASE HALF SEAM,LEAKING,,  
101814,INTAKE TUBE,LEAKING,,#4  
101815,ROCKER COVER,LEAKING,,#1  
101816,,,,
101817,,,,
101818,ROCKER COVER GASKET,LEAKING,,CYL #2  
101819,INTAKE,LEAKING,,#4  
101820,ROCKER COVER,LEAKING,,#2  
101821,INTAKE,LEAKING,,#2  
101822,INTAKE,LEAKING,,#2  
101823,ROCKER COVER,LEAKING,,#1  
101824,ROCKER COVER GASKET,LEAKING,, #3 & 2 
101825,AFT BAFFLE,CRACKED,,CYL #4  
101826,BAFFLE PLUG,DAMAGED,,L/H ENGINE   
101827,INTAKE GASKET,LEAKING,,R/H #4  
101828,,,,
101829,INTAKE GASKET,LEAKING,,CYL #2  
101830,ROCKER COVER GASKET,LEAKING,, CYL #4 
101831,ROCKER COVER,LEAKING,,#1 & 3  
101832,ROCKER COVER,LEAKING,,#2 & 4  
101833,BOLT,MISSING,FROM #4 CYL HEAD,  
101834,BOLT,MISSING,FROM #4 CYL HEAD,  
101835,INTAKE,LEAKING,,#2 & 3  
101836,ROCKER COVER,LEAKING,,#2  
101837,INDUCTION TUBE GASKET,LEAKING,,#2  
101838,INDUCTION TUBE GASKET,LEAKING,,#4  
101839,,,,
101840,INTAKE GASKET,LEAKING,,#4  
101841,SCREW,MISSING,ROCKER COVER,  #2
101842,ROCKER COVER,LEAKING,,#3 & 4  
101843,INTAKE GASKET,LEAKING,,#3 & 1 CYL   
101844,,,,
101845,FWD LOWER BAFFLE SEAL,LOOSE,,  
101846,INTAKE GASKET,LEAKING,,CYL #2  
101847,ROCKER COVER GASKET,LEAKING,, CYL #1 & 2 
101848,,,,
101849,ROCKER COVER GASKET,LEAKING,,#2  
101850,ROCKER COVER GASKET FROM,LEAKING,, CYL #2 
101851,,,,
101852,,,,
101853,ROCKER COVER,LEAKING,,#3  
101854,ROCKER COVER,LEAKING,,#2 & 4  
101855,ROCKER COVER GASKET,TORN,,#4  
101856,INTAKE,LEAKING,,#4  
101857,BAFFLE SEAL RIVET,LOOSE,,L/H ENGINE   
101858,BAFFLE MOUNTING SCREW,MISSING,& BRACKET RIVE,R/H REAR ENGINE   
101859,INTAKE GASKET,LEAKING,, #1 & 3 
101860,BAFFLE PLUG TEETH,BROKEN,,CYLINDER #4  
101861,ROCKER COVER GASKET,LEAKING,," CYL #3, 4 "
101862,INTAKE GASKET,LEAKING,,#3  
101863,SIDE BAFFLE,CRACKED,,#1  
101864,ROCKER GASKET,LEAKING,,#3 & 4  
101865,INTAKE TUBE,LEAKING,,#4  
101866,INTAKE,LEAKING,,#3  R/H ENGINE
101867,HARDWARE,MISSING,,  L/H ENGINE #2 CYLINDER
101868,INTAKE,LEAKING,, 2 & 4 R/H ENGINE
101869,MUFFLER HEAT MUFF,CRACKED,,  
101870,,,,
101871,INTAKE GASKET,LEAKING,, CYL #2 & 4 
101872,INTAKE GASKET,LEAKING,,#4  
101873,INDUCTION TUBE GASKET,LEAKING,,#2  
101874,BOTH BAFFLE PLUG,BAD,,  
101875,ROCKER COVER,LEAKING,,#3  
101876,ROCKER COVER GASKET FROM,LEAKING,, CYL #2 
101877,INDUCTION TUBE GASKET,LEAKING,,#3  
101878,BAFFLE MOUNTING SCREW,MISSING,,R/H REAR ENGINE   
101879,,,,
101880,,,,
101881,,,,
101882,AFT BAFFLE,CRACKED,,#3  
101883,INTAKE GASKET,LEAKING,,#2 & 3  
101884,,,,
101885,OIL COOLER TO ENGINE LIFTING EYE BRACKET,BROKEN,,L/H ENGINE   
101886,LIFTING EYE BOLT,LEAKING,OIL,R/H ENGINE   
101887,INTAKE,LEAKING,,#2  
101888,BAFFLE BRACE,NEEDS,TO BE REMOVED FOR CAN O,R/H ENGINE #4 CYL   
101889,BAFFLE BRACE,NEEDS,TO BE REMOVED FOR CAN O,R/H ENGINE #4 CYL   
101890,,,,
101891,,,,
101892,BAFFLE PLUG,DAMAGED,,L/H   
101893,BAFFLE SCREW,MISSING,,CYL #2  
101894,,,,
101895,VALVE COVER,LEAKING,,ALL   
101896,INTAKE,LEAKING,,#2 & 4  
101897,ROCKER COVER,LEAKING,,CYL #2 & 3  
101898,INDUCTION TUBE GASKET,LEAKING,,#3  
101899,INTAKE GASKET,LEAKING,,#2 & 4  
101900,,,,
101901,,,,
101902,,,,
101903,ROCKER COVER GASKET,LEAKING,,CYL #3  
101904,CRANKSHAFT SEAL,LEAKING,,  
101905,CRANKSHAFT SEAL,LEAKING,,  
101906,CRANKSHAFT SEAL,LEAKING,,  
101907,INTAKE GASKET,LEAKING,,CYL #2 & 4  
101908,,,,
101909,INTAKE GASKET,LEAKING,,CYL #4  
101910,ROCKER COVER GASKET,LEAKING,,  CYL #2 & 3
101911,INTAKE,LEAKING,,#4  
101912,INTAKE,LEAKING,,#2 & 4  
101913,ENGINE BAFFLE PLUG,BAD,,  
101914,BAFFLE MOUNT SCREW,LOOSE,,R/H REAR ENGINE   
101915,BAFFLE TIE,BROKEN,,L/H   
101916,ROCKER COVER GASKET,LEAKING,,"CYL #2, 3  "
101917,CENTER AFT ENGINE BAFFLE,CRACKED,,  
101918,INTAKE GASKET,LEAKING,,#4  
101919,INTAKE GASKET,LEAKING,,#2  
101920,,,,
101921,INTAKE,LEAKING,,"#1, 2 & 4  "
101922,INTAKE GASKET,LEAKING,,#4  
101923,ROCKER COVER SCREW,LOOSE,,#2 & 4 CYL   
101924,,,,
101925,INTAKE GASKET,LEAKING,,CYL #2  
101926,ROCKER COVER GASKET,LEAKING,,CYL #3  
101927,ROCKER COVER GASKET,LEAKING,,#2 & 4  
101928,INTAKE,LEAKS,,#2 CYL   
101929,,COMPRESSION,LOW COMPRESSION,#1 CYL   
101930,,COMPRESSION,LOW COMPRESSION,#1 CYL   
101931,INTAKE,LEAKING,," 2, 3 & 4 "
101932,ENGINE BAFFLE PLUG,DAMAGED,,  
101933,,COMPRESSION,LOW COMPRESSION,#1 CYL   
101934,,COMPRESSION,LOW COMPRESSION,#1 CYL   
101935,,COMPRESSION,LOW COMPRESSION,#1 CYL   
101936,SIDE BAFFLE,CRACKED,,CYL #1 & 3  
101937,EXHAUST TUBE ELBOW TOP BOLT,NEEDS,TO BE RECOTTER PINN,CYL #2  
101938,ROCKER COVER GASKET,LEAKING,,CYL #1  
101939,,,,
101940,AFT BAFFLE SUPPORT,SHEARED,RIVET, CYL #3 
101941,BAFFLING,CRACKED,BY #4 CYLINDER,  R/H ENG 
101942,ROCKER COVER GASKET,LEAKING,,CYL #3  
101943,COOLING BAFFLE CONNECTING ROD,BROKEN,,L/H   
101944,,,,
101945,INTAKE GASKET,LEAKING,,CYL #2  
101946,ROCKER COVER GASKET,LEAKING,,"CYL #2, 4  "
101947,FWD CENTER ENG BAFFLE,CRACKED,,  
101948,ROCKER COVER GASKET,LEAKING,,"CYL #2, 3 & 4  "
101949,ROCKER COVER,LEAKING,,#2  
101950,HARDWARE,MISSING,BAFFLE,  R/H REAR 
101951,INDUCTION TUBE GASKET,LEAKING,,#2  
101952,BAFFLE SEAL BY PROP GOVERNOR,LOOSE,,R/H   
101953,INTAKE,LEAKING,,#2 & 4  
101954,INTAKE GASKET,LEAKING,, CYL #4 
101955,INTAKE GASKET,LEAKING,, CYL #1 & 3 
101956,ROCKER COVER GASKET,LEAKING,," CYL #3, 4, 1 "
101957,BAFFLING RIVET,SHEARED,,R/H AFT   
101958,LOWER SPARK PLUG BOSS THREAD,DAMAGED,,#3 CYL   
101959,BAFFLE PLUG,WORN,,R/H   
101960,FWD BAFFLE,CRACKED,,L/H   
101961,FWD ENG BAFFLE,CRACKED,AT CORNER,L/H   
101962,INTAKE GASKET,LEAKING,,#2  
101963,,,,
101964,INTAKE,LEAKING,,#2 & 3  L/H ENGINE
101965,INTAKE TUBE,DAMAGED,,#1  
101966,INTAKE,LEAKING,,#4  L/H ENGINE
