IDENT,LOCATION,PART,TGGEDPROBLEM
101427,#3,ROCKER COVER GASKET,LEAKING
101428,ENGINE,,LOST ABOUT 250 RPM
101429,CYL #2 & 4,ROCKER COVER GASKETS,LEAKING
101430,ENGINE,,OVER RIDE SPEED
101431,#1,ROCKER COVER,LEAKING
101432,CYL #3,,
101433,,,
101434,R/H ENG,INTAKE GASKETS,LEAKING
101435,"L/H ENG, CYL #1, 3",INTAKE GASKETS,LEAKING
101436,"L/H ENG CYL #2, 3",ROCKER COVER GASKETS,LEAKING
101437,R/H ENG ALL CYL,ROCKER COVER GASKETS,LEAKING
101438,CYL #4,INTAKE GASKET,LEAKING
101439,R/H ENG #3 CYL,,LOW COMPRESSION
101440,R/H ENG #2 & 3,ROCKER COVERS,LEAKING
101441,L/H ENGINE #1 & 3,ROCKER COVERS,LEAKING
101442,R/H ENGINE #4 CYLINDER,BAFFLE WIRE HARNESS TAB,
101443,#2,ROCKER COVER,LEAKING
101444,#4,ROCKER COVER,LEAKING
101445,#2,INTAKE GASKET,LEAKING
101446,#1 CYLINDER,,MISSING A ROCKER COVER
101447,CYL #2,INTAKE GASKET,LEAKING
101448,CYL #4,ROCKER COVER GASKET,LEAKING
101449,CYL #2 & 3,ROCKER COVERS,LEAKING
101450,#3 CYLINDER,VALVE PUSH ROD TUBE,
101451,#3 CYLINDER,VALVE PUSH ROD TUBE,
101452,"2, 3 & 4, R/H",INTAKES,LEAKING
101453,,INTAKES,LEAKING
101454,,ROCKER COVERS,LEAKING
101455,"#3 CYLINDER, R/H",,LOW COMPRESSION
101456,"#3 CYLINDER, R/H",,LOW COMPRESSION
101457,"#3 CYLINDER, R/H",,LOW COMPRESSION
101458,"#3 CYLINDER, R/H",,LOW COMPRESSION
101459,"#3 CYLINDER, R/H",,LOW COMPRESSION
101460,"#3 CYLINDER, R/H",,LOW COMPRESSION
101461,R/H,INTAKE,LEAKING
101462,L/H,INTAKE TUBE GASKET,LEAKING
101463,,A/C,NOT START
101464,"CYL #2, L/H",INTAKE GASKET,LEAKING
101465,"R/H ENG, CYL #1, 2, 3 & 4",ROCKER COVERS,LEAKING
101466,"L/H ENG, CYL #1, 3",ROCKER COVER GASKETS,LEAKING
101467,#1 CYL,INTAKE CLAMPS,LOOSE
101468,2 & 3,ROCKER COVERS,LEAKING
101469,"ENGINE, R/H",BAFFLE,CRACK
101470,"#3, R/H",INTAKE,LEAKING
101471,,,LOW
101472,"#1, 3 & 4 CYLINDER",ROCKER COVERS,LEAKING
101473,CYL #2,ROCKER COVER GASKET,LEAKING
101474,CYL #2,ROCKER COVER GASKET,LEAKING
101475,CYL #4,"SPARK PLUG, BAFFLE",
101476,#2,ROCKER COVER,LEAKING
101477,CYL #2,INTAKE GASKET,LEAKING
101478,"#2, 4",ROCKER COVER GASKETS,LEAKING
101479,CYL #2,INTAKE GASKET,LEAKING
101480,"CYL #1, 2 & 3",ROCKER COVER GASKETS,LEAKING
101481,R/H SIDE,BAFFLE,
101482,R/H,BAFFLE,CRACK
101483,CYL #4,INTAKE,LEAKING
101484,CYL #3,ROCKER COVER,LEAKING
101485,CYL #1,ROCKER COVER GASKET,TORN
101486,CYL #4,INTAKE GASKET,LEAKING
101487,CYL #1 & 3,ROCKER COVER GASKETS,LEAKING
101488,"#4, L/H",INTAKE,LEAKING
101489,"#1 & 4, R/H",INTAKES,LEAKING
101490,,ROCKER COVER SCREWS,LOOSE
101491,"L/H ENGINE, CYL #3",AFT BAFFLE,CRACKED
101492,"L/H ENGINE, CYL #1 & 3",BAFFLE TIE ROD AFT NUT,
101493,"CYL #2, 3 & 4, L/H",INTAKE GASKETS,LEAKING
101494,"CYL #1 & 3, L/H",ROCKER COVER GASKETS,LEAKING
101495,"R/H ENG, CYL 1 & 3",ROCKER COVER GASKETS,LEAKING
101496,CYL #3,INTAKE PIPE,SUMP
101497,R/H REAR,BAFFLE MOUNTING SCREW,LOOSE
101498,#2,INTAKE TUBE GASKET,LEAKING
101499,#1,INTAKE,LEAKING
101500,#2,INTAKE GASKET,LEAKING
101501,"2, 3",ROCKER GASKETS,LEAKING
101502,R/H SIDE,BAFFLE,CRACKED
101503,#1,ROCKER COVER,LEAKING
101504,#2,BAFFLE,CRACK
101505,#4,INTAKE,LEAKING
101506,#2,INTAKE,LEAKING
101507,#2,ROCKER COVER,LEAKING
101508,#3,ROCKER COVER,LEAKING
101509,CYL #4,ROCKER COVER GASKET,LEAKING
101510,#2 & 4,INTAKE GASKETS,LEAKING
101511,L/H,"INTER-CYLINDER, BAFFLE",LOOSE
101512,L/H SIDE,BAFFLE WIRE,LOOSE
101513,"L/H ENG, CYL #2",INTAKE GASKET,LEAKING
101514,"R/H ENG, CYL #3",INTAKE GASKET,LEAKING
101515,"L/H, R/H",BAFFLE,CRACKED
101516,L/H ENG #2,INTAKE,LEAKING
101517,L/H ENG #3,ROCKER COVER,LEAKING
101518,ENGINE,BAFFLE,CRACKED
101519,#2 & 4,ROCKER COVER GASKETS,LEAKING
101520,R/H,BAFFLE,CRACKED
101521,#3,ROCKER COVER,LEAKING
101522,R/H,BAFFLE,SCREW MISSING
101523,"#4, R/H",INTAKE,LEAKING
101524,,BAFFLE,CHAFING
101525,CYL #4,INTAKE,LEAKING
101526,#1,ROCKER COVER,LEAKING
101527,#3,ROCKER COVER,LEAKING
101528,#3,INTAKE GASKET,LEAKING
101529,CYL #4,ROCKER COVER GASKET,LEAKING
101530,R/H ENG #4,BAFFLE SEAL,TORN
101531,R/H ENG #3,INTAKE TUBE GASKET,LEAKING
101532,R/H ENG,BAFFLE TIE ROD SPACER,LOOSE
101533,CYL #3,INTAKE GASKET,LEAKING
101534,"R/H ENG, CYL #2",INTAKE GASKET,LEAKING
101535,CYL #3,BAFFLE I/B MOUNT RIVETS,SHEARED
101536,"L/H ENG, CYL #4",INTAKE,LEAKING
101537,"L/H ENG, CYL #2",BAFFLE SEAL,TORN
101538,"R/H ENG FWD, CYL #2",BAFFLE SEAL,TORN
101539,L/H ENG,VALVE HOSE ADEL,WORN
101540,"L/H ENG, CYL #1, 2 & 3",ROCKER COVERS,LEAKING
101541,"ENGINE, WHINE",SQUEAL,
101542,"CYL #4, 3",ROCKER COVER GASKETS,LEAKING
101543,R/H,BAFFLE BRACKET RIVET,SHEARED
101544,L/H,BAFFLE,CRACK
101545,#1,INTAKE,LEAKING
101546,,ROCKER COVER SCREWS,LOOSE
101547,R/H,,TORN
101548,,,
101549,LEFT ENGINE,,
101550,L/H & R/H,BAFFLE,BROKEN
101551,ENGINE,,QUIT
101552,"L/H, L/H","BAFFLE TIE ROD, BAFFLE",PULLED
101553,L/H ENG #2,INTAKE GASKET,LEAKING
101554,LH/ ENG,BAFFLE SEAL,LOOSE
101555,"R/H ENG, #1 SIDE","BAFFLE SEAL, BAFFLE",LOOSE
101556,#2 & 4 CYL,ROCKER COVER GASKETS,LEAKING
101557,R/H,RIGID LINE,CONTACTING
101558,R/H,RIGID LINE,CONTACTING
101559,R/H ENG,BAFFLE SEAL,LOOSE
101560,ENGINE,DATA PLATE,RIVETS MISSING
101561,ENGINE,,
101562,ENGINE,,SECTION
101563,ENGINE,,SECTION
101564,CYL #1,INTAKE GASKET,LEAKING
101565,"CYL #2, 3 & 4",ROCKER COVERS,LEAKING
101566,,BAFFLE,CHAFING
101567,CYL #4,INTAKE GASKET,LEAKING
101568,,BAFFLE,CRACKED
101569,"CYL #1, 2",ROCKER COVER GASKETS,LEAKING
101570,R/H REAR,BAFFLE SCREW,LOOSE
101571,#2 & 4,INTAKES,LEAKING
101572,CYL #2,INTAKE GASKET,LEAKING
101573,CYL #2,ROCKER COVER GASKET,LEAKING
101574,CYL #4,INTAKE,LEAKING
101575,,BAFFLE,CHAFING
101576,#2,ROCKER COVER GASKET,LEAKING
101577,CYL #1,BAFFLE SEAL,COMING OFF
101578,#1,INTAKE,LEAKING
101579,L/H,MAG DROPPED,
101580,L/H,MAG DROPPED,
101581,L/H,MAG DROPPED,
101582,L/H,MAG DROPPED,
101583,CYL #1,INTAKE TUBE,LOOSE
101584,ALL 4,ROCKER COVERS,LOOSE
101585,CYL #4,BAFFLE PLUG HOLE,ENLARGED
101586,CYL #2,ROCKER COVER GASKET,LEAKING
101587,CYL #4,INTAKE,LEAKING
101588,,INTAKE GASKET,LEAKING
101589,#3 CYL,ROCKER COVER GASKET,LEAKING
101590,,BAFFLE,CRACKED
101591,CYL #2,INTAKE GASKET,LEAKING
101592,#3,ROCKER COVER GASKET,LEAKING
101593,#3 CYL,AFT BAFFLE SCREW,LOOSE
101594,R/H,BAFFLE SEAL,LOOSE
101595,#4,ROCKER COVER GASKET,LEAKING
101596,,OIL LINE,BROKEN
101597,CYL #4,ROCKER COVER GASKET,
101598,CYL #2 & 3,INTAKES,LEAKING
101599,BOTH,BAFFLE,TABS MISSING
101600,CYL #2 & 4,ROCKER COVERS,LEAKING
101601,CYL #3,BAFFLE I/B MOUNT RIVETS,SHEARED
101602,#3 & 4,INTAKES,LEAKING
101603,CYL #2,INTAKE TUBE,
101604,#4,INTAKE,LEAKING
101605,#1,ROCKER COVER,LEAKING
101606,,ROCKER COVERS,LEAKING
101607,R/H,BAFFLE SEAL,LOOSE
101608,#4,INTAKE,LEAKING
101609,#4,INTAKE GASKET,LEAKING
101610,CYL #2,ROCKER COVER,LEAKING
101611,"CYL #1, 3",ROCKER COVER GASKETS,LEAKING
101612,ENGINE,,QUIT
101613,R/H,,NOT STAY
101614,R/H,BAFFLE TIE ROD,BROKEN
101615,#2,INTAKE,LEAKING
101616,L/H ENG #2,INTAKE GASKET,LEAKING
101617,"#1 CYL, R/H.",,
101618,R/H ENG #4,BAFFLE SEAL,TEARING OFF
101619,R/H ENG,,LEAKING
101620,#4 CYL,,BROKEN
101621,,BAFFLE PLUG TANGS,BROKEN OFF
101622,#2,INTAKE CYL GASKET,LEAKING
101623,R/H,BAFFLE SEAL,LOOSE
101624,CYL #3,INTAKE GASKET,LEAKING
101625,R/H,BAFFLE PLUG,
101626,CYL #4 & 2,INTAKE GASKETS,LEAKING
101627,#2,INDUCTION TUBE GASKET,LEAKING
101628,R/H,BAFFLE SEAL,LOOSE
101629,ENGINE,,ROUGH
101630,ENGINE,,ROUGH
101631,ENGINE,,ROUGH
101632,ENGINE,,ROUGH
101633,ENGINE,,ROUGH
101634,ENGINE,,ROUGH
101635,ENGINE,,ROUGH
101636,R/H,BAFFLE SEAL,LOOSE
101637,R/H SIDE,AFT BAFFLE SEAL,LOOSE
101638,CYL #2 & 4,ROCKER COVERS,LEAKING
101639,"#1, 2, 3 & 4",ROCKER COVER GASKETS,LEAKING
101640,CYL #3,INTAKE GASKET,LEAKING
101641,#4,INTAKE,LEAKING
101642,#1,ROCKER COVER,LEAKING
101643,#2,INDUCTION TUBE GASKET,LEAKING
101644,#4 CYL,,COMPRESSION TEST WAS
101645,#4 CYL,,COMPRESSION TEST WAS
101646,#4 CYL,,COMPRESSION TEST WAS
101647,#4 CYL,,COMPRESSION TEST WAS
101648,R/H,BAFFLE SEAL,LOOSE
101649,,"INTAKE TUBE CYL #4, AT ATTACH POINT TO OIL",
101650,,"INTAKE TUBE CYL #4, AT ATTACH POINT TO OIL",
101651,#4,INTAKE,LEAKING
101652,R/H,FWD I/B,"WIRING, NOT ATTACHED"
101653,R/H ENGINE,,
101654,CYL #2,OIL RETURN LINE,
101655,"#1 - 3, O/B",BAFFLE TIE,WORN
101656,#2,BAFFLE,CHAFING
101657,#2,BAFFLE,CRACKED
101658,"REAR, ENGINE",BAFFLE BRACKET,BROKEN
101659,CYL #2,OIL RETURN LINE,
101660,#2,ROCKER COVER,LEAKING
101661,R/H REAR,BAFFLE SCREW,LOOSE
101662,#3,INTAKE,LEAKING
101663,R/H FWD ENGINE,BAFFLE,MISSING PLUG
101664,#4,INTAKE,LEAKING
101665,#1,ROCKER COVER,LEAKING
101666,"CYL #2, 3 & 4",ROCKER COVER GASKETS,LEAKING
101667,,,"FAILED OVERRIDE, SPEED"
101668,"2, 3",ROCKER COVER GASKETS,TORN
101669,CYL #2,INTAKE GASKET,LEAKING
101670,ENGINE,,
101671,R/H,BAFFLE,BROKEN
101672,CYL #3,AFT BAFFLE,SHEARED
101673,#2 & 4,ROCKER COVER GASKETS,LEAKING
101674,"#2 CYL, L/H & R/H",BAFFLE SEAL,TORN
101675,#3 CYL RIGHT ENGINE,SHOWS,
101676,"#3 CYL, L/H ENG",,CRACKED
101677,#4,INTAKE GASKET,LEAKING
101678,#2,ROCKER COVER,LEAKING
101679,CYL #2,INTAKE GASKET,LEAKING
101680,R/H ENG #2,INDUCTION TUBE GASKET,LEAKING
101681,"2, 3 & 4, R/H",ROCKER COVERS,LEAKING
101682,"#1 & 4, L/H",ROCKER COVERS,LEAKING
101683,"#2, L/H",INTAKE,LEAKING
101684,"#2 & 4, L/H",ROCKER COVERS,LEAKING
101685,"#2 & 4, R/H",ROCKER COVERS,LEAKING
101686,"#3 CYL, R/H ENG",,LOW COMPRESSION
101687,"#3 CYL, R/H ENG",,LOW COMPRESSION
101688,"#3 CYL, R/H ENG",,LOW COMPRESSION
101689,CYL #3,INTAKE TUBE AT,
101690,CYL #3,INTAKE TUBE AT,
101691,"CYL #2, 3 & 4",ROCKER COVER GASKETS,LEAKING
101692,#2,INTAKE,LEAKING
101693,#4,INTAKE,LEAKING
101694,#4,INTAKE GASKET,LEAKING
101695,TOP OF ENGINE,,
101696,#1,INTAKE,LEAKING
101697,,BAFFLE SPARK PLUG,WORN
101698,#4,INTAKE TUBE,LOOSE
101699,CYL #2,INTAKE GASKET,LEAKING
101700,CYL #2 & 4,ROCKER COVER GASKETS,LEAKING
101701,,AIR DOOR,WORN
101702,CYL #1,BAFFLE,CRACKED
101703,#4,INTAKE,LEAKING
101704,CYL #2 & 3,ROCKER COVER GASKETS,LEAKING
101705,CYL #2,ROCKER COVER GASKET,LEAKING
101706,"R/H, ENGINE",AFT BAFFLE,"CRACKED, HOLE"
101707,,BAFFLE BRACKET,CRACKED
101708,#2,INTAKE,LEAKING
101709,,ROCKER COVER SCREWS,LOOSE
101710,,STARTER,"TURN TWICE, CUT OFF"
101711,#4,INTAKE GASKET,LEAKING
101712,#4,ROCKER GASKET,LEAKING
101713,,BAFFLE,WORN
101714,CYL #2 & 4,ROCKER COVER GASKETS,LEAKING
101715,#2,ROCKER COVER GASKET,LEAKING
101716,,,ROUGH
101717,L/H ENGINE #4 CYLINDER,,
101718,"#3, R/H",INTAKE,LEAKING
101719,"#1 & 3, L/H",ROCKER COVERS,LEAKING
101720,L/H ENGINE #4 CYLINDER,,
101721,L/H ENGINE #4 CYLINDER,,
101722,L/H,,
101723,CYL #2,BAFFLE SEAL,LOOSE
101724,CYL #3,INTAKE GASKET,LEAKING
101725,CYL #3,ROCKER COVER GASKET,LEAKING
101726,,INTAKE TUBE CYL #1,LEAKING
101727,,INTAKE TUBE CYL #1,LEAKING
101728,#4,INTAKE GASKET,LEAKING
101729,#3 & 4,ROCKER GASKETS,LEAKING
101730,ENGINE,,OVERSPEED
101731,#2,ROCKER COVER GASKET,LEAKING
101732,#2,INTAKE TUBE,LEAKING
101733,CYL #4,ROCKER COVER GASKET,LEAKING
101734,CYL #4,ROCKER COVER GASKET,LEAKING
101735,"CYL #2, 4",INTAKE GASKETS,LEAKING
101736,#4,INTAKE,LEAKING
101737,#3 & 2,ROCKER COVERS,LEAKING
101738,,,
101739,,,LOW POWER
101740,CYL #4 & 2,ROCKER COVER GASKETS,LEAKING
101741,#1 CYL,ROCKER OIL RETURN LINE,CHAFING
101742,#1 CYL,ROCKER OIL RETURN LINE,CHAFING
101743,#2 & 4,ROCKER COVER GASKETS,LEAKING
101744,,BAFFLE BUTTON PLUG,WORN
101745,#3,ROCKER COVER GASKET,TORN
101746,CYL #2,INTAKE GASKET,LEAKING
101747,,"FWD BOTTOM ENGINE, BAFFLE SEAL",HOLES
101748,CYL #3,ROCKER COVER GASKET,LEAKING
101749,#4,ROCKER COVER GASKET,LEAKING
101750,,BAFFLE SEAL,MISSING
101751,#2,ROCKER COVER,LEAKING
101752,"L/H, WILL",,NOT START
101753,CYL #1,ROCKER COVER GASKET,LEAKING
101754,#2,INTAKE,LEAKING
101755,#1 & 2,ROCKER COVERS,LEAKING
101756,,,LANDING
101757,,,OVERSPEED
101758,#2 CYL,ROCKER COVER SCREW,MISSING
101759,#1,ROCKER COVER GASKET,LEAKING
101760,CYL #2,INTAKE GASKET,LEAKING
101761,CYL #2,ROCKER COVER GASKET,LEAKING
101762,#3,INTAKE GASKET,LEAKING
101763,#3,INTAKE,LEAKING
101764,R/H,BAFFLE,BROKEN
101765,L/H,BAFFLE BUTTON PLUG,BROKEN
101766,#2,INTAKE,LEAKING
101767,"CYL #1, 3",ROCKER COVERS,LEAKING
101768,,,"LEAKING, PORTION"
101769,#1,INTAKE,LEAKING
101770,L/H I/B,BAFFLE SPRING,
101771,CYL #2,ROCKER COVER GASKET,LEAKING
101772,"2,",INTAKE GASKET,LEAKING
101773,CYL #4,INTAKE GASKET,LEAKING
101774,"#2 & 4, L/H",INTAKES,LEAKING
101775,R/H ENG,AFT BAFFLE BRACKET,CRACKED
101776,"R/H ENG, CYL #3",INTAKE GASKET,LEAKING
101777,"L/H ENG, CYL #2",ROCKER COVER,LEAKING
101778,"L/H, , CYL 3",ROCKER COVER GASKETS,LEAKING
101779,"R/H ENG, CYL #3",ROCKER COVER GASKET,LEAKING
101780,#2,INDUCTION TUBE GASKET,LEAKING
101781,,,"PARTICLE SEPERATOR, GRASS"
101782,CYL #4,INTAKE,LEAKING
101783,ENGINE,BAFFLE,CRACKED
101784,R/H,BAFFLE,CRACKED
101785,CYL #2,ROCKER COVER GASKET,LEAKING
101786,,BAFFLE NEAR,CRACKED
101787,BOTH ENG,BAFFLE BUTTONS,WORN
101788,,ROCKER COVER SCREWS,"LOOSE, MISSING"
101789,CYL #4,INTAKE,LEAKING
101790,ENGINE,,ROUGH
101791,ENGINE,,ROUGH
101792,ENGINE,,ROUGH
101793,#3,INTAKE,LEAKING
101794,,BAFFLE PLUGS,WORN
101795,R/H,AFT BAFFLE,CRACKED
101796,CYL #1,ROCKER COVER GASKET,LEAKING
101797,#4,ROCKER COVER GASKET,LEAKING
101798,#4,ROCKER COVER GASKET,LEAKING
101799,#4,ROCKER COVER,SCREW MISSING
101800,#4,INTAKE,LEAKING
101801,L/H,BAFFLE PLUG LOCK,TABS MISSING
101802,#3,ROCKER COVER,LEAKING
101803,#2,INTAKE,LEAKING
101804,R/H FWD ENGINE,BAFFLE SEAL,LOOSE
101805,#2,INDUCTION TUBE GASKET,LEAKING
101806,R/H REAR ENGINE,BAFFLE,BROKEN
101807,#2 & 4,INTAKES,LEAKING
101808,"#3, R/H",INTAKE,LEAKING
101809,"2, 3 & 4",INTAKES,LEAKING
101810,L/H,BAFFLE SEAL,LOOSE
101811,ENGINE,,"CLIMBING, CHOKED, FIRED"
101812,ENGINE,,LEAKING
101813,ENGINE,,LEAKING
101814,#4,INTAKE TUBE,LEAKING
101815,#1,ROCKER COVER,LEAKING
101816,LEFT,IDLER GEAR,SPALLING
101817,LEFT,IDLER GEAR,SPALLING
101818,CYL #2,ROCKER COVER GASKET,LEAKING
101819,#4,INTAKE,LEAKING
101820,#2,ROCKER COVER,LEAKING
101821,#2,INTAKE,LEAKING
101822,#2,INTAKE,LEAKING
101823,#1,ROCKER COVER,LEAKING
101824,#3,ROCKER COVER GASKETS,LEAKING
101825,CYL #4,AFT BAFFLE,CRACKED
101826,L/H,BAFFLE PLUG,DAMAGED
101827,R/H #4,INTAKE GASKET,LEAKING
101828,"CYL #2, 3",ROCKER COVER GASKETS,LEAKING
101829,CYL #2,INTAKE GASKET,LEAKING
101830,CYL #4,ROCKER COVER GASKET,LEAKING
101831,#1 & 3,ROCKER COVERS,LEAKING
101832,#2 & 4,ROCKER COVERS,LEAKING
101833,#4 CYL,,BOLT MISSING
101834,#4 CYL,,BOLT MISSING
101835,2 & 3,INTAKE,LEAKING
101836,#2,ROCKER COVER,LEAKING
101837,#2,INDUCTION TUBE GASKET,LEAKING
101838,#4,INDUCTION TUBE GASKET,LEAKING
101839,R/H,,
101840,#4,INTAKE GASKET,LEAKING
101841,#2,ROCKER COVER,SCREW MISSING
101842,#3 & 4,ROCKER COVER,LEAKING
101843,#3,INTAKE GASKETS,LEAKING
101844,,BAFFLE,"CRACK, CENTER"
101845,,BAFFLE SEAL,LOOSE
101846,CYL #2,INTAKE GASKET,LEAKING
101847,CYL #1 & 2,ROCKER COVER GASKETS,LEAKING
101848,L/H,"BAFFLE, AIR INTAKE DOWN",CRACKED
101849,#2,ROCKER COVER GASKET,LEAKING
101850,CYL #2,ROCKER COVER GASKET,LEAKING
101851,,,
101852,CYL #1 CLAMP,,LOOSE
101853,#3,ROCKER COVER,LEAKING
101854,#2 & 4,ROCKER COVER,LEAKING
101855,#4,ROCKER COVER GASKET,TORN
101856,#4,INTAKE,LEAKING
101857,L/H,BAFFLE SEAL RIVETS,LOOSE
101858,R/H REAR,BAFFLE MOUNTING SCREW,
101859,#1 & 3,INTAKE GASKETS,LEAKING
101860,CYLINDER #4,BAFFLE PLUG TEETH,BROKEN
101861,CYL #3,ROCKER COVER GASKETS,LEAKING
101862,#3,INTAKE GASKET,LEAKING
101863,#1 SIDE,BAFFLE,CRACKED
101864,#3 & 4,ROCKER GASKETS,LEAKING
101865,#4,INTAKE TUBE,LEAKING
101866,"#3, R/H",INTAKE,LEAKING
101867,L/H ENGINE #2 CYLINDER,,HARDWARE MISSING
101868,R/H,INTAKES,LEAKING
101869,,,"HEAT MUFF, CRACKED"
101870,,FAILS MIXTURE,"CK -, NO RPM RISE"
101871,CYL #2 & 4,INTAKE GASKETS,LEAKING
101872,#4,INTAKE GASKET,LEAKING
101873,#2,INDUCTION TUBE GASKET,LEAKING
101874,BOTH,BAFFLE,PLUGS BAD
101875,#3,ROCKER COVER,LEAKING
101876,CYL #2,ROCKER COVER GASKET,LEAKING
101877,#3,INDUCTION TUBE GASKET,LEAKING
101878,R/H REAR,BAFFLE MOUNTING SCREW,MISSING
101879,ENGINE,,
101880,ENGINE,,
101881,ENGINE,,
101882,#3,AFT BAFFLE,CRACKED
101883,2 & 3,INTAKE GASKETS,LEAKING
101884,R/H & L/H,VALVE COVERS,LEAKING
101885,"L/H, ENGINE",,"LIFTING, BROKEN"
101886,R/H ENGINE,,"LIFTING, LEAKING"
101887,#2,INTAKE,LEAKING
101888,R/H ENGINE #4,BAFFLE BRACE,
101889,R/H ENGINE #4,BAFFLE BRACE,
101890,,,DEFERRED
101891,LEFT ENGINE,,NOT START
101892,L/H,BAFFLE PLUG,DAMAGED
101893,CYL #2,BAFFLE SCREW,MISSING
101894,ENGINE,,NO FURTHER
101895,,VALVE COVERS,LEAKING
101896,#2 & 4,INTAKES,LEAKING
101897,CYL #2 & 3,ROCKER COVERS,LEAKING
101898,#3,INDUCTION TUBE GASKET,LEAKING
101899,#2 & 4,INTAKE GASKETS,LEAKING
101900,CYL #2,INTAKE GASKET,
101901,CYL #4,ROCKER COVER GASKET,
101902,ENGINE,,RPM OF 2720
101903,CYL #3,ROCKER COVER GASKET,LEAKING
101904,CRANKSHAFT SEAL,,LEAKING
101905,CRANKSHAFT SEAL,,LEAKING
101906,CRANKSHAFT SEAL,,LEAKING
101907,CYL #2 & 4,INTAKE GASKETS,LEAKING
101908,CYL #3,"AFT BAFFLE SCREW, BAFFLE","TIGHT, LOOSE"
101909,CYL #4,INTAKE GASKET,LEAKING
101910,CYL #2 & 3,ROCKER COVER GASKETS,LEAKING
101911,#4,INTAKE,LEAKING
101912,#2 & 4,INTAKES,LEAKING
101913,ENGINE,BAFFLE,PLUGS BAD
101914,R/H REAR,BAFFLE MOUNT SCREW,LOOSE
101915,L/H,BAFFLE TIE,BROKEN
101916,"CYL #2, 3",ROCKER COVER GASKETS,LEAKING
101917,,BAFFLE,CRACKED
101918,#4,INTAKE GASKET,LEAKING
101919,#2,INTAKE GASKET,LEAKING
101920,#2 CYL,,LOW
101921,"#1, 2 & 4",INTAKES,LEAKING
101922,#4,INTAKE GASKET,LEAKING
101923,#2 & 4 CYL,ROCKER COVER SCREWS,LOOSE
101924,L/H,BAFFLE PLUG HOLE,
101925,CYL #2,INTAKE GASKET,LEAKING
101926,CYL #3,ROCKER COVER GASKET,LEAKING
101927,#2 & 4,ROCKER COVER GASKETS,LEAKING
101928,#2 CYL,INTAKE,LEAKS
101929,#1 CYL,,LOW COMPRESSION
101930,#1 CYL,,LOW COMPRESSION
101931,"2, 3 & 4",INTAKE,LEAKING
101932,ENGINE,BAFFLE PLUGS,DAMAGED
101933,#1 CYL,,LOW COMPRESSION
101934,#1 CYL,,LOW COMPRESSION
101935,#1 CYL,,LOW COMPRESSION
101936,CYL #1 & 3 SIDE,BAFFLE,CRACKED
101937,CYL #2,EXHAUST TUBE,
101938,CYL #1,ROCKER COVER GASKET,LEAKING
101939,"CYL #2 & 4,",ROCKER COVER GASKETS,LEAKING
101940,CYL #3,AFT BAFFLE,SHEARED
101941,R/H,BAFFLING,CRACKED
101942,CYL #3,ROCKER COVER GASKET,LEAKING
101943,L/H,BAFFLE,BROKEN
101944,R/H CYL,"BAFFLE, OIL RETURN LINE",
101945,CYL #2,INTAKE GASKET,LEAKING
101946,"CYL #2, 4",ROCKER COVER GASKETS,LEAKING
101947,,BAFFLE,CRACKED
101948,"CYL #2, 3 & 4",ROCKER COVER GASKETS,LEAKING
101949,#2,ROCKER COVER,LEAKING
101950,R/H REAR,,HARDWARE MISSING
101951,#2,INDUCTION TUBE GASKET,LEAKING
101952,R/H,BAFFLE SEAL,LOOSE
101953,#2 & 4,INTAKE,LEAKING
101954,CYL #4,INTAKE GASKET,LEAKING
101955,CYL #1 & 3,INTAKE GASKETS,LEAKING
101956,CYL #3,ROCKER COVER GASKETS,LEAKING
101957,R/H,AFT BAFFLING RIVETS,SHEARED
101958,#3 CYL,SPARK PLUG,DAMAGED
101959,R/H,BAFFLE PLUG,WORN
101960,L/H,BAFFLE,CRACKED
101961,L/H,BAFFLE,CRACKED
101962,#2,INTAKE GASKET,LEAKING
101963,#4,ROCKER COVER,WON'T TIGHTEN
101964,"2 & 3, L/H",INTAKES,LEAKING
101965,#1,INTAKE TUBE,DAMAGED
101966,"#4, L/H",INTAKE,LEAKING
101967,"#3, L/H",INTAKE,LEAKING
101968,"2, 3 & 4",INTAKES,LEAKING
101969,#2,INTAKE GASKET,LEAKING
101970,,ROCKER COVER GASKET,LEAKING
101971,ENGINE,BAFFLE SEAL,LOOSE
101972,#2 & 4,INTAKES,LEAKING
101973,CYL #2,INTAKE GASKET,LEAKING
101974,R/H,BAFFLE PLUG,MISSING
101975,LEFT & RIGHT,BAFFLE PLUGS,
101976,,BAFFLE PLUG,WORN
101977,2 & 3,ROCKER COVER GASKETS,LEAKING
101978,L/H,BAFFLE,SCREW MISSING
101979,R/H,BAFFLE #2 & 4 CROSSTIE,BROKEN
101980,"R/H ENG #2, 3 & 4",ROCKER BOX COVERS,LEAKING
101981,CYL #3,ROCKER COVER GASKET,LEAKING
101982,R/H AFT COOLING,,SHEARED
101983,CYL #3,ROCKER COVER GASKET,LEAKING
101984,,BAFFLE,
101985,"CYL #2, 4",ROCKER COVER GASKETS,LEAKING
101986,#4,BAFFLE,CRACKED
101987,CYL #2 & 3,ROCKER COVER GASKETS,LEAKING
101988,"#4, R/H",INTAKE,LEAKING
101989,"#2 & 4, L/H",INTAKES,LEAKING
101990,"#2, R/H",ROCKER COVER,LEAKING
101991,"#3, L/H",ROCKER COVER,LEAKING
101992,R/H,,SEEPING
101993,R/H,,SEEPING
101994,CYL #3,ROCKER COVER GASKET,LEAKING
