id,part,problem,rest,cylinders,engine
101496,INTAKE PIPE,NEEDS,TO BE RESWEDGED INTO SUMP,3,
101497,BAFFLE MOUNTING SCREW,LOOSE,,,R/H REAR
101498,INTAKE TUBE GASKET,LEAKING,,2,
101499,INTAKE,LEAKING,,1,
101500,INTAKE GASKET,LEAKING,,2,
101501,ROCKER GASKET,LEAKING,,4 3 2,
101502,SIDE BAFFLE,CRACKED,,,R/H
101503,ROCKER COVER,LEAKING,,1,
101504,,,,,
101505,INTAKE,LEAKING,,4,
101506,INTAKE,LEAKING,,2,
101507,ROCKER COVER,LEAKING,,2,
101508,ROCKER COVER,LEAKING,,3,
101509,ROCKER COVER GASKET,LEAKING,,4,
101510,INTAKE GASKET,LEAKING,,4 2,
101511,,,,,
101512,,LOOSE,,,L/H
101513,INTAKE GASKET,LEAKING,,2,L/H
101514,INTAKE GASKET,LEAKING,,3,R/H
101515,,,,,
101516,INTAKE,LEAKING,,2,L/H
101517,ROCKER COVER,LEAKING,,3,L/H
101518,,CRACKED,,,
101519,ROCKER COVER GASKET,LEAKING,,4 2,
101520,FWD BAFFLE,CRACKED,,,R/H
101521,ROCKER COVER,LEAKING,,3,
101522,BAFFLE SCREW,MISSING,,,R/H
101523,INTAKE,LEAKING,,4,R/H
101524,,,,,
101525,INTAKE,LEAKING,,4,
101526,ROCKER COVER,LEAKING,,1,
101527,ROCKER COVER,LEAKING,,3,
101528,INTAKE GASKET,LEAKING,,3,
101529,ROCKER COVER GASKET,LEAKING,,4,
101530,BAFFLE SEAL,TORN,,4,R/H
101531,INTAKE TUBE GASKET,LEAKING,,3,R/H
101532,BAFFLE TIE ROD SPACER,LOOSE,,3 1,R/H
101533,,,,,
101534,INTAKE GASKET,LEAKING,,2,R/H
101535,,,,,
101536,INTAKE,LEAKING,,4,L/H
101537,FWD BAFFLE SEAL,TORN,,2,L/H
101538,,,,,
101539,,WORN,OUT,,L/H
101540,ROCKER COVER,LEAKING,,3 2 1,L/H
101541,,,,,
101542,ROCKER COVER GASKET,LEAKING,,4 3,
101543,BACK BAFFLE BRACKET RIVET,SHEARED,OFF,,R/H
101544,,,,,
101545,INTAKE,LEAKING,,1,
101546,ROCKER COVER SCREW,LOOSE,,4 3 2 1,
101547,ADEL CLAMP,TORN,BY R/H ENGINE MOUNT,,
101548,,,,,
101549,,,,,
101550,,BROKEN,"OFF BAFFLE PLUGS, L/H & R/H SIDES",,
101551,,,,,
101552,,,,,
101553,INTAKE GASKET,LEAKING,,2,L/H
101554,BAFFLE SEAL,LOOSE,"LH/ ENG, #4 AFT BAFFLE",,
101555,BAFFLE SEAL,LOOSE,SIDE BAFFLE,1,R/H
101556,ROCKER COVER GASKET,LEAKING,,4 2,
101557,,,,,
101558,,,,,
101559,FWD BAFFLE SEAL,LOOSE,,,R/H
101560,RIVET,MISSING,ENGINE DATA PLATE,,
101561,,,,,
101562,OIL,LEAK,NOTED ON FRONT ENGINE SECTION,,
101563,OIL,LEAK,NOTED ON FRONT ENGINE SECTION,,
101564,INTAKE GASKET,LEAKING,,1,
101565,ROCKER COVER,LEAKING,,4 3 2,
101566,,,,,
101567,INTAKE GASKET,LEAKING,,4,
101568,FWD ENGINE BAFFLE,CRACKED,BEHIND ALTERNATOR,,
101569,ROCKER COVER GASKET,LEAKING,,2 1,
101570,BAFFLE SCREW,LOOSE,,,R/H REAR
101571,INTAKE,LEAKING,,4 2,L/H
101572,INTAKE GASKET,LEAKING,,2,
101573,ROCKER COVER GASKET,LEAKING,,2,
101574,INTAKE,LEAKING,,4,
101575,,,,,
101576,ROCKER COVER GASKET,LEAKING,,2,
101577,,,,,
101578,INTAKE,LEAKING,,1,
101579,,,,,
101580,,,,,
101581,,,,,
101582,,,,,
101583,INTAKE TUBE,LOOSE,,1,
101584,ROCKER COVER,LOOSE,SCREWS,4 3 2 1,
101585,,,,,
101586,ROCKER COVER GASKET,LEAKING,,2,
101587,INTAKE,LEAKING,,4,
101588,2 INTAKE GASKET,LEAKING,,3,
101589,ROCKER COVER GASKET,LEAKING,,3,
101590,FWD BAFFLE,CRACKED,@ HEAT SHROUD AIR INTAKE,,
101591,INTAKE GASKET,LEAKING,,2,
101592,ROCKER COVER GASKET,LEAKING,,3,
101593,AFT BAFFLE SCREW,LOOSE,,3,
101594,,,,,
101595,ROCKER COVER GASKET,LEAKING,,4,
101596,OIL LINE 90 DEGREE ADEL CLAMP BRACKET,BROKEN,,,
101597,ROCKER COVER GASKET,NEEDS,TO BE REPLACED,4,
101598,INTAKE,LEAKING,,3 2,
101599,,MISSING,,,
101600,ROCKER COVER,LEAKING,,4 2,
101601,,,,,
101602,INTAKE,LEAKING,,4 3,
101603,,LEAK,,2,
101604,INTAKE,LEAKING,,4,
101605,ROCKER COVER,LEAKING,,1,
101606,ROCKER COVER,LEAKING,,4 2 1,
101607,FWD BAFFLE SEAL,LOOSE,,,R/H
101608,INTAKE,LEAKING,,4,
101609,INTAKE GASKET,LEAKING,,4,
101610,ROCKER COVER,LEAKING,,2,
101611,ROCKER COVER GASKET,LEAKING,,3 1,
101612,,,,,
101613,,,,,
101614,BAFFLE TIE ROD,BROKEN,,,R/H
101615,INTAKE,LEAKING,,2,
101616,INTAKE GASKET,LEAKING,,2,L/H
101617,,MISSING,"NUT, R/H",1,
101618,,,,,
101619,,,,,
101620,,,,,
101621,,BROKEN,OFF,,
101622,INTAKE CYL GASKET,LEAKING,,2,
101623,,,,,
101624,INTAKE GASKET,LEAKING,,3,
101625,BAFFLE PLUG,NEEDS,TO BE REPLACED,,R/H
101626,INTAKE GASKET,LEAKING,,4 2,
101627,INDUCTION TUBE GASKET,LEAKING,,2,
101628,FORWARD BAFFLE SEAL,LOOSE,,,R/H
101629,,,,,
101630,,,,,
101631,,,,,
101632,,,,,
101633,,,,,
101634,,,,,
101635,,,,,
101636,FWD BAFFLE SEAL,LOOSE,,,R/H
101637,AFT BAFFLE SEAL,LOOSE,SIDE,,R/H
101638,ROCKER COVER,LEAKING,,4 2,
101639,ROCKER COVER GASKET,LEAKING,,4 3 2 1,
101640,INTAKE GASKET,LEAKING,,3,
101641,INTAKE,LEAKING,,4,
101642,ROCKER COVER,LEAKING,,1,
101643,INDUCTION TUBE GASKET,LEAKING,,2,
101644,CYL,COMPRESSION,COMPRESSION TEST WAS 35/80,4,
101645,CYL,COMPRESSION,COMPRESSION TEST WAS 35/80,4,
101646,CYL,COMPRESSION,COMPRESSION TEST WAS 35/80,4,
101647,CYL,COMPRESSION,COMPRESSION TEST WAS 35/80,4,
101648,FWD BAFFLE SEAL,LOOSE,,,R/H
101649,,,,,
101650,,,,,
101651,INTAKE,LEAKING,,4,
101652,,,,,
101653,,,,,
101654,,,,,
101655,,,,,
101656,,,,,
101657,FWD BAFFLE,CRACKED,BEYOND STOP DRILL,2,
101658,,BROKEN,AT BOLT,,
101659,,,,,
101660,ROCKER COVER,LEAKING,,2,
101661,BAFFLE SCREW,LOOSE,,,R/H REAR
101662,INTAKE,LEAKING,,3,
101663,FWD ENGINE BAFFLE,MISSING,PLUG,,R/H
101664,INTAKE,LEAKING,,4,
101665,ROCKER COVER,LEAKING,,1,
101666,ROCKER COVER GASKET,LEAKING,,4 3 2,
101667,,,,,
101668,ROCKER COVER GASKET,TORN,,3 2,
101669,INTAKE GASKET,LEAKING,,2,
101670,,,,,
101671,,BROKEN,,3 1,R/H
101672,AFT BAFFLE,SHEARED,RIVET,3,
101673,ROCKER COVER GASKET,LEAKING,,4 2,
101674,BAFFLE SEAL,TORN,FWD OF #2 CYL ON L/H & R/H ENGINES,,
101675,,,,,
101676,AFT BAFFLE,CRACKED,,3,L/H
101677,INTAKE GASKET,LEAKING,,4,
101678,ROCKER COVER,LEAKING,,2,
101679,INTAKE GASKET,LEAKING,,2,
101680,INDUCTION TUBE GASKET,LEAKING,,2,R/H
101681,ROCKER COVER,LEAKING,,4 3 2,R/H
101682,ROCKER COVER,LEAKING,,4 1,L/H
101683,INTAKE,LEAKING,,2,L/H
101684,ROCKER COVER,LEAKING,,4 2,L/H
101685,ROCKER COVER,LEAKING,,4 2,R/H
101686,,COMPRESSION,LOW COMPRESSION,3,R/H
101687,,COMPRESSION,LOW COMPRESSION,3,R/H
101688,,COMPRESSION,LOW COMPRESSION,3,R/H
101689,CYL,LEAKING,INTAKE TUBE AT OIL SUMP,3,
101690,CYL,LEAKING,INTAKE TUBE AT OIL SUMP,3,
101691,ROCKER COVER GASKET,LEAKING,,4 3 2,
101692,INTAKE,LEAKING,,2,
101693,INTAKE,LEAKING,,4,
101694,INTAKE GASKET,LEAKING,,4,
101695,,,,,
101696,INTAKE,LEAKING,,1,
101697,BAFFLE SPARK PLUG ACCESS PLUG,WORN,,,
101698,INTAKE TUBE,LOOSE,,4,
101699,INTAKE GASKET,LEAKING,,2,
101700,ROCKER COVER GASKET,LEAKING,,4 2,
101701,,WORN,,,
101702,BAFFLE,CRACKED,,1,
101703,INTAKE,LEAKING,,4,
101704,ROCKER COVER GASKET,LEAKING,,3 2,
101705,ROCKER COVER GASKET,LEAKING,,2,
101706,BAFFLE,CRACKED,BY ENGINE MOUNT BOLT HOLE,,R/H AFT
101707,CENTER TOP BAFFLE BRACKET,CRACKED,,,
101708,INTAKE,LEAKING,,2,
101709,ENG ROCKER COVER SCREW,LOOSE,,4 3 2 1,
101710,,,,,
101711,INTAKE GASKET,LEAKING,,4,
101712,ROCKER GASKET,LEAKING,,4,
101713,,,,,
101714,ROCKER COVER GASKET,LEAKING,,4 2,
101715,ROCKER COVER GASKET,LEAKING,,2,
101716,,,,,
101717,,BAD,EXHAUST VALVE,4,L/H
101718,INTAKE,LEAKING,,3,R/H
101719,ROCKER COVER,LEAKING,,3 1,L/H
101720,,BAD,EXHAUST VALVE,4,L/H
101721,,BAD,EXHAUST VALVE,4,L/H
101722,,,,,
101723,,LOOSE,,2,
101724,INTAKE GASKET,LEAKING,,3,
101725,ROCKER COVER GASKET,LEAKING,,3,
101726,INTAKE TUBE,LEAKING,AROUND OIL SUMP CONNECTION AREA,1,
101727,INTAKE TUBE,LEAKING,AROUND OIL SUMP CONNECTION AREA,1,
101728,INTAKE GASKET,LEAKING,,4,
101729,ROCKER GASKET,LEAKING,,4 3,
101730,,,,,
101731,ROCKER COVER GASKET,LEAKING,,2,
101732,INTAKE TUBE,LEAKING,AT SUMP & CYLINDER,2,
101733,ROCKER COVER GASKET,LEAKING,,4,
101734,ROCKER COVER GASKET,LEAKING,,4,
101735,,LEAKING,,4 2,
101736,INTAKE,LEAKING,,4,
101737,ROCKER COVER,LEAKING,,3 2,
101738,,,,,
101739,,,,,
101740,ROCKER COVER GASKET,LEAKING,,4 2,
101741,,,,,
101742,,,,,
101743,ROCKER COVER GASKET,LEAKING,,4 2,
101744,BAFFLE BUTTON PLUG,WORN,,,
101745,ROCKER COVER GASKET,TORN,,3,
101746,INTAKE GASKET,LEAKING,,2,
101747,,,,,
101748,ROCKER COVER GASKET,LEAKING,,3,
101749,ROCKER COVER GASKET,LEAKING,,4,
101750,OIL COOLER LOWER BAFFLE SEAL,MISSING,,,
101751,ROCKER COVER,LEAKING,,2,
101752,,,,,
101753,ROCKER COVER GASKET,LEAKING,,1,
101754,INTAKE,LEAKING,,2,
101755,ROCKER COVER,LEAKING,,2 1,
101756,,,,,
101757,,,,,
101758,ROCKER COVER SCREW,MISSING,,2,
101759,ROCKER COVER GASKET,LEAKING,,1,
101760,INTAKE GASKET,LEAKING,,2,
101761,ROCKER COVER GASKET,LEAKING,,2,
101762,INTAKE GASKET,LEAKING,,3,
101763,INTAKE,LEAKING,,3,
101764,,BROKEN,,,R/H
101765,BAFFLE BUTTON PLUG,BROKEN,,,L/H
101766,INTAKE,LEAKING,,2,
101767,ROCKER COVER,LEAKING,,4 3 1,
101768,,LEAKING,BOTTOM FWD PORTION,,
101769,INTAKE,LEAKING,,1,
101770,,,,,
101771,ROCKER COVER GASKET,LEAKING,,2,
101772,,,,,
101773,INTAKE GASKET,LEAKING,,4,
101774,INTAKE,LEAKING,,4 2,L/H
101775,AFT BAFFLE BRACKET,CRACKED,,4,R/H
101776,INTAKE GASKET,LEAKING,,3,R/H
101777,ROCKER COVER,LEAKING,,2,L/H
101778,,,,,
101779,ROCKER COVER GASKET,LEAKING,,3,R/H
101780,INDUCTION TUBE GASKET,LEAKING,,2,
101781,,,,,
101782,INTAKE,LEAKING,,4,
101783,FWD LOWER ENGINE BAFFLE,CRACKED,,,
101784,SIDE BAFFLE,CRACKED,,,R/H
101785,ROCKER COVER GASKET,LEAKING,,2,
101786,,CRACKED,,,
101787,,WORN,,,
101788,ROCKER COVER SCREW,LOOSE,& 1 MISSING,4 3 2 1,
101789,INTAKE,LEAKING,,4,
101790,,,,,
101791,,,,,
101792,,,,,
101793,INTAKE,LEAKING,,3,
101794,BOTH BAFFLE PLUG,WORN,,,
101795,BAFFLE,CRACKED,,,R/H AFT
101796,ROCKER COVER GASKET,LEAKING,,1,
101797,ROCKER COVER GASKET,LEAKING,,4,
101798,ROCKER COVER GASKET,LEAKING,,4,
101799,SCREW,MISSING,ROCKER COVER,4,
101800,INTAKE,LEAKING,,4,
101801,,MISSING,,,L/H
101802,ROCKER COVER,LEAKING,,3,
101803,INTAKE,LEAKING,,2,
101804,FWD ENGINE BAFFLE SEAL,LOOSE,,,R/H
101805,INDUCTION TUBE GASKET,LEAKING,,2,
101806,BAFFLE SUPPORT BRACKET RIVET,BROKEN,,,R/H REAR
101807,INTAKE,LEAKING,,4 2,
101808,INTAKE,LEAKING,,3,R/H
101809,INTAKE,LEAKING,,4 3 2,L/H
101810,,,,,
101811,,,,,
101812,,LEAKING,,,
101813,,LEAKING,,,
101814,INTAKE TUBE,LEAKING,,4,
101815,ROCKER COVER,LEAKING,,1,
101816,,,,,
101817,,,,,
101818,ROCKER COVER GASKET,LEAKING,,2,
101819,INTAKE,LEAKING,,4,
101820,ROCKER COVER,LEAKING,,2,
101821,INTAKE,LEAKING,,2,
101822,INTAKE,LEAKING,,2,
101823,ROCKER COVER,LEAKING,,1,
101824,ROCKER COVER GASKET,LEAKING,,3 2,
101825,AFT BAFFLE,CRACKED,,4,
101826,BAFFLE PLUG,DAMAGED,,,L/H
101827,INTAKE GASKET,LEAKING,,4,R/H
101828,,,,,
101829,INTAKE GASKET,LEAKING,,2,
101830,ROCKER COVER GASKET,LEAKING,,4,
101831,ROCKER COVER,LEAKING,,3 1,
101832,ROCKER COVER,LEAKING,,4 2,
101833,BOLT,MISSING,FROM #4 CYL HEAD,,
101834,BOLT,MISSING,FROM #4 CYL HEAD,,
101835,INTAKE,LEAKING,,3 2,
101836,ROCKER COVER,LEAKING,,2,
101837,INDUCTION TUBE GASKET,LEAKING,,2,
101838,INDUCTION TUBE GASKET,LEAKING,,4,
101839,,,,,
101840,INTAKE GASKET,LEAKING,,4,
101841,SCREW,MISSING,ROCKER COVER,2,
101842,ROCKER COVER,LEAKING,,4 3,
101843,INTAKE GASKET,LEAKING,,3 1,
101844,,,,,
101845,FWD LOWER BAFFLE SEAL,LOOSE,,,
101846,INTAKE GASKET,LEAKING,,2,
101847,ROCKER COVER GASKET,LEAKING,,2 1,
101848,,,,,
101849,ROCKER COVER GASKET,LEAKING,,2,
101850,,LEAKING,,2,
101851,,,,,
101852,,,,,
101853,ROCKER COVER,LEAKING,,3,
101854,ROCKER COVER,LEAKING,,4 2,
101855,ROCKER COVER GASKET,TORN,,4,
101856,INTAKE,LEAKING,,4,
101857,BAFFLE SEAL RIVET,LOOSE,,,L/H
101858,BAFFLE MOUNTING SCREW,MISSING,& BRACKET RIVE,,R/H REAR
101859,INTAKE GASKET,LEAKING,,3 1,
101860,,BROKEN,,4,
101861,ROCKER COVER GASKET,LEAKING,,4 3,
101862,INTAKE GASKET,LEAKING,,3,
101863,SIDE BAFFLE,CRACKED,,1,
101864,ROCKER GASKET,LEAKING,,4 3,
101865,INTAKE TUBE,LEAKING,,4,
101866,INTAKE,LEAKING,,3,R/H
101867,,MISSING,,2,L/H
101868,INTAKE,LEAKING,,4 2,R/H
101869,,CRACKED,,,
101870,,,,,
101871,INTAKE GASKET,LEAKING,,4 2,
101872,INTAKE GASKET,LEAKING,,4,
101873,INDUCTION TUBE GASKET,LEAKING,,2,
101874,BOTH BAFFLE PLUG,BAD,,,
101875,ROCKER COVER,LEAKING,,3,
101876,,LEAKING,,2,
101877,INDUCTION TUBE GASKET,LEAKING,,3,
101878,BAFFLE MOUNTING SCREW,MISSING,,,R/H REAR
101879,,,,,
101880,,,,,
101881,,,,,
101882,AFT BAFFLE,CRACKED,,3,
101883,INTAKE GASKET,LEAKING,,3 2,
101884,,,,,
101885,OIL COOLER TO ENGINE LIFTING EYE BRACKET,BROKEN,,,L/H
101886,LIFTING EYE BOLT,LEAKING,OIL,,R/H
101887,INTAKE,LEAKING,,2,
101888,,NEEDS,TO BE REMOVED FOR CAN O,4,R/H
101889,,NEEDS,TO BE REMOVED FOR CAN O,4,R/H
101890,,,,,
101891,,,,,
101892,BAFFLE PLUG,DAMAGED,,,L/H
101893,BAFFLE SCREW,MISSING,,2,
101894,,,,,
101895,VALVE COVER,LEAKING,,4 3 2 1,
101896,INTAKE,LEAKING,,4 2,
101897,ROCKER COVER,LEAKING,,3 2,
101898,INDUCTION TUBE GASKET,LEAKING,,3,
101899,INTAKE GASKET,LEAKING,,4 2,
101900,,,,,
101901,,,,,
101902,,,,,
101903,ROCKER COVER GASKET,LEAKING,,3,
101904,CRANKSHAFT SEAL,LEAKING,,,
101905,CRANKSHAFT SEAL,LEAKING,,,
101906,CRANKSHAFT SEAL,LEAKING,,,
101907,INTAKE GASKET,LEAKING,,4 2,
101908,,,,,
101909,INTAKE GASKET,LEAKING,,4,
101910,ROCKER COVER GASKET,LEAKING,,3 2,
101911,INTAKE,LEAKING,,4,
101912,INTAKE,LEAKING,,4 2,
101913,ENGINE BAFFLE PLUG,BAD,,,
101914,BAFFLE MOUNT SCREW,LOOSE,,,R/H REAR
101915,,BROKEN,,,L/H
101916,ROCKER COVER GASKET,LEAKING,,3 2,
101917,CENTER AFT ENGINE BAFFLE,CRACKED,,,
101918,INTAKE GASKET,LEAKING,,4,
101919,INTAKE GASKET,LEAKING,,2,
101920,,,,,
101921,INTAKE,LEAKING,,4 2 1,
101922,INTAKE GASKET,LEAKING,,4,
101923,ROCKER COVER SCREW,LOOSE,,4 2,
101924,,,,,
101925,INTAKE GASKET,LEAKING,,2,
101926,ROCKER COVER GASKET,LEAKING,,3,
101927,ROCKER COVER GASKET,LEAKING,,4 2,
101928,INTAKE,LEAKS,,2,
101929,,COMPRESSION,LOW COMPRESSION,1,
101930,,COMPRESSION,LOW COMPRESSION,1,
101931,INTAKE,LEAKING,,4 3 2,
101932,ENGINE BAFFLE PLUG,DAMAGED,,,
101933,,COMPRESSION,LOW COMPRESSION,1,
101934,,COMPRESSION,LOW COMPRESSION,1,
101935,,COMPRESSION,LOW COMPRESSION,1,
101936,SIDE BAFFLE,CRACKED,,3 1,
101937,EXHAUST TUBE ELBOW TOP BOLT,NEEDS,TO BE RECOTTER PINN,2,
101938,ROCKER COVER GASKET,LEAKING,,1,
101939,,,,,
101940,,SHEARED,RIVET,3,
101941,BAFFLING,CRACKED,BY #4 CYLINDER,,R/H
101942,ROCKER COVER GASKET,LEAKING,,3,
101943,COOLING BAFFLE CONNECTING ROD,BROKEN,,,L/H
101944,,,,,
101945,INTAKE GASKET,LEAKING,,2,
101946,ROCKER COVER GASKET,LEAKING,,4 2,
101947,FWD CENTER ENG BAFFLE,CRACKED,,,
101948,ROCKER COVER GASKET,LEAKING,,4 3 2,
101949,ROCKER COVER,LEAKING,,2,
101950,,MISSING,BAFFLE,,R/H REAR
101951,INDUCTION TUBE GASKET,LEAKING,,2,
101952,,LOOSE,,,R/H
101953,INTAKE,LEAKING,,4 2,
101954,INTAKE GASKET,LEAKING,,4,
101955,INTAKE GASKET,LEAKING,,3 1,
101956,ROCKER COVER GASKET,LEAKING,,4 3 1,
101957,BAFFLING RIVET,SHEARED,,,R/H AFT
101958,,DAMAGED,,3,
101959,BAFFLE PLUG,WORN,,,R/H
101960,FWD BAFFLE,CRACKED,,,L/H
101961,FWD ENG BAFFLE,CRACKED,AT CORNER,,L/H
101962,INTAKE GASKET,LEAKING,,2,
101963,,,,,
101964,INTAKE,LEAKING,,3 2,L/H
101965,INTAKE TUBE,DAMAGED,,1,
101966,INTAKE,LEAKING,,4,L/H
101967,INTAKE,LEAKING,ALONG W/ #2,3,L/H
101968,INTAKE,LEAKING,,4 3 2,
101969,INTAKE GASKET,LEAKING,,2,
101970,ROCKER COVER GASKET,LEAKING,,1,
101971,FWD LOWER ENGINE BAFFLE SEAL,LOOSE,,,
101972,INTAKE,LEAKING,,4 2,R/H
101973,INTAKE GASKET,LEAKING,,2,
101974,BAFFLE PLUG,MISSING,,,R/H
101975,,,,,
101976,BAFFLE PLUG,WORN,,,
101977,ROCKER COVER GASKET,LEAKING,,3 2,
101978,BAFFLE SCREW,MISSING,,,L/H
101979,,,,,
101980,ROCKER BOX COVER,LEAKING,,4 3 2,R/H
101981,ROCKER COVER GASKET,LEAKING,,3,
101982,COOLING BAFFLING RIVET,SHEARED,,,R/H AFT
101983,ROCKER COVER GASKET,LEAKING,,3,
101984,BAFFLE PLUG,BROKEN,FINGERS,,
101985,ROCKER COVER GASKET,LEAKING,,4 2,
101986,BAFFLE,CRACKED,IN FRONT OF OIL COOLER,4,
101987,ROCKER COVER GASKET,LEAKING,,3 2,
101988,INTAKE,LEAKING,,4,R/H
101989,INTAKE,LEAKING,,4 2,L/H
101990,ROCKER COVER,LEAKING,,2,R/H
101991,ROCKER COVER,LEAKING,,3,L/H
101992,,,,,
101993,,,,,
101994,ROCKER COVER GASKET,LEAKING,,3,
101995,INTAKE GASKET,LEAKING,,2,
101996,BAFFLE PLUG,MISSING,TEETH,,L/H
101997,INTAKE GASKET,LEAKING,,4 2,
101998,ROCKER COVER GASKET,LEAKING,,3,
101999,,,,,
102000,,,,,
102001,ROCKER COVER GASKET,LEAKING,,1,
102002,,,,,
102003,INTAKE GASKET,LEAKING,,4,
102004,,COMPRESSION,LOW COMPRESSION,4,
102005,INTAKE GASKET,LEAKS,,2,
102006,ROCKER COVER,LEAKS,,2,
102007,INTAKE,LEAKING,,4,
102008,ROCKER COVER,LOOSE,SCREWS,4 3 2 1,
102009,RIVET,SHEARED,@ R/H AFT BAFFLE,,
102010,RIVET,SHEARED,@ R/H AFT BAFFLE,,
102011,ROCKER COVER,LEAKING,,4 3 2,
102012,INTAKE GASKET,LEAKING,,4,
102013,ROCKER COVER,LEAKING,,3,L/H
102014,ENGINE LEFT REAR BAFFLE,CRACKED,@ INTER-CYLINDER CONNECT,2,
102015,ROCKER GASKET,LEAKING,,2,
102016,,LOOSE,,3 1,
102017,INTAKE GASKET,LEAKING,,4 2,
102018,BOLT,MISSING,CONNECTING UPPER ENDS OF #3 & 4 AFT BAFFLES,,
102019,BAFFLE MOUNTING SCREW,LOOSE,,,R/H REAR
102020,,,,,
102021,ROCKER GASKET,LEAKING,,4,
102022,,,,,
102023,,,,,
102024,,,,,
102025,,,,,
102026,,,,,
102027,,,,,
102028,,,,,
102029,,,,,
102030,,NEED,RETAINERS,,
102031,,,,,
102032,INTAKE,LEAKING,,2,R/H
102033,ROCKER COVER,LEAKING,,3,R/H
102034,ROCKER COVER,LEAKING,,4 2,R/H
102035,ROCKER COVER,LEAKING,,3,L/H
102036,,,,,
102037,,,,,
102038,,,,,
102039,,,,,
102040,INTAKE GASKET,LEAKING,,3,R/H
102041,INTAKE GASKET,LEAKING,,4,R/H
102042,SIDE BAFFLE,MISSING,A BOLT,4,L/H
102043,,,,,
102044,INTAKE,LEAKS,,1,L/H
102045,CYL,COMPRESSION,COMPRESSION IS LOW,3,L/H
102046,CYL,COMPRESSION,COMPRESSION IS LOW,3,L/H
102047,CYL,COMPRESSION,COMPRESSION IS LOW,3,L/H
102048,CYL,COMPRESSION,COMPRESSION IS LOW,3,L/H
102049,INTAKE GASKET,LEAKING,ALONG W/ #2 & 4,1,R/H
102050,ROCKER COVER,LEAKING,,4 2,L/H
102051,VALVE COVER,LEAKING,,4 3 2 1,R/H
102052,LEFT BAFFLE PLUG,WORN,,,
102053,,,,,
102054,INTAKE,LEAKING,,3 1,
102055,ROCKER COVER GASKET,LEAKING,,4,
102056,BOTTOM BAFFLE,CRACKED,@ TIE ROD,3 1,
102057,ROCKER BOX COVER SCREW,MISSING,,3,
102058,INTAKE,LEAKING,@ OIL SUMP,4,
102059,INTAKE,LEAKING,@ OIL SUMP,4,
102060,INTAKE GASKET,LEAKING,,2,
102061,INTAKE GASKET,LEAKING,,2,
102062,ROCKER COVER GASKET,LEAKING,,4 2,
102063,AFT ENGINE BAFFLE,WORN,FROM RUBBING,,
102064,,,,,
102065,ROCKER COVER,LEAKING,,2,
102066,INTAKE,LEAKING,,3,L/H
102067,INTAKE,LEAKING,,3,R/H
102068,ROCKER COVER,LEAKING,,3,L/H
102069,SCREW,MISSING,IN #3 SIDE BAFFLE,,
102070,ROCKER COVER GASKET,LEAKING,,3,
102071,ROCKER COVER,LEAKING,,2,
102072,,,,,
102073,ENGINE COOLING BAFFLE SEAL,LOOSE,TOP L/H SIDE,,
102074,,,,,
102075,,,,,
102076,ROCKER COVER GASKET,LEAKING,,4,
102077,INTAKE GASKET,TORN,,1,
102078,ROCKER GASKET,LEAKING,,3 1,
102079,ROCKER GASKET,LEAKING,,4,
102080,PUSH ROD SEAL,LEAKING,,3,
102081,INTAKE,LEAKING,,2,
102082,ROCKER COVER,LEAKING,,4,
102083,INTAKE,LEAKING,AT OIL SUMP,1,
102084,INTAKE GASKET,LEAKING,,4,
102085,ROCKER COVER GASKET,LEAKING,,4,
102086,,,,,
102087,,,,,
102088,INTAKE GASKET,LEAKING,,2,
102089,,,,,
102090,SIDE BAFFLE BOLT,LOOSE,,3 1,
102091,,,,,
102092,BOTTOM BAFFLE,CRACKED,,3 1,
102093,SIDE BAFFLE SEAL,TORN,,4 2,R/H
102094,INTAKE GASKET,LEAKING,,4 2,R/H
102095,INTAKE GASKET,LEAKING,,4 2,L/H
102096,ROCKER GASKET,LEAKING,,4 3 2,L/H
102097,ROCKER GASKET,LEAKING,,3 2,R/H
102098,SCREW BEHIND OIL FILLER TUBE,LOOSE,,,
102099,SCREW BEHIND OIL FILLER TUBE,LOOSE,,,
102100,SPARK PLUG CAP,LOOSE,BOTTOM SPARK PLUG,3,
102101,INTAKE,LEAKING,,4 3,L/H
102102,ROCKER COVER,LEAKING,,4 3,L/H
102103,INTAKE GASKET,LEAKING,,4 3 2,R/H
102104,,,,,
102105,BAFFLE,MISSING,SCREW ON BRACKET,3,
102106,ROCKER COVER GASKET,DAMAGED,,2,
102107,INTAKE,LEAKING,,2,
102108,,,,,
102109,SIDE BAFFLE SEAL,TORN,,4 2,R/H
102110,INDUCTION TUBE GASKET,LEAKING,,1,
102111,,,,,
102112,,,,,
102113,FWD BAFFLE,CRACKED,,2,
102114,INTAKE GASKET,LEAKING,,2,
102115,ROCKER GASKET,LEAKING,,3 2,
102116,INTAKE GASKET,LEAKING,,4 3,
102117,,BROKEN,OFF,2,R/H
102118,INTAKE GASKET,LEAKING,,4,
102119,ROCKER COVER GASKET,LEAKING,,4 2,
102120,SCREW,MISSING,"ENGINE COOLING BAFFLE, R/H SIDE NEXT TO OIL",,
102121,,,,,
102122,INTAKE GASKET,LEAKING,,3 2,
102123,,,,,
102124,INTAKE,LEAKING,,2,
102125,INDUCTION TUBE GASKET,LEAKING,,4 2,
102126,INTAKE GASKET,LEAKING,,4 3 2,
102127,ROCKER COVER GASKET,LEAKING,,4 3 2,
102128,INTAKE GASKET,LEAKING,,4,
