id,part,action,cylinders,details,engine
101466,ROCKER COVER G,REMOVED,"[1, 3, 4]",REPLACED,L
101468,GASKETS,REMOVED,,REPLACED,
101470,INTAKE GASKET,REMOVED,[3],REPLACED,R
101472,ROCKER COVER GASKETS,REPLACED,[3],,
101473,ROCKER COVER GASKET,REMOVED,,REPLACED,
101474,ROCKER COVER GASKET,REMOVED,[2],REPLACED,
101478,ROCKER COVER GASKETS,REMOVED,"[2, 4]",REPLACED,
101479,INTAKE GASKET,REMOVED,,REPLACED,
101480,ROCKER COVER GASKETS,REMOVED,,REPLACED,
101481,RIVET,INSTALLED,,NEW,
101482,,STOP DRILLED,,CRACK,
101483,INTAKE,REMOVED & REPLACED,[4],,
101484,ROCKER COVER GASKET,REMOVED & REPLACED,[3],,
101485,ROCKER COVER GASKET,REMOVED & REPLACED,,,
101486,INTAKE GASKET,REMOVED & REPLACED,,,
101487,ROCKER COVER GASKETS,REMOVED & REPLACED,,,
101488,GASKET,REPLACED,,,
101489,GASKETS,REMOVED & REPLACED,,,
101490,,TIGHTENED,,ALL SCREWS,
101491,,STOP DRILLED,,CRACK,
101492,NUT,INSTALLED,,NEW,
101493,GASKETS,REMOVED & REPLACED,,,
101494,ROCKER COVER GASKETS,REMOVED & REPLACED,[3],,
101495,ROCKER COVER GASK,REMOVED & REPLACED,"[1, 3]",,R
101496,INTAKE TUBE,RESWEDGED,,IAW LYCOMING OVERHAUL,
101497,SCREW,TIGHTENED,,,
101498,INTAKE TUBE GASKET,INSTALLED,[2],NEW,
101499,GASKET,REPLACED,,,
101500,GASKET,REPLACED,,,
101501,GASKETS,REPLACED,,,
101502,PATCH,FABRICATED,,,
101503,ROCKER COVER GASKET,REMOVED & REPLACED,,,
101504,,STOP DRILLED,,,
101505,GASKETS,REMOVED & REPLACED,,,
101506,INTAKE GASKET,REMOVED & REPLACED,[2],,
101507,ROCKER COVER GASKET,REMOVED & REPLACED,[2],,
101508,ROCKER COVER GASKET,REMOVED & REPLACED,[3],,
101509,ROCKER COVER GASKET,REMOVED & REPLACED,,,
101510,GASKETS,REMOVED & REPLACED,,NEW,
101511,TIE ROD,TIGHTENED,,,
101512,TIE WIRE,INSTALLED,,NEW,
101513,INTAKE GASKET,REMOVED & REPLACED,,,
101514,INTAKE GASKET,REMOVED & REPLACED,,,
101515,,STOP DRILLED,,,
101516,INTAKE GASKET,REMOVED & REPLACED,[2],,
101517,ROCKER COVER GASKET,REMOVED & REPLACED,,,
101518,,STOP DRILLED,,,
101519,ROCKER COVER GASKETS,REMOVED & REPLACED,,,
101520,,STOP DRILLED,,,
101521,GASKET,REMOVED,,NEW,
101522,SCREW,INSTALLED,,NEW,
101523,INTAKE GASKET,REMOVED,[4],REPLACED,R
101524,BAFFLE,REPOSITIONED,,,
101525,INTAKE GASKET,REMOVED,,REPLACED,
101526,ROCKER COVER GASKET,REMOVED,[1],REPLACED,
101527,ROCKER COVER GASKET,REMOVED,[3],REPLACED,
101528,INTAKE GASKET,REMOVED,[3],REPLACED,
101529,ROCKER COVER GASKET,REMOVED,[4],REPLACED,
101530,BAFFLE SEAL,REMOVED,,REPLACED,
101531,GASKET,REMOVED,,REPLACED,
101532,BAFFLE TIE ROD,RESECURED,,,
101533,INTAKE GASKET,REMOVED,[3],REPLACED,L
101534,INTAKE GASKET,REMOVED,[2],REPLACED,R
101535,BAFFLE,REMOVED,,REPLACED 2 MOUNT RIVETS. REINSTALLED BA,
101536,INTAKE GASKET,REMOVED,,REPLACED,
101537,BAFFLE SEAL,REMOVED,,REPLACED W/ NEW,
101538,BAFFLE SEAL,REMOVED,,REPLACED W/ NEW,
101539,ADEL CLAMP,REMOVED,,REPLACED,
101540,ROCKER COVER GASKETS,REMOVED,,REPLACED,
101541,,RAN,,FUNCTION NORMAL. NO UNUSUAL NOISE NOTED,
101542,ROCKER COVER GASKETS,REMOVED,,REPLACED,
101543,,INSTALLED,,NEW RIVETS,
101544,,STOP,,DRILLED CRACK,
101545,INTAKE GASKET,REMOVED,,REPLACED,
101546,,TIGHTENED,,SCREWS,
101547,CLAMP,REMOVED,,REPLACED,
101548,RIVNUT,REMOVED,,REPLACED,
101549,,INSPECTED,,"EXTERNAL LINKAGE, NO PROBLEMS NOTED",
101550,BAFFLE PLUGS,REPLACED,,L/H & R/H,L
101551,,RAN,,"UP A/C, NO DEFECTS NOTED",
101552,BAFFLE,REMOVED,,REPLACED,
101553,INTAKE GASKET,REMOVED,[2],REPLACED,L
101554,ENGINE BAFFLE,SECURED,,BAFFLE SEAL BACK ON,
101555,ENGINE BAFFLE,SECURED,,BAFFLE SEAL BACK ON,
101556,,REMOVED,,REPLACED GASKETS,
101557,,LEAK,,CK GOOD,
101558,,LOOSEN,,& ADJ LINES; PNEUMATIC & DRAIN LINES. REMOVED CA,
101559,,RESCURED,,BAFFLE SEAL,
101560,,REPLACED,,RIVETS,
101561,,INSPECT,,,R
101562,,,,NO LEAK NOTED,
101563,,CHECKED,,,
101564,INTAKE GASKET,REPLACED,,,
101565,GASKETS,REPLACED,,,
101566,BAFFLE,REPOSITIONED,,,
101567,INTAKE GASKET,REPLACED,[4],,
101568,,STOP DRILLED,,,
101569,GASKETS,REPLACED,,,
101570,SCREW,TIGHTENED,,,
101571,INTAKE GASKETS,REPLACED,,,
101572,INTAKE GASKET,REPLACED,,TORQUED BOLTS TO SPEC,
101573,ROCKER COVER GASKET,REPLACED,,TIGHTENED SCREW,
101574,INTAKE GASKET,REPLACED,,,
101575,BAFFLE,REPOSITIONED,,,
101576,ROCKER COVER GASKET,REPLACED,[2],,
101577,BAFFLE SEAL,REFASTENED,,,
101578,INTAKE GASKET,REPLACED,,,
101579,,CLEANED,[2],,
101580,,REMOVED,[4],,
101581,,,,,
101582,,,,,
101583,INTAKE GASKETS,REPLACED,[1],SECURE,
101584,,TIGHTENED,,,
101585,,INSTALLED,,FABRICATED OUT OF LIKE MATERIAL,
101586,ROCKER COVER GASKET,REMOVED & REPLACED,[2],,
101587,INTAKE GASKET,REPLACED,,,
101588,,REMOVED & REPLACED,,W/ NEW,
101589,,REMOVED & REPLACED,,,
101590,,STOP DRILLED,,"CRACKS, FABRICATED PATCH OUT OF LIKE MATER",
101591,INTAKE GASKET,REMOVED & REPLACED,,,
101592,ROCKER COVER GASKET,REMOVED & REPLACED,,,
101593,,TIGHTENED,,SCREW,
101594,BAFFLE SEAL,RESECURED,,,
101595,ROCKER COVER GASKET,REMOVED & REPLACED,,W/ NEW,
101596,,REMOVED & REPLACED,,BROKEN BRACKET,
101597,ROCKER COVER GASKET,REMOVED & REPLACED,[4],,
101598,INTAKE GASKETS,REMOVED & REPLACED,,,
101599,BAFFLE PLUGS,REMOVED & REPLACED,,,
101600,ROCKER COVER GASKETS,REMOVED & REPLACED,,,
101601,BAFFLE,REMOVED,,REPLACED RIVETS & REINSTALLED,
101602,INTAKE GASKETS,REMOVED,,REPLACED,
101603,,CLEANED,,GROUND RUN LEAK CK GOOD,
101604,INTAKE GASKET,REMOVED,[4],REPLACED,
101605,ROCKER COVER GASKET,REMOVED,[1],REPLACED,
101606,ROCKER COVER GASKETS,REMOVED,,REPLACED,
101607,BAFFLE SEAL,RESECURED,,,
101608,GASKET,REPLACED,,,
101609,GASKET,REMOVED,,REPLACED,
101610,ROCKER COVER GASKET,REMOVED,,REPLACED,
101611,ROCKER COVER GASKETS,REMOVED,,REPLACED,
101612,,RAN UP,,A/C ENGINE. ADJUSTED IDLE SPEED. IDLE MIXTURE CH,
101613,,TIGHTENED,,BOLT THAT ATTACHES COWL FLAP LEVERS & ADJUSTE,
101614,BAFFLE TIE ROD,REMOVED,,REPLACED,
101615,GASKET,REPLACED,,,
101616,GASKET,REMOVED,,REPLACED,
101617,,INSTALLED,,NUT & WASHERS,
101618,,INSTALLED,,NEW BAFFLE SEAL,
101619,,REMOVED,,"BOLT, CLEANED, RESEALED W/ HI-TEMP SILICONE & T",
101620,,REMOVED,,"ROD, REPAIRED IAW , CH 4, SEC 5. REI",
101621,BAFFLE PLUG,INSTALLED,,NEW,
101622,INTAKE GASKET,REMOVED & REPLACED,,,
101623,BAFFLE SEAL,RESECURED,,,
101624,INTAKE GASKET,REMOVED & REPLACED,,,
101625,BAFFLE PLUG,REMOVED & REPLACED,,,
101626,INTAKE GASKETS,REMOVED & REPLACED,"[2, 4]",,
101627,INDUCTION TUBE GASKET,INSTALLED,,NEW,
101628,BAFFLE SEAL,RESECURED,,,R
101630,,,,CK GOOD,
101631,,,,"ENGINE RAN VERY ROUGH, THEN SMOOTHED OUT",
101632,OIL & FUEL LINES,INSTALLED,,,
101633,FUEL FLOW TRANSDUCER,INSTALLED,,,
101634,ENGINE,REMOVED,,,
101635,,,,ADJUSTED THROTTLE & MIXTURE CABLE,
101636,BAFFLE SEAL,RESECURED,,,
101637,BAFFLE SEAL,RESECURED,,,
101638,ROCKER COVER GASKETS,REMOVED & REPLACED,,,
101639,ROCKER COVER GASKETS,REMOVED & REPLACED,,,
101640,INTAKE GASKET,REMOVED & REPLACED,,,
101641,INDUCTION TUBE GASKET,INSTALLED,[4],NEW,
101642,GASKET,REMOVED & REPLACED,,,
101643,INDUCTION TUBE GASKET,INSTALLED,[2],NEW,
101644,,STAKED,,,
101645,,RAN UP & LEAK CK'ED,,CK GOOD. COMPRESSION CK 79/80,
101646,,CONNECTED,"[2, 4]",,
101647,,REMOVED,[4],,
101648,,RESECURED,,,
101649,,REMOVED,,ENGINE COWLING,
101650,,RESWEDGED,,,
101651,INTAKE GASKET,REPLACED,,,
101652,,REMOVED,,UNUSED CLAMP FROM WIRE BUNDLE,
101653,,REMOVED,,,
101654,,LEAK CK,,GOOD,
101655,,REPOSITIONED,,,
101656,,REMOVED,[2],,
101657,,STOP DRILLED,,,
101658,,REMOVED,,,
101659,,REINSTALLED,,,
101660,ROCKER COVER GASKET,REMOVED & REPLACED,,,
101661,SCREW,TIGHTENED,,,
101662,GASKET,REPLACED,,,
101663,PLUG,REPLACED,,,
101664,INTAKE GASKET,REPLACED,,,
101665,ROCKER COVER GASKET,REPLACED,,,
101666,ROCKER COVER GASKETS,REPLACED,,,
101667,,ADJUSTED,,"IDLE SPEED, RAN UP A/C, OPS CK GOOD",
101668,ROCKER COVER GASKETS,REPLACED,,,
101669,INTAKE GASKET,REPLACED,,,
101670,,ADJUSTED,,IDLE SPEED. OPS CK GOOD,
101671,ROD,REPLACED,,,
101672,RIVET,REPLACED,,,
101673,ROCKER COVER GASKETS,REPLACED,,,
101674,,REPLACED,,#2 BAFFLES SEALS ON BOTH ENGINES,
101675,,CLEANED,,"PLUGS #3 CYL, RAN, CK'ED OK",
101676,,INSTALLED,,"PATCH IAW , PAR 4-53",
101677,#4 INTAKE GASKET,REPLACED,,,
101678,#2 ROCKER COVER GASKET,REPLACED,,,
101679,INTAKE GASKET,REPLACED,,,
101680,,INSTALLED,,NEW #2 INDUCTION TUBE GASKET,
101681,ROCKER BOX COVER GASKETS,INSTALLED,,NEW,
101682,ROCKER BOX COVER GASKETS,INSTALLED,"[1, 4]",NEW,
101683,INTAKE GASKET,INSTALLED,[2],NEW,
101684,ROCKER BOX COVER GASKETS,INSTALLED,,NEW,
101685,ROCKER BOX COVER GASKETS,INSTALLED,,NEW,
101686,,BORESCOPED,,FOUND EXHAUST VALVE TO APPEAR BURN,
101687,,REMOVED,,INSTALLED REPAIRED CYL ASSY & PE,
101688,,TORQUED,,"BASE NUTS TO SPECS. REINSTALLED EXHAUST, INTAKE",
101689,,REMOVED,,ENGINE COWLING,
101690,,RESWEDGED,[3],#3 INTAKE TUBE IAW LYCOMING OVERHAUL MANUAL,
101691,ROCKER COVER GASKETS,REMOVED & REPLACED,,CLEANED LEAKS,
101692,INTAKE GASKET,REMOVED & REPLACED,[2],,
101693,INTAKE GASKET,REMOVED & REPLACED,,,
101694,INTAKE GASKET,REMOVED & REPLACED,[4],,
101695,,REMOVED,,FOD,
101696,GASKET,REMOVED & REPLACED,,,
101697,PLUGS,REPLACED,,,
101698,INTAKE GASKET,REMOVED & REPLACED,[4],,
101699,GASKET,REMOVED & REPLACED,,,
101700,GASKETS,REMOVED & REPLACED,,,
101701,AIR FILTER BOX,REPLACED,,,
101702,,STOP DRILLED,,,
101703,GASKET,REPLACED,,,
101704,ROCKER COVER GASKETS,REPLACED,,,
101705,ROCKER COVER GASKET,REPLACED,,,
101706,,STOP DRILLED,,,
101707,BAFFLE BRACKET,FABRICATED,,,
101708,GASKET,REPLACED,,,
101709,,TIGHTENED,,,
101710,,STARTED,,,
101711,GASKET,REPLACED,,,
101712,GASKET,REPLACED,,,
101713,BAFFLE PLUGS,REPLACED,,,
101714,ROCKER COVER GASKETS,REPLACED,,,
101715,ROCKER COVER GASKET,REPLACED,[2],,R
101716,,RAN,,,
101717,,OPS CK GOOD,,,
101718,INTAKE GASKET,REPLACED,[3],,R
101719,ROCKER COVER GASKETS,REPLACED,,,L
101720,,RECONNECTED,,,
101721,CYL ASSY,REMOVED,[4],SERVICEABLE,
101722,,INSPECTED,,REPAIR,
101723,BAFFLE SEAL,RESECURED,,,
101724,INTAKE GASKET,REMOVED,,REPLACED,
101725,ROCKER COVER GASKET,REMOVED,,REPLACED,
101726,,REMOVED,,ENGINE COWLING,
101727,INTAKE TUBE,SWEDGED,,,
101728,GASKET,REPLACED,,,
101729,,REMOVED,,REPLACED GASKETS,
101730,,REMOVED,,SD CARD,
101731,GASKET,REPLACED,,NEW,
101732,INTAKE GASKET,REMOVED,,REPLACED W/ NEW. TIGHTENED SUMP,
101733,ROCKER COVER GASKET,REMOVED,[4],REPLACED,
101734,ROCKER COVER GASKET,REMOVED,[4],REPLACED,
101735,INTAKE GASKETS,REMOVED,"[2, 4]",REPLACED,
101736,,REMOVED,,REPLACED GASKET,
101737,ROCKER COVER GASKETS,REMOVED,"[2, 3]",REPLACED,
101738,,RAN UP,,"A/C, NO SQUEALING NOISE NOTED. OPS CK GOOD",
101739,,INSPECTED,,FOUND NO DEFECTS. MX FLIGHT REQUIRED,
101740,ROCKER COVER GASKETS,REMOVED,,REPLACED,
101741,,,,GOOD,
101742,OIL LINE,REPLACED,,NEW,
101743,GASKETS,REPLACED,,NEW,
101744,PLUG,REPLACED,,NEW,
101745,GASKET,REPLACED,,NEW,
101746,INTAKE GASKET,REPLACED,,,
101747,BAFFLE,REPLACED,,,
101748,ROCKER COVER GASKET,REPLACED,,,
101749,#4 ROCKER COVER GASKET,REPLACED,,,
101750,,APPLIED,,HIGH TEMP SILICONE,
101751,CYL #2 ROCKER COVER GASKET,REPLACED,,,
101752,,STARTED,,MAG DROP & RUN UP PROCED,L
101753,ROCKER COVER GASKET,REPLACED,,,
101754,GASKET,REPLACED,,,
101755,ROCKER COVER GASKETS,REPLACED,,,
101756,,,,A/C RAN NORM,
101757,,,,NO FURTHER ACTION REQUIRED AS OVE,
101758,,INSTALLED,,NEW SCREW,
101759,#1 ROCKER BOX COVER GASKET,INSTALLED,,NEW,
101760,INTAKE GASKET,REPLACED,,,
101761,ROCKER COVER GASKET,REPLACED,,,
101762,GASKET,REPLACED,,,
101763,INTAKE GASKET,REPLACED,[3],,
101764,,SECURED,,NEW SAFETY WIRE & SPIRAL WRAP,
101765,,INSTALLED,,NEW PLUG,
101766,INTAKE GASKET,REPLACED,,,
101767,ROCKER COVER GASKETS,REPLACED,,,
101768,,CLEANED,,"ENGINE, RAN A/C, INSPECTED & DETECTED NO LEAKS",
101769,GASKET,REPLACED,,,
101770,,INSTALLED,,NEW SPRING,
101771,,DRESSED,,PROP,
101772,INTAKE GASKET,REPLACED,,,
101773,GASKET,REPLACED,,W/ NEW,
101774,,REPLACED,"[2, 4]",GASKETS ON INTAKES,
101775,,STOP DRILLED,,CRACK,
101776,INTAKE GASKET,REPLACED,[3],,
101777,ROCKER COVER GASKET,REPLACED,[2],,L
101778,ROCKER COVER GASKET,REPLACED,,,L
101779,ROCKER COVER GASKET,REPLACED,[3],,R
101780,INDUCTION TUBE GASKET,INSTALLED,,NEW,
101781,,CLEANED,,GRASS OUT OF PARTICLE SEPERATOR,
101782,,INSTALLED,,NEW INDUCTION TUBE GASKET,
101783,ENGINE BAFFLE,REMOVED,,"STOP DRILLED CRACK, FABRICATED P",
101784,,STOP DRILLED,,CRACK,
101785,ROCKER COVER GASKET,REMOVED & REPLACED,[2],,L
101786,,STOP DRILLED,,CRACK,
101787,,REPLACED,,2 BUTTONS,
101788,,REPLACED & TIGHTENED,,MISSING SCREW & ALL SCREWS,
101789,,INSTALLED,,NEW INDUCTION TUBE GASKET,
101790,,RAN,,A/C & CYLINDER LEAK & OPS CK'ED GOOD,
101791,,REMOVED,[2],#2 EXHAUST VALVE & GUIDE GALLED,L
101792,,COMPLETED INSTALLATION OF,[2],#2 CYL. SERVICED ENGINE W/ 8,L
101793,INTAKE GASKET,REPLACED,,,
101794,,REMOVED & REPLACED,,PLUGS,
101795,,DISCONNECTED,,"OIL PRESSURE LINE, DISPLACED OIL COOLER. F",
101796,ROCKER COVER GASKET,REMOVED & REPLACED,,,
101797,ROCKER COVER GASKET,REMOVED & REPLACED,[4],,L
101798,,REPLACED,,GASKET,
101799,,INSTALLED,,NEW SCREW,
101800,INTAKE GASKET,REMOVED & REPLACED,[4],,L
101801,BAFFLE PLUG,INSTALLED,,NEW,
101802,GASKET,REMOVED & REPLACED,,,
101803,INTAKE GASKET,REPLACED,[2],,
101804,BAFFLE SEAL,REATTAACHED,,,
101805,INDUCTION TUBE GASKET,INSTALLED,[2],NEW,
101806,OIL COOLER,LOOSENED,,,
101807,GASKETS,REPLACED,"[2, 4]",,
101808,INTAKE GASKET,REMOVED & REPLACED,,,
101809,INTAKE GASKETS,REMOVED & REPLACED,,,
101810,BAFFLE SEAL,REPAIRED,,,
101811,,PERFORMED,,,
101812,FLYWHEEL,REINSTALLED,,,
101813,FWD CASE,CLEANED,,,
101814,INTAKE GASKET,REMOVED & REPLACED,,,
101815,ROCKER COVER GASKET,REMOVED & REPLACED,[4],,
101816,GEAR,INSTALLED,,SERVICEABLE,
101817,,INSPECTED,,,
101818,ROCKER COVER GASKET,REMOVED & REPLACED,,,
101819,GASKET,REMOVED & REPLACED,,,
101820,ROCKER COVER GASKET,REMOVED & REPLACED,,,
101821,,,,GOOD,
101822,INTAKE GASKET,REPLACED,,,
101823,ROCKER COVER GASKET,REPLACED,[1],,
101824,ROCKER COVER GASKETS,REPLACED,,,
101825,BAFFLE,REPLACED,,NEW,
101826,BAFFLE PLUG,REPLACED,[4],,L
101827,GASKET,REPLACED,,,
101828,ROCKER COVER GASKETS,REPLACED,,,
101829,INTAKE GASKET,REPLACED,[2],,
101830,ROCKER COVER GASKET,REPLACED,,,
101831,ROCKER COVER GASKETS,REPLACED,,,
101832,ROCKER COVER GASKETS,REPLACED,,,
101833,,INSTALLED,,NEW SCREW,
101834,,INSPECTED,[4],FOUND NO BOLTS MISSING FROM HEAD,
101835,INTAKE GASKETS,REPLACED,"[2, 3]",,
101836,ROCKER COVER GASKOT,REPLACED,[2],,
101837,INDUCTION TUBE GASKET,INSTALLED,,NEW,
101838,INDUCTION TUBE GASKET,INSTALLED,,NEW,
101839,,,,IS BELOW LYCOMING OVERSPEED THRESHOLD,
101840,GASKET,REPLACED,,,
101841,SCREW,REPLACED,,,
101842,ROCKER COVER GASKETS,REPLACED,,,
101843,INTAKE GASKETS,REPLACED,,,
101844,,STOP DRILLED,,CRACK,
101845,BAFFLE SEAL,RESECURED,,,
101846,INTAKE GASKET,REPLACED,,,
101847,ROCKER COVER GASKETS,REPLACED,,,
101848,BAFFLE,REMOVED,,,
101849,ROCKER SCREWS,TIGHTENED,,,
101850,GASKET,REPLACED,,,
101851,,APPLIED,,HIGH TEMP SILICONE SEALANT,
101852,,TIGHTENED,,CLAMP & SECURED W/ SAFETY WIRE,
101853,#3 ROCKER COVER GASKET,REPLACED,,,
101854,ROCKER COVER GASKETS,REPLACED,,,
101855,ROCKER COVER GASKET,REPLACED,,,
101856,#4 INTAKE GASKET,REPLACED,,,
101857,,REMOVED,,RIVETS & REINSTALLED NEW,
101858,BAFFLE,REMOVED,,,
101859,GASKETS,REPLACED,,,
101860,BAFFLE PLUG,REPLACED,,,
101861,ROCKER COVER GASKETS,REMOVED,,REPLACED,
101862,GASKET,REPLACED,,,
101863,,REPAIRED,,,
101864,ROCKER COVER GASKETS,REMOVED,,REPLACED,
101865,INTAKE GASKET,REMOVED,,REPLACED,
101866,GASKET,REMOVED,,REPLACED,
101867,,INSTALLED,,NEW HARDWARE,
101868,INTAKE GASKETS,REMOVED,"[2, 4]",REPLACED,
101869,,STOP DRILLED,,CRACK & REINSTALLED,
101870,,ADJUSTED,,IDLE SPEED & MIXTURE TO SPECS. OPS CK GOOD,
101871,INTAKE GASKETS,REMOVED,,REPLACED,
101872,INTAKE GASKET,REMOVED,,REPLACED,
101873,INDUCTION TUBE GASKET,INSTALLED,,NEW,
101874,BAFFLE PLUGS,REMOVED,,REPLACED,
101875,ROCKER COVER GASKET,REMOVED,,REPLACED,
101876,ROCKER COVER GASKETS,REMOVED,,REPLACED,
101877,INTAKE GASKET,REPLACED,,,
101878,,INSTALLED,,NEW SCREW,
101879,,RAN,,"A/C & FOUND ENGINE RUNNING EXTREMELY ROUGH, INTERMI",
101880,,INSTALLED,[2],"NEW GASKETS & SEALS, AS WELL AS, #2 CYL VALVE",
101881,INJECTOR NOZZLES,REMOVED,,,
101882,,STOP DRILLED,,CRACK,
101883,GASKETS,REPLACED,,,
101884,VALVE COVERS,INSTALLED,,ALL NEW,
101885,BRACKET,INSTALLED,,SERVICEABLE,
101886,BOLT,REMOVED,,CLEAN & SEALANT APPLIED. REASSEMBLED,
101887,INTAKE GASKET,REMOVED & REPLACED,,,
101888,BRACE,INSTALLED,,NEW,
101889,BRACE,REMOVED,,SERVICEABLE,
101891,,PERFORMED,,"NORMAL ENGINE START, NO DISCREPANCY NOTED",L
101892,PLUG,INSTALLED,,NEW,
101893,SCREW,INSTALLED,,NEW,
101895,VALVE COVER GASKETS,INSTALLED,,ALL NEW,
101896,INTAKE GASKETS,REMOVED & REPLACED,,,
101897,ROCKER COVER GASKETS,INSTALLED,,NEW,
101898,#3 INDUCTION TUBE GASKET,INSTALLED,,NEW,
101899,GASKETS,REMOVED & REPLACED,,W/ NEW,
101900,INTAKE GASKET,REMOVED & REPLACED,,,
101901,ROCKER COVER GASKET,REMOVED,,REPLACED,
101903,ROCKER COVER GASKET,REMOVED,[3],REPLACED,
101904,COWL,REMOVED,,LEAK CK GOOD. REINSTALLED,
101905,PROP BOLTS,REMOVED,,SAFETY WIRE FROM. CLEANED AREA. RAN,
101906,CRANKSHAFT SEAL,FOUND,,LEAKING. REMO,
101907,INTAKE GASKETS,REMOVED,,REPLACED,
101908,OIL FILLER TUBE,REMOVED,,,
101909,INTAKE GASKET,REMOVED,[4],REPLACED,
101910,ROCKER COVER GASKETS,REMOVED,,REPLACED,
101911,INTAKE GASKET,REMOVED,[4],REPLACED,
101912,INTAKE GASKETS,REMOVED,,REPLACED,
101913,BAFFLE PLUGS,INSTALLED,,NEW,
101914,SCREW,RETIGHTENED,,,
101915,BAFFLE TIE,INSTALLED,,NEW,
101916,ROCKER COVER GASKETS,REMOVED,,REPLACED,
101917,BAFFLE,REMOVED,,DRILLED OUT RIVETS & REMOVED CRACKED PO,
101918,,REPLACED,,GASKET,
101919,,REPLACED,,GASKET,
101920,,STAKED,,"INTAKE VALVE, COMPRESSION NOW 76/80",
101921,INTAKE GASKETS,REMOVED,,,
101922,GASKET,REPLACED,,,
101923,,TIGHTENED,,,
101924,BAFFLE PLUG DOUBLER,INSTALLED,,,
101925,GASKET,INSTALLED,[2],NEW ON #2 INTAKE FLANGE,
101926,ROCKER COVER GASKET,REMOVED & REPLACED,,,
101927,GASKETS,REMOVED & REPLACED,,,
101928,GASKET,REPLACED,,,
101929,,,,LEAK CK GOOD,
101930,,,,SERVICED W/ MINERAL OIL,
101931,INTAKE GASKETS,REMOVED & REPLACED,,,
101932,,REMOVED & REPLACED,,BOTH ENGINE BAFFLE PLUGS,
101933,,BORESCOPED,,ENGINE & FOUND EXHAUST VALVE BURNED,
101934,,REMOVED,[1],PISTON. INSTALLED NEW PISTON.,
101935,,REMOVED,,"AIR INTAKE PIPE. REMOVED EXHAUST, REMOVED #1 RO",
101936,,FABRICATED,,"PATCH OF LIKE MATERIAL, INSTALLED USING EXIS",
101937,,REMOVED & REPLACED,,LOOSE COTTER PIN,
101938,ROCKER COVER GASKET,REPLACED,,,
101939,ROCKER COVER GASKETS,REMOVED & REPLACED,,,
101940,,REMOVED,,"BAFFLE, INSTALLED NEW RIVETS, REINSTALLED BAFFL",
101941,BAFFLE,DRILLED,,CRACKED,
101942,,INSTALLED,,NEW GASKET,
101943,COOLING BAFFLE,INSTALLED,,NEW CONNECTING ROD,
101944,BAFFLE CONNECTING ROD,TIGHTENED,,NO DAMAGE TO OIL RETUR,
101945,,REMOVED & REPLACED,,INTAKE GASKET,
101946,,REMOVED & REPLACED,,ROCKER COVER GASKETS,
101947,BAFFLE,REMOVED,,"DAMAGED SECTION, FABRICATED NEW SECTION",
101948,,REMOVED & REPLACED,,ROCKER COVER GASKETS,
101949,,REPLACED,,ROCKER COVER GASKET,
101950,,INSTALLED,,NEW HARDWARE,
101951,,INSTALLED,,NEW #2 INDUCTION TUBE GASKET,
101952,BAFFLE,RIVETED,,SEAL BACK ONTO BAFFLE,
101953,,REMOVED & REPLACED,,INTAKE GASKETS,
101954,,REMOVED & REPLACED,,INTAKE GASKET,
101955,,REMOVED & REPLACED,,INTAKE GASKETS,
101956,,REPLACED,,ROCKER COVER GASKETS,
101957,BAFFLING,REMOVED,,DRILLED OUT BROKEN RIVETS. REPLACED B,
101958,,CLEANED,,"THREADS W/ 18MM TAP, INSPECTED THREADS, THREADS",
101959,,REMOVED & REPLACED,,BAFFLE PLUG,R
101960,,REMOVED & REPLACED,,BAFFLE,
101961,,STOPPED,,DRILLED END OF CRACK,
101962,INTAKE GASKET,REPLACED,[2],W/ NEW,
101963,SCREW,TIGHTENED,,CLEANED THREADS IN CYLINDER HEAD,
101964,INTAKE GASKETS,REPLACED,"[2, 3]",BOTH,
101965,INTAKE PIPE,CANNED,[1],FROM INVENTORY ITEM. REMOVED,
101966,INTAKE GASKET,REMOVED & REPLACED,[4],,L
101967,INTAKE GASKETS,REMOVED & REPLACED,"[2, 3]",,
101968,INTAKE GASKETS,REMOVED & REPLACED,,,
101969,INTAKE GASKET,INSTALLED,,NEW,
101970,ROCKER COVER GASKET,REMOVED & REPLACED,,,
101971,BAFFLE SEAL,RESECURED,,ON FWD ENGINE BAFFLE,
101972,INTAKE GASKETS,REPLACED,,,
101973,GASKET,REMOVED & REPLACED,,W/ NEW,
101974,PLUG,INSTALLED,,"NEW, UNABLE TO LOCATE EXISTING PLUG",
101975,BAFFLE PLUGS,REPLACED,,,
101976,BAFFLE PLUG,INSTALLED,,NEW,
101977,ROCKER GASKETS,REMOVED & REPLACED,,,
101978,SCREW,INSTALLED,,NEW,
101979,BAFFLE CROSSTIE,INSTALLED,,NEW,
101980,ROCKER COVER GASKETS,REMOVED & REPLACED,,,R
101981,,INSTALLED,,NEW GASKET,
101982,BAFFLE,REMOVED,,INSTALLED NEW RIVETS. REATTACHED AF,
101983,ROCKER COVER GASKET,REPLACED,[3],,
101984,PLUGS,REPLACED,,,
101985,ROCKER COVER GASKETS,REPLACED,,,
101986,,,,UPON FURTHER INSPECTION DETERMINED TO BE A SCRATCH,
101987,ROCKER COVER GASKET,REPLACED,,,
101988,INTAKE GASKET,REPLACED,,,
101989,INTAKE GASKETS,REPLACED,,,
101990,,INSTALLED,,NEW ROCKER BOX COVER GASKET,
