IDENT,ActionPart,ActionTaken
101474,ROCKER COVER GASKET,REMOVED & REPLACED
101475,"PATCH, HOLE & RIVETED",FABRICATED
101476,ROCKER COVER GASKET,REMOVED & REPLACED
101477,INTAKE GASKET,REMOVED & REPLACED
101478,ROCKER COVER GASKETS,REMOVED & REPLACED
101479,INTAKE GASKET,REMOVED & REPLACED
101480,ROCKER COVER GASKETS,REMOVED & REPLACED
101481,RIVET ON BAFFLE,INSTALLED
101482,,
101483,,REMOVED & REPLACED
101484,ROCKER COVER GASKET,REMOVED & REPLACED
101485,ROCKER COVER GASKET,REMOVED & REPLACED
101486,INTAKE GASKET,REMOVED & REPLACED
101487,ROCKER COVER GASKETS,REMOVED & REPLACED
101488,GASKET,REPLACED
101489,GASKETS,REMOVED & REPLACED
101490,SCREWS,TIGHTENED
101491,,
101492,,INSTALLED
101493,GASKETS,REMOVED & REPLACED
101494,ROCKER COVER GASKETS,REMOVED & REPLACED
101495,ROCKER COVER GASK,REMOVED & REPLACED
101496,INTAKE TUBE,RESWEDGED
101497,,"TIGHTENED, SCREW"
101498,GASKET,INSTALLED
101499,GASKET,REPLACED
101500,GASKET,REPLACED
101501,GASKETS,REPLACED
101502,PATCH,FABRICATED
101503,ROCKER COVER GASKET,REMOVED & REPLACED
101504,,
101505,GASKETS,REMOVED & REPLACED
101506,,REMOVED & REPLACED
101507,ROCKER COVER GASKET,REMOVED & REPLACED
101508,ROCKER COVER GASKET,REMOVED & REPLACED
101509,ROCKER COVER GASKET,REMOVED & REPLACED
101510,GASKETS,REMOVED & REPLACED
101511,,"TIGHTENED, TIE ROD"
101512,TIE,"INSTALLED, WIRE"
101513,INTAKE GASKET,REMOVED & REPLACED
101514,INTAKE GASKET,REMOVED & REPLACED
101515,,
101516,,REMOVED & REPLACED
101517,ROCKER COVER GASKET,REMOVED & REPLACED
101518,,
101519,ROCKER COVER GASKETS,REMOVED & REPLACED
101520,,
101521,GASKET,REMOVED & REPLACED
101522,SCREW,INSTALLED
101523,INTAKE GASKET,REMOVED & REPLACED
101524,BAFFLE,REPOSITIONED
101525,INTAKE GASKET,REMOVED & REPLACED
101526,,"REMOVED & REPLACED, ROCKER COVER GASKET"
101527,ROCKER COVER GASKET,REMOVED & REPLACED
101528,INTAKE GASKET,REMOVED & REPLACED
101529,"CYL, ROCKER COVER GASKET",REMOVED & REPLACED
101530,BAFFLE SEAL,REMOVED & REPLACED
101531,GASKET,REMOVED & REPLACED
101532,BAFFLE TIE ROD,RESECURED
101533,,REMOVED & REPLACED
101534,,REMOVED & REPLACED
101535,"BAFFLE, MOUNT RIVETS",REMOVED
101536,INTAKE GASKET,REMOVED & REPLACED
101537,BAFFLE SEAL,REMOVED & REPLACED
101538,BAFFLE SEAL,REMOVED & REPLACED
101539,CLAMP,REMOVED & REPLACED
101540,ROCKER COVER GASKETS,REMOVED & REPLACED
101541,A/C,RAN
101542,ROCKER COVER GASKETS,REMOVED & REPLACED
101543,RIVETS,INSTALLED
101544,,
101545,INTAKE GASKET,REMOVED & REPLACED
101546,SCREWS,TIGHTENED
101547,CLAMP,REMOVED & REPLACED
101548,RIVNUT,REMOVED & REPLACED
101549,,INSPECTED
101550,,REPLACED
101551,UP A/C,RAN
101552,BAFFLE,REMOVED & REPLACED
101553,,REMOVED & REPLACED
101554,"BAFFLE SEAL BACK, BAFFLE",SECURED
101555,"BAFFLE SEAL BACK, BAFFLE",SECURED
101556,GASKETS,REMOVED & REPLACED
101557,CK,
101558,,LOOSEN & ADJ
101559,BAFFLE SEAL,RESCURED
101560,RIVETS,REPLACED
101561,"A/C, DUPLICATE",RAN
101562,,
101563,,CHECKED
101564,INTAKE GASKET,REMOVED & REPLACED
101565,GASKETS,REMOVED & REPLACED
101566,BAFFLE TO CLEAR MUFFLER,REPOSITIONED
101567,INTAKE GASKET,REMOVED & REPLACED
101568,,
101569,GASKETS,REMOVED & REPLACED
101570,,"TIGHTENED, SCREW"
101571,INTAKE GASKETS,REMOVED & REPLACED
101572,INTAKE GASKET,REMOVED & REPLACED
101573,ROCKER COVER GASKET,REMOVED & REPLACED
101574,INTAKE GASKET,REPLACED
101575,BAFFLE,REPOSITIONED
101576,ROCKER COVER GASKET,REMOVED & REPLACED
101577,BAFFLE SEAL,REFASTENED
101578,INTAKE GASKET,REPLACED
101579,PISTON,REMOVED
101580,OIL CONTROL RING,REMOVED
101581,"ENGINE, MINERAL, OIL",REASSY
101582,CYLINDER,
101583,INTAKE GASKETS,REPLACED
101584,SCREWS,TIGHTENED
101585,,INSTALLED
101586,ROCKER COVER GASKET,REMOVED & REPLACED
101587,INTAKE GASKET,REPLACED
101588,GASKET,REMOVED & REPLACED
101589,GASKET,REMOVED & REPLACED
101590,,
101591,INTAKE GASKET,REMOVED & REPLACED
101592,ROCKER COVER GASKET,REMOVED & REPLACED
101593,,"TIGHTENED, SCREW"
101594,BAFFLE SEAL,RESECURED
101595,ROCKER COVER GASKET,REMOVED & REPLACED
101596,BROKEN BRACKET,REMOVED & REPLACED
101597,"CYL, ROCKER COVER GASKET & RETAPPE",REMOVED & REPLACED
101598,INTAKE GASKETS,REMOVED & REPLACED
101599,BAFFLE PLUGS,REMOVED & REPLACED
101600,ROCKER COVER GASKETS,REMOVED & REPLACED
101601,"BAFFLE, BAFFLE","REMOVED, RIVETS & REINSTALLED"
101602,INTAKE GASKETS,REMOVED & REPLACED
101603,"TUBE, CK",CLEANED
101604,INTAKE GASKET,REMOVED & REPLACED
101605,,"REMOVED & REPLACED, ROCKER COVER GASKET"
101606,ROCKER COVER GASKETS,REMOVED & REPLACED
101607,BAFFLE SEAL,RESECURED
101608,GASKET,REPLACED
101609,GASKET,REMOVED & REPLACED
101610,ROCKER COVER GASKET,REMOVED & REPLACED
101611,ROCKER COVER GASKETS,REMOVED & REPLACED
101612,"UP A/C, IDLE, IDLE MIXTURE CH",RAN
101613,BOLT THAT,TIGHTENED
101614,BAFFLE TIE ROD,REMOVED & REPLACED
101615,GASKET,REPLACED
101616,GASKET,REMOVED & REPLACED
101617,,INSTALLED
101618,BAFFLE SEAL,INSTALLED
101619,BOLT,REMOVED
101620,,REMOVED ROD
101621,BAFFLE PLUG,INSTALLED
101622,INTAKE GASKET,REMOVED & REPLACED
101623,BAFFLE SEAL,RESECURED
101624,INTAKE GASKET,REMOVED & REPLACED
101625,BAFFLE PLUG,REMOVED & REPLACED
101626,INTAKE GASKETS,REMOVED & REPLACED
101627,INDUCTION TUBE GASKET,INSTALLED
101628,BAFFLE SEAL,RESECURED
101629,,
101630,CK,
101631,A/C,"STARTED, RAN VERY ROUGH"
101632,"OIL & FUEL, INDUCTION ELBOW",INSTALLED
101633,FUEL LI,"INSTALLED, ROUTE"
101634,ENGINE,REMOVED
101635,IGNITION LEADS,ROUTED
101636,BAFFLE SEAL,RESECURED
101637,BAFFLE SEAL,RESECURED
101638,ROCKER COVER GASKETS,REMOVED & REPLACED
101639,ROCKER COVER GASKETS,REMOVED & REPLACED
101640,INTAKE GASKET,REMOVED & REPLACED
101641,INDUCTION TUBE GASKET,INSTALLED
101642,GASKET,REMOVED & REPLACED
101643,INDUCTION TUBE GASKET,INSTALLED
101644,COMPRESSION,STAKED
101645,"UP & LEAK, CK, CK",RAN
101646,OIL DRAINS CONNECTED,
101647,,REMOVED
101648,,RESECURED
101649,ENGINE,REMOVED
101650,INTAKE CONNECTOR,RESWEDGED
101651,INTAKE GASKET,REPLACED
101652,"CLAMP, BUNDLE",REMOVED
101653,"TACH GENERATOR, EXTRACTION TOOL",REMOVED
101654,CK,
101655,TIE,REPOSITIONED
101656,OIL RETURN LINE,"REMOVED, ROCKE"
101657,PATCH,
101658,"BRACKET, BRACKET","REMOVED, CRACKED"
101659,,REINSTALLED
101660,ROCKER COVER GASKET,REMOVED & REPLACED
101661,,"TIGHTENED, SCREW"
101662,GASKET,REPLACED
101663,PLUG,REPLACED
101664,INTAKE GASKET,REMOVED & REPLACED
101665,ROCKER COVER GASKET,REMOVED & REPLACED
101666,ROCKER COVER GASKETS,REMOVED & REPLACED
101667,"IDLE, CK",ADJUSTED
101668,ROCKER COVER GASKETS,REMOVED & REPLACED
101669,INTAKE GASKET,REMOVED & REPLACED
101670,"UP A/C, IDLE, CK",RAN
101671,ROD,REMOVED & REPLACED
101672,"BAFFLE, OIL PSI LINE, RIVET",REMOVED
101673,ROCKER COVER GASKETS,REMOVED & REPLACED
101674,,REMOVED & REPLACED
101675,CYL,CLEANED
101676,,FABRICATED & INSTALLED
101677,INTAKE GASKET,REMOVED & REPLACED
101678,ROCKER COVER GASKET,REMOVED & REPLACED
101679,INTAKE GASKET,REMOVED & REPLACED
101680,INDUCTION TUBE GASKET,INSTALLED
101681,ROCKER BOX COVER GASKETS,INSTALLED
101682,ROCKER BOX COVER GASKETS,INSTALLED
101683,,INSTALLED
101684,ROCKER BOX COVER GASKETS,INSTALLED
101685,ROCKER BOX COVER GASKETS,INSTALLED
101686,CYLINDER,
101687,"CYLINDER ASSY, CYL ASSY & PE",REMOVED
101688,"EXHAUST,",TORQUED
101689,ENGINE,REMOVED
101690,"INTAKE TUBE, MANUAL",RESWEDGED
101691,ROCKER COVER GASKETS,REMOVED & REPLACED
101692,,REMOVED & REPLACED
101693,INTAKE GASKET,REMOVED & REPLACED
101694,INTAKE GASKET,REMOVED & REPLACED
101695,,REMOVED
101696,GASKET,REMOVED & REPLACED
101697,PLUGS,REPLACED
101698,INTAKE GASKET,REMOVED & REPLACED
101699,GASKET,REMOVED & REPLACED
101700,GASKETS,REMOVED & REPLACED
101701,BOX,REMOVED & REPLACED
101702,,
101703,GASKET,REMOVED & REPLACED
101704,ROCKER COVER GASKETS,REMOVED & REPLACED
101705,ROCKER COVER GASKET,REMOVED & REPLACED
101706,,
101707,BAFFLE BRACKET,FABRICATED
101708,GASKET,REMOVED & REPLACED
101709,SCREWS,TIGHTENED
101710,A/C,STARTED
101711,GASKET,REPLACED
101712,GASKET,REPLACED
101713,BAFFLE PLUGS,REMOVED & REPLACED
101714,ROCKER COVER GASKETS,REMOVED & REPLACED
101715,ROCKER COVER GASKET,REMOVED & REPLACED
101716,"A/C, IDLE & IDLE MIXTURE RISE, CK",RAN
101717,OPS CK GOOD ON PROP,
101718,INTAKE GASKET,REMOVED & REPLACED
101719,ROCKER COVER GASKETS,REMOVED & REPLACED
101720,CONNECTIONS,RECONNECTED
101721,,REMOVED
101722,,"INSPECTED, REPAIR, REPAIR"
101723,BAFFLE SEAL,RESECURED
101724,INTAKE GASKET,REMOVED & REPLACED
101725,ROCKER COVER GASKET,REMOVED & REPLACED
101726,ENGINE,REMOVED
101727,INTAKE TUBE,SWEDGED
101728,GASKET,REPLACED
101729,GASKETS,REMOVED & REPLACED
101730,RP,REMOVED SD CARD
101731,GASKET,REPLACED
101732,INTAKE GASKET,REMOVED & REPLACED
101733,"CYL, ROCKER COVER GASKET",REMOVED & REPLACED
101734,"CYL, ROCKER COVER GASKET",REMOVED & REPLACED
101735,"CYL, INTAKE GASKETS",REMOVED & REPLACED
101736,GASKET,REMOVED & REPLACED
101737,ROCKER COVER GASKETS,REMOVED & REPLACED
101738,"UP A/C, CK",RAN
101739,REQUIRED,
101740,ROCKER COVER GASKETS,REMOVED & REPLACED
101741,CK,
101742,OIL LINE,REMOVED & REPLACED
101743,GASKETS,REMOVED & REPLACED
101744,PLUG,REMOVED & REPLACED
101745,GASKET,REMOVED & REPLACED
101746,INTAKE GASKET,REMOVED & REPLACED
101747,BAFFLE,REMOVED & REPLACED
101748,ROCKER COVER GASKET,REMOVED & REPLACED
101749,ROCKER COVER GASKET,REMOVED & REPLACED
101750,"TEMP, SILICONE",
101751,ROCKER COVER GASKET,REMOVED & REPLACED
101752,,"STARTED, DROP & RUN"
101753,ROCKER COVER GASKET,REMOVED & REPLACED
101754,GASKET,REPLACED
101755,ROCKER COVER GASKETS,REMOVED & REPLACED
101756,A/C,STARTED
101757,"PER LYCOMING, REQUIRED",
101758,SCREW,INSTALLED
101759,,"INSTALLED, ROCKER BOX COVER GASKET"
101760,INTAKE GASKET,REMOVED & REPLACED
101761,ROCKER COVER GASKET,REMOVED & REPLACED
101762,GASKET,REMOVED & REPLACED
101763,INTAKE GASKET,REMOVED & REPLACED
101764,W/,SECURED
101765,PLUG,INSTALLED
101766,INTAKE GASKET,REMOVED & REPLACED
101767,ROCKER COVER GASKETS,REMOVED & REPLACED
101768,"ENGINE, A/C","CLEANED, RAN"
101769,GASKET,REMOVED & REPLACED
101770,,INSTALLED
101771,PROP,DRESSED
101772,INTAKE GASKET,REMOVED & REPLACED
101773,GASKET,REMOVED & REPLACED
101774,GASKETS,REPLACED
101775,,
101776,INTAKE GASKET,REMOVED & REPLACED
101777,ROCKER COVER GASKET,REMOVED & REPLACED
101778,ROCKER COVER GASKET,REMOVED & REPLACED
101779,ROCKER COVER GASKET,REMOVED & REPLACED
101780,INDUCTION TUBE GASKET,INSTALLED
101781,,CLEANED
101782,INDUCTION TUBE GASKET,INSTALLED
101783,"ENGINE, BAFFLE",REMOVED
101784,,
101785,ROCKER COVER GASKET,REMOVED & REPLACED
101786,,
101787,,REPLACED & INSTALLED
101788,SCREWS,"REPLACED, SCREW & TIGHTENED"
101789,INDUCTION TUBE GASKET,INSTALLED
101790,"A/C, OPS CK'ED GOOD",RAN
101791,VALVE,REMOVED
101792,INSTALLATION,
101793,INTAKE GASKET,REPLACED
101794,PLUGS,REMOVED & REPLACED
101795,"OIL PRESSURE LINE, OIL COOLER",
101796,ROCKER COVER GASKET,REMOVED & REPLACED
101797,ROCKER COVER GASKET,REMOVED & REPLACED
101798,GASKET,REPLACED
101799,SCREW,INSTALLED
101800,INTAKE GASKET,REMOVED & REPLACED
101801,BAFFLE PLUG,INSTALLED
101802,GASKET,REMOVED & REPLACED
101803,CYL,REPLACED
101804,BAFFLE SEAL,REATTACHED
101805,INDUCTION TUBE GASKET,INSTALLED
101806,"OIL COOLER, OIL PRESSURE LINE",LOOSENED
101807,GASKETS,REPLACED
101808,INTAKE GASKET,REMOVED & REPLACED
101809,INTAKE GASKETS,REMOVED & REPLACED
101810,BAFFLE SEAL & SECURED,REPAIRED
101811,"ENGINE, OPERATION",RUN UP
101812,FLYWHEEL,REINSTALLED
101813,PROP & FLYWHEEL,REMOVED
101814,INTAKE GASKET,REMOVED & REPLACED
101815,ROCKER COVER GASKET,REMOVED & REPLACED
101816,,INSTALLED
101817,,INSPECTED
101818,ROCKER COVER GASKET,REMOVED & REPLACED
101819,GASKET,REMOVED & REPLACED
101820,ROCKER COVER GASKET,REMOVED & REPLACED
101821,CK,
101822,INTAKE GASKET,REMOVED & REPLACED
101823,,"REMOVED & REPLACED, ROCKER COVER GASKET"
101824,ROCKER COVER GASKETS,REMOVED & REPLACED
101825,"BAFFLE, BAFFLE",REMOVED & REPLACED
101826,BAFFLE PLUG,REMOVED & REPLACED
101827,GASKET,REMOVED & REPLACED
101828,ROCKER COVER GASKETS,REMOVED & REPLACED
101829,,REMOVED & REPLACED
101830,ROCKER COVER GASKET,REMOVED & REPLACED
101831,ROCKER COVER GASKETS,REMOVED & REPLACED
101832,ROCKER COVER GASKETS,REMOVED & REPLACED
101833,SCREW,INSTALLED
101834,,INSPECTED
101835,INTAKE GASKETS,REMOVED & REPLACED
101836,ROCKER COVER GASKET,REMOVED & REPLACED
101837,INDUCTION TUBE GASKET,INSTALLED
101838,INDUCTION TUBE GASKET,INSTALLED
101839,2770 RPM IS BELOW,THRESHOLD
101840,GASKET,REPLACED
101841,,"REPLACED, SCREW"
101842,ROCKER COVER GASKETS,REMOVED & REPLACED
101843,INTAKE GASKETS,REPLACED
101844,,
101845,BAFFLE SEAL,RESECURED
101846,INTAKE GASKET,REMOVED & REPLACED
101847,ROCKER COVER GASKETS,REMOVED & REPLACED
101848,"BAFFLE, PATCH","REMOVED, FABRICATED"
101849,ROCKER SCREWS,TIGHTENED
101850,GASKET,REMOVED & REPLACED
101851,"TEMP, SEALANT",
101852,"CLAMP, W/ SAFETY WIRE","TIGHTENED, SECURED"
101853,ROCKER COVER GASKET,REMOVED & REPLACED
101854,ROCKER COVER GASKETS,REMOVED & REPLACED
101855,ROCKER COVER GASKET,REMOVED & REPLACED
101856,INTAKE GASKET,REMOVED & REPLACED
101857,,"REMOVED, RIVETS & REINSTALLED"
101858,"BAFFLE & REATTACHED, BRACKET",REMOVED
101859,GASKETS,REMOVED & REPLACED
101860,BAFFLE PLUG,REMOVED & REPLACED
101861,ROCKER COVER GASKETS,REMOVED & REPLACED
101862,GASKET,REPLACED
101863,W/ RIVETED PATCH,REPAIRED
101864,ROCKER COVER GASKETS,REMOVED & REPLACED
101865,INTAKE GASKET,REMOVED & REPLACED
101866,GASKET,REMOVED & REPLACED
101867,HARDWARE,INSTALLED
101868,INTAKE GASKETS,REMOVED & REPLACED
101869,,
101870,"IDLE, CK",ADJUSTED
101871,INTAKE GASKETS,REMOVED & REPLACED
101872,INTAKE GASKET,REMOVED & REPLACED
101873,INDUCTION TUBE GASKET,INSTALLED
101874,BAFFLE PLUGS,REMOVED & REPLACED
101875,ROCKER COVER GASKET,REMOVED & REPLACED
101876,ROCKER COVER GASKETS,REMOVED & REPLACED
101877,INTAKE GASKET,REPLACED
101878,SCREW,INSTALLED
101879,A/C,"RAN, EXTREMELY, ROUGH"
101880,GASKETS,INSTALLED
101881,,"REMOVED, INJECTOR"
101882,,
101883,GASKETS,REPLACED
101884,COVERS,INSTALLED
101885,BRACKET,INSTALLED
101886,BOLT,REMOVED
101887,INTAKE GASKET,REMOVED & REPLACED
101888,BRACE,INSTALLED
101889,BRACE,REMOVED
101890,,SEE
101891,NORMAL,
101892,PLUG,INSTALLED
101893,SCREW,INSTALLED
101894,"A/C, ANY ROUGHNESS, HESTITATION",RAN
101895,VALVE COVER GASKETS,INSTALLED
101896,INTAKE GASKETS,REMOVED & REPLACED
101897,ROCKER COVER GASKETS,INSTALLED
101898,INDUCTION TUBE GASKET,INSTALLED
101899,GASKETS,REMOVED & REPLACED
101900,INTAKE GASKET,REMOVED & REPLACED
101901,ROCKER COVER GASKET,REMOVED & REPLACED
101902,REQUIREMENTS,
101903,ROCKER COVER GASKET,REMOVED & REPLACED
101904,"COWL, CK",REMOVED
101905,,REMOVED
101906,PROP,REMOVED
101907,INTAKE GASKETS,REMOVED & REPLACED
101908,OIL FILLER TUBE,"REMOVED, SCREW"
101909,INTAKE GASKET,REMOVED & REPLACED
101910,ROCKER COVER GASKETS,REMOVED & REPLACED
101911,INTAKE GASKET,REMOVED & REPLACED
101912,INTAKE GASKETS,REMOVED & REPLACED
101913,BAFFLE PLUGS,INSTALLED
101914,,"RETIGHTENED, SCREW"
101915,BAFFLE TIE,INSTALLED
101916,ROCKER COVER GASKETS,REMOVED & REPLACED
101917,BAFFLE,"REMOVED, RIVETS & REMOVED, CRACKED"
101918,GASKET,REPLACED
101919,GASKET,REPLACED
101920,"INTAKE VALVE, 76/80",STAKED
101921,INTAKE GASKETS,REMOVED & REPLACED
101922,GASKET,REPLACED
101923,SCREWS,TIGHTENED
101924,BAFFLE PLUG DOUBLER,INSTALLED
101925,GASKET,INSTALLED
101926,ROCKER COVER GASKET,REMOVED & REPLACED
101927,GASKETS,REMOVED & REPLACED
101928,GASKET,REPLACED
101929,CK,
101930,W/ MINERAL OIL,SERVICED
101931,INTAKE GASKETS,REMOVED & REPLACED
101932,BOTH ENGINE BAFFLE PLUGS,REMOVED & REPLACED
101933,"EXHAUST VALVE, BURNED",
101934,"CYL, PISTON, PISTON",REMOVED
101935,"INTAKE PIPE, EXHAUST, REMOVED",REMOVED
101936,PATCH,FABRICATED
101937,PIN,REMOVED & REPLACED
101938,ROCKER COVER GASKET,REPLACED
101939,ROCKER COVER GASKETS,REMOVED & REPLACED
101940,"BAFFLE, RIVETS",REMOVED
101941,BAFFLE,
101942,GASKET,INSTALLED
101943,BAFFLE,INSTALLED
101944,"BAFFLE CONNECTING, OIL RETUR",TIGHTENED
101945,INTAKE GASKET,REMOVED & REPLACED
101946,ROCKER COVER GASKETS,REMOVED & REPLACED
101947,"BAFFLE SECTION, SECTION","REMOVED, DAMAGED"
101948,ROCKER COVER GASKETS,REMOVED & REPLACED
101949,ROCKER COVER GASKET,REPLACED
101950,HARDWARE,INSTALLED
101951,INDUCTION TUBE GASKET,INSTALLED
101952,"BAFFLE SEAL, BAFFLE",RIVETED
101953,INTAKE GASKETS,REMOVED & REPLACED
101954,INTAKE GASKET,REMOVED & REPLACED
101955,INTAKE GASKETS,REMOVED & REPLACED
101956,ROCKER COVER GASKETS,REPLACED
101957,RIVETS,REMOVED
101958,"THREADS, TAP",CLEANED
101959,BAFFLE PLUG,REMOVED & REPLACED
101960,BAFFLE,REMOVED & REPLACED
101961,CRACK,
101962,,REPLACED
101963,THREADS,"CLEANED, SCREW"
101964,"BOTH #2, INTAKE GASKETS",REPLACED
101965,,CANNED
101966,INTAKE GASKET,REMOVED & REPLACED
101967,INTAKE GASKETS,REMOVED & REPLACED
101968,INTAKE GASKETS,REMOVED & REPLACED
101969,INTAKE GASKET,INSTALLED
101970,ROCKER COVER GASKET,REMOVED & REPLACED
101971,"BAFFLE SEAL, BAFFLE",RESECURED
101972,INTAKE GASKETS,REPLACED
101973,GASKET,REMOVED & REPLACED
101974,"PLUG, PLUG",INSTALLED
101975,BAFFLE PLUGS,REPLACED
101976,BAFFLE PLUG,INSTALLED
101977,ROCKER GASKETS,REMOVED & REPLACED
101978,SCREW,INSTALLED
101979,BAFFLE CROSSTIE,INSTALLED
101980,ROCKER COVER GASKETS,REMOVED & REPLACED
101981,GASKET,INSTALLED
101982,"BAFFLE, RIVETS",REMOVED
101983,ROCKER COVER GASKET,REMOVED & REPLACED
101984,PLUGS,REPLACED
101985,ROCKER COVER GASKETS,REMOVED & REPLACED
101986,INSPECTION,UPON
101987,ROCKER COVER GASKET,REMOVED & REPLACED
101988,INTAKE GASKET,REMOVED & REPLACED
101989,INTAKE GASKETS,REMOVED & REPLACED
101990,ROCKER BOX COVER GASKET,INSTALLED
101991,ROCKER COVER GASKET,REMOVED & REPLACED
101992,", LEAK",RAN
101993,SEAL,INSTALLED
101994,ROCKER COVER GASKET,REMOVED & REPLACED
101995,INTAKE GASKET,REMOVED & REPLACED
101996,PLUG,INSTALLED
101997,GASKETS,REPLACED
101998,ROCKER COVER GASKET,REMOVED & REPLACED
101999,GASKET,REMOVED & REPLACED
102000,,REMOVED & REPLACED
102001,GASKET,REMOVED & REPLACED
102002,"A/C., CK","RAN, RPM & IDLE"
102003,GASKET,REMOVED & REPLACED
102004,CK,"RECHECKED, COMPRESSIONS, RUN"
102005,INTAKE GASKET,REMOVED & REPLACED
102006,ROCKER COVER GASKET,REMOVED & REPLACED
102007,GASKET,REPLACED
102008,SCREWS,TIGHTENED
102009,RIVET,"REMOVED & REPLACED, SHEARED"
102010,BAFFLE MATERIAL RIVET,"REPLACED, UPPER"
102011,ROCKER COVERS,REMOVED
102012,INTAKE GASKET,REMOVED & REPLACED
102013,ACTION,
102014,,INSTALLED
102015,GASKET,REPLACED
102016,,"RESECURED, TIE WIRE"
102017,GASKETS,REPLACED
102018,BOLT,INSTALLED
102019,,"TIGHTENED, SCREW"
102020,"PATCH, PATCH, BAFFLE","REMOVED, CRACKED"
102021,ROCKER GASKET,REPLACED
102022,GROUND,
102023,,"INSPECTED, REMOVED & R"
102024,"A/C, 'S WERE","RAN, RAN VERY ROUGH"
102025,PISTON,INSPECTED
102026,EXHAUST VALVE,REAMED
102027,"ENGINE, OPS & LEAK, CK",RAN
102028,BAFFLES,INSTALLED
102029,CYL ASSY KI,REMOVED
102030,FASTENERS,INSTALLED
102031,CK,"RAN, UP"
102032,INTAKE GASKET,REMOVED & REPLACED
102033,ROCKER COVER GASKET,REMOVED & REPLACED
102034,ROCKER COVER GASKETS,REMOVED & REPLACED
102035,ROCKER COVER GASKET,REMOVED & REPLACED
102036,,
102037,,REMOVED
102038,"BOTH, DOWNS",
102039,"A/C, ENGINE",RAN
102040,GASKET,REMOVED & REPLACED
102041,GASKET,REMOVED & REPLACED
102042,BOLT,INSTALLED
102043,BAFFLE SEAL,REMOVED & REPLACED
102044,GASKET,REPLACED
102045,CK,RUN
102046,CYL,INSTALL
102047,COMPRESSION,ATTEMPTED
102048,"BAFFLES & LINES, CYL",REMOVED
102049,,REMOVED & REPLACED
102050,ROCKER COVER GASKETS,REMOVED & REPLACED
102051,ROCKER COVER GASKETS,REMOVED & REPLACED
102052,PLUG,REPLACED
102053,,
102054,INTAKE GASKET,REMOVED & REPLACED
102055,SCREWS,TIGHTENED
102056,PATCH,FABRICATED
102057,"SCREW, ROCKER BOX C",INSTALLED
102058,,SWAGED
102059,CK,
102060,INTAKE GASKET,REMOVED & REPLACED
102061,INTAKE GASKET,REMOVED & REPLACED
102062,ROCKER COVER GASKETS,REMOVED & REPLACED
102063,BAFFLE,REPOSITIONED
102064,,
102065,ROCKER COVER GASKET,REMOVED & REPLACED
102066,INTAKE GASKET,REPLACED
102067,INTAKE GASKET,REPLACED
102068,ROCKER COVER GASKET,REPLACED
102069,,"REPLACED, SCREW"
102070,ROCKER COVER GASKET,REMOVED & REPLACED
102071,ROCKER COVER GASKET,REMOVED & REPLACED
102072,BAFFLE,INSTALL
102073,BAFFLE SEAL,REATTACHED
102074,"BRACKET, BAFFLE",INSTALLED
102075,GASKET,INSTALLED
102076,ROCKER COVER GASKET,REMOVED & REPLACED
102077,INTAKE GASKET,REMOVED & REPLACED
102078,ROCKER COVER GASKETS,REMOVED & REPLACED
102079,ROCKER COVER GASKET,REPLACED
102080,"SEALS, CK",REPLACED
102081,GASKET,REMOVED & REPLACED
102082,GASKET,REMOVED & REPLACED
102083,RESWAGED LOWER TUBE,CLEANED
102084,INTAKE GASKET,REMOVED & REPLACED
102085,ROCKER COVER GASKET,REMOVED & REPLACED
102086,ROCKER COVER GASKET,INSTALLED
102087,ROCKER COVER GASKET,REMOVED & REPLACED
102088,INTAKE GASKET,REMOVED & REPLACED
102089,,REPLACED
102090,LOOSE BOLT & RESAFETIED,TIGHTENED
102091,ENGINE GROUND STRAP,SECURED
102092,PATCH,
102093,BAFFLE SEAL,INSTALLED
102094,INTAKE GASKETS,REMOVED & REPLACED
102095,INTAKE GASKETS,REMOVED & REPLACED
102096,ROCKER GASKETS,REMOVED & REPLACED
102097,ROCKER COVER GASKETS,REMOVED & REPLACED
102098,CK,
102099,"OIL FILLER TUBE, OIL COOLER LINE",REMOVED
102100,"CAP ON #, BOTTOM SPARK PLUG",TIGHTENED
102101,GASKETS,REMOVED & REPLACED
102102,GASKETS,REMOVED & REPLACED
102103,INTAKE GASKETS,REMOVED & REPLACED
102104,,"REMOVED, TOOL"
102105,SCREW,INSTALLED
102106,ROCKER COVER GASKET,REMOVED & REPLACED
102107,,REPLACED
102108,BAFFLE SEAL,SECURED
102109,,REPAIRED
102110,INTAKE GASKET,REPLACED
102111,BAFFLE PLUGS,INSTALLED
102112,ANCHOR ASSY,REMOVED & REPLACED
102113,"REQUIRED, BAFFLE WAS",DISASSEMBLED
102114,GASKET,REMOVED & REPLACED
102115,ROCKER GASKETS,REMOVED & REPLACED
102116,INTAKE GASKETS,REMOVED & REPLACED
102117,,"REMOVED & REPLACED, STACK"
102118,INTAKE GASKET,INSTALLED
102119,ROCKER COVER GASKETS,REMOVED & REPLACED
102120,SCREW,INSTALLED
102121,"COMPRESSION, CK",RAN & TAXIED
102122,"GASKETS, CK",REPLACED
102123,BOTH ENGINES,
102124,,REMOVED & REPLACED
102125,INTAKES,REMOVED & REPLACED
102126,INTAKE GASKETS,REMOVED & REPLACED
102127,ROCKER COVER GASKETS,REMOVED & REPLACED
102128,GASKET,REMOVED & REPLACED
