IDENT,PROBLEM,PROBLEM_TYPE,LOCATION,PROBLEM_PART,TAGGEDPROBLEM,EFFECT,ACTION,ACTION_TYPE,INSTALL/REPLACE WITH,ACTION_PART,TAGGEDACTION,CAUSE
101711,#4 INTAKE GASKET IS LEAKING.,OK,#4,INTAKE GASKET,LEAKING,,REPLACED GASKET.,,,GASKET,REPLACED,
101712,#4 ROCKER GASKET IS LEAKING.,OK,#4,ROCKER GASKET,LEAKING,,REPLACED GASKET.,,,GASKET,REPLACED,
101713,WORN BAFFLE PLUGS.,OK,,BAFFLE PLUGS,WORN,,REMOVED & REPLACED BAFFLE PLUGS.,,,BAFFLE PLUGS,REMOVED & REPLACED,
101714,ROCKER COVER GASKETS CYLINDER #2 & 4 LEAKING.,OK,CYLINDER #2 & 4,ROCKER COVER GASKETS,LEAKING,,REMOVED & REPLACED ROCKER COVER GASKETS.,,,ROCKER COVER GASKETS,REMOVED & REPLACED,
101715,#2 ROCKER COVER GASKET LEAKING.,OK,#2,ROCKER COVER GASKET,LEAKING,,REMOVED & REPLACED #2 ROCKER COVER GASKET.,,,ROCKER COVER GASKET,REMOVED & REPLACED,
101716,"DURING GO AROUND FROM A SIMULATED ENGINE FAILURE, ENGINE RAN ROUGH",OK,ENGINE,,ROUGH,,"RAN A/C, MAGNETOS DROP, IDLE & IDLE MIXTURE RISE CHECK GOOD. A/",,,"A/C, IDLE & IDLE MIXTURE","RAN , CHECK",
101717,L/H ENGINE #4 CYLINDER HAS BAD EXHAUST VALVE.,OK,L/H ENGINE #4 CYLINDER,EXHAUST VALVE,BAD,,OPS CHECK GOOD ON PROP GOV.,,,PROP GOV,CHECK,
101718,#3 INTAKE LEAKING ON R/H ENGINE.,OK,#3 ON R/H ENGINE,INTAKE,LEAKING,,REMOVED & REPLACED #3 INTAKE GASKET ON R/H ENGINE.,,,INTAKE GASKET,REMOVED & REPLACED,
101719,#1 & 3 ROCKER COVERS LEAKING ON L/H ENGINE.,OK,#1 & 3 ON L/H ENGINE,ROCKER COVERS,LEAKING,,REMOVED & REPLACED ROCKER COVER GASKETS ON L/H ENGINE.,,,ROCKER COVER GASKETS,REMOVED & REPLACED,
101720,L/H ENGINE #4 CYLINDER HAS BAD EXHAUST VALVE.,OK,L/H ENGINE #4 CYLINDER,EXHAUST VALVE,BAD,,"RECONNECTED ALL CONNECTIONS, ATTACHED PROP GOV CABLE (1",,,"CONNECTIONS, PROP GOV CABLE","RECONNECTED, ATTACHED",
101721,L/H ENGINE #4 CYLINDER HAS BAD EXHAUST VALVE.,OK,L/H ENGINE #4 CYLINDER,EXHAUST VALVE,BAD,,"REMOVED #4 CYLINDER, INSTALLLED SERVICEABLE CYLINDER ASSY. T",,SERVICEABLE,CYLINDER ASSY,REMOVED & INSTALLLED,
101722,"L/H ENG, FIRST STAGE COMPRESSOR ROTOR HAS 1",DIFFICULT,,,,,"INSPECTED, FOUND TO REQUIRE REPAIR. PERFORMED REPAIR IA",,,FIRST STAGE COMPRESSOR ROTOR,INSPECTED & REPAIR,
101723,CYLINDER #2 TOP BAFFLE SEAL IS LOOSE.,OK,CYLINDER #2 TOP ,BAFFLE SEAL,LOOSE,,RESECURED BAFFLE SEAL.,,,BAFFLE SEAL,RESECURED,
101724,INTAKE GASKET CYLINDER #3 LEAKING.,OK,CYLINDER #3,INTAKE GASKET,LEAKING,,REMOVED & REPLACED INTAKE GASKET.,,,INTAKE GASKET,REMOVED & REPLACED,
101725,ROCKER COVER GASKET CYLINDER #3 LEAKING.,OK,CYLINDER #3,ROCKER COVER GASKET,LEAKING,,REMOVED & REPLACED ROCKER COVER GASKET.,,,ROCKER COVER GASKET,REMOVED & REPLACED,
101726,INTAKE TUBE CYLINDER #1 LEAKING AROUND OIL SUMP CONNECTION AREA.,OK,CYLINDER #1,INTAKE TUBE,LEAKING,,REMOVED ENGINE COWLING.,,,ENGINE COWLING,REMOVED,
101727,INTAKE TUBE CYLINDER #1 LEAKING AROUND OIL SUMP CONNECTION AREA.,OK,CYLINDER #1,INTAKE TUBE,LEAKING,,SWEDGED INTAKE TUBE IAW LYCOMING OVERHAUL,,,INTAKE TUBE,SWEDGED,
101728,#4 INTAKE GASKET LEAKING.,OK,#4,INTAKE GASKET,LEAKING,,REPLACED GASKET.,,,GASKET,REPLACED,
101729,#3 & 4 ROCKER GASKETS LEAKING.,OK,#3 & 4,ROCKER GASKETS,LEAKING,,REMOVED & REPLACED GASKETS.,,,GASKETS,REMOVED & REPLACED,
101730,ENGINE OVERSPEED TO 2730 RPM FOR 1 SECOND.,OK,ENGINE,,OVERSPEED,,"REMOVED SD CARD, DOWNLOADED DATA WHICH INDICATED MAX RP",,,"SD CARD, DATA","REMOVED, DOWNLOADED",
101731,#2 ROCKER COVER GASKET IS LEAKING.,OK,#2,ROCKER COVER GASKET,LEAKING,,REPLACED GASKET WITH NEW.,,NEW,GASKET,REPLACED,
101732,#2 INTAKE TUBE LEAKING AT SUMP & CYLINDER.,OK,#2,INTAKE TUBE,LEAKING,,REMOVED & REPLACED INTAKE GASKET WITH NEW. TIGHTENED SUMP,,NEW,"INTAKE GASKET,SUMP","REMOVED & REPLACED,TIGHTENED",
101733,CYLINDER #4 ROCKER COVER GASKET LEAKING.,OK,CYLINDER #4,ROCKER COVER GASKET,LEAKING,,REMOVED & REPLACED CYLINDER #4 ROCKER COVER GASKET.,,,ROCKER COVER GASKET,REMOVED & REPLACED,
101734,CYLINDER #4 ROCKER COVER GASKET LEAKING.,OK,CYLINDER #4,ROCKER COVER GASKET,LEAKING,,REMOVED & REPLACED CYLINDER #4 ROCKER COVER GASKET.,,,ROCKER COVER GASKET,REMOVED & REPLACED,
101735,"CYLINDER #2, 4 INTAKE GASKETS APPEAR TO BE LEAKING.",OK,"CYLINDER #2, 4",INTAKE GASKETS,LEAKING,,"REMOVED & REPLACED CYLINDER #2, 4 INTAKE GASKETS.",,,INTAKE GASKETS,REMOVED & REPLACED,
101736,#4 INTAKE IS LEAKING.,OK,#4,INTAKE,LEAKING,,REMOVED & REPLACED GASKET.,,,GASKET,REMOVED & REPLACED,
101737,#3 & 2 ROCKER COVERS ARE LEAKING.,OK,#3 & 2,ROCKER COVERS,LEAKING,,REMOVED & REPLACED #2 & 3 ROCKER COVER GASKETS.,,,ROCKER COVER GASKETS,REMOVED & REPLACED,
101738,HIGH PITCHED SQUEALING NOISE HEARD DURING FLIGHT.,OK,,,NOISE,,"RAN UP A/C, NO SQUEALING NOISE NOTED. OPS CHECK GOOD.",,,"A/C, SQUEAL","RAN , CHECK",
101739,LOW POWER AVAILABLE. HELO REQUIRED LMP TO HOVER,OK,,,POWER PROBLEM,,INSPECTED & FOUND NO DEFECTS. MX FLIGHT REQUIRED,,,,,
101740,CYLINDER #4 & 2 ROCKER COVER GASKETS LEAKING.,OK,CYLINDER #4 & 2,ROCKER COVER GASKETS,LEAKING,,REMOVED & REPLACED ROCKER COVER GASKETS.,,,ROCKER COVER GASKETS,REMOVED & REPLACED,
101741,#1 CYLINDER ROCKER OIL RETURN LINE IS CHAFING.,OK,#1 CYLINDER,ROCKER OIL RETURN LINE,CHAFING,,LEAK CHECK GOOD.,,,LEAK,CHECK,
101742,#1 CYLINDER ROCKER OIL RETURN LINE IS CHAFING.,OK,#1 CYLINDER,ROCKER OIL RETURN LINE,CHAFING,,REMOVED & REPLACED OIL LINE WITH NEW.,,NEW,OIL LINE,REMOVED & REPLACED,
101743,#2 & 4 ROCKER COVER GASKETS LEAKING.,OK,#2 & 4,ROCKER COVER GASKETS,LEAKING,,REMOVED & REPLACED GASKETS WITH NEW.,,NEW,GASKETS,REMOVED & REPLACED,
101744,BAFFLE BUTTON PLUG IS WORN.,OK,,BAFFLE BUTTON PLUG,WORN,,REMOVED & REPLACED PLUG WITH NEW.,,NEW,PLUG,REMOVED & REPLACED,
101745,#3 ROCKER COVER GASKET IS TORN.,OK,#3,ROCKER COVER GASKET,TORN,,REMOVED & REPLACED GASKET WITH NEW.,,NEW,GASKET,REMOVED & REPLACED,
101746,CYLINDER #2 INTAKE GASKET LEAKING.,OK,CYLINDER #2,INTAKE GASKET,LEAKING,,REMOVED & REPLACED INTAKE GASKET.,,,INTAKE GASKET,REMOVED & REPLACED,
101747,FORWARD BOTTOM ENGINE BAFFLE SEAL HAS HOLES IN IT.,OK,FORWARD BOTTOM ENGINE,BAFFLE SEAL,HOLES,,REMOVED & REPLACED BAFFLE.,,,BAFFLE,REMOVED & REPLACED,
101748,CYLINDER #3 ROCKER COVER GASKET LEAKING.,OK,CYLINDER #3,ROCKER COVER GASKET,LEAKING,,REMOVED & REPLACED ROCKER COVER GASKET.,,,ROCKER COVER GASKET,REMOVED & REPLACED,
101749,#4 ROCKER COVER GASKET LEAKING.,OK,#4,ROCKER COVER GASKET,LEAKING,,REMOVED & REPLACED #4 ROCKER COVER GASKET.,,,ROCKER COVER GASKET,REMOVED & REPLACED,
101750,OIL COOLER LOWER BAFFLE SEAL IS MISSING.,OK,LOWER,OIL COOLER BAFFLE SEAL,MISSING,,APPLIED HIGH TEMPERATURE SILICONE.,,HIGH TEMPERATURE,SILICONE,APPLIED,
101751,#2 ROCKER COVER IS LEAKING.,OK,#2,ROCKER COVER,LEAKING,,REMOVED & REPLACED CYLINDER #2 ROCKER COVER GASKET.,,,ROCKER COVER GASKET,REMOVED & REPLACED,
101752,L/H ENGINE WILL NOT START.,OK,L/H ENGINE,,WILL NOT START,,STARTED L/H ENGINE & PERFORMED MAGNETOS DROP & RUN UP PROCED,,,"ENGINE, MAGNETOS",STARTED & PERFORMED & RUN,
101753,CYLINDER #1 ROCKER COVER GASKET LEAKING.,OK,CYLINDER #1,ROCKER COVER GASKET,LEAKING,,REMOVED & REPLACED ROCKER COVER GASKET.,,,ROCKER COVER GASKET,REMOVED & REPLACED,
101754,#2 INTAKE LEAKING.,OK,#2,INTAKE,LEAKING,,REPLACED GASKET.,,,GASKET,REPLACED,
101755,#1 & 2 ROCKER COVERS LEAKING.,OK,#1 & 2,ROCKER COVERS,LEAKING,,REMOVED & REPLACED ROCKER COVER GASKETS.,,,ROCKER COVER GASKETS,REMOVED & REPLACED,
101756,ENGINE DIED AFTER LANDING.,OK,ENGINE,,DIED,,STARTED A/C USING FLOODED START PROCEDURE. A/C RAN NORM,,,A/C,STARTED & RAN,
101757,ENGINE HAD MOMENTARY OVERSPEED TO 2770 RPM.,OK,ENGINE,,OVERSPEED,,"PER LYCOMING , NO FURTHER ACTION REQUIRED AS OVE",,,,REQUIRED,
101758,#2 CYLINDER ROCKER COVER SCREW IS MISSING.,OK,#2 CYLINDER,ROCKER COVER SCREW,MISSING,,INSTALLED NEW SCREW.,,NEW,SCREW,INSTALLED,
101759,#1 ROCKER COVER GASKET LEAKING.,OK,#1,ROCKER COVER GASKET,LEAKING,,INSTALLED NEW #1 ROCKER BOX COVER GASKET.,,NEW,ROCKER BOX COVER GASKET,INSTALLED,
101760,INTAKE GASKET CYLINDER #2 LEAKING.,OK,CYLINDER #2,INTAKE GASKET,LEAKING,,REMOVED & REPLACED INTAKE GASKET.,,,INTAKE GASKET,REMOVED & REPLACED,
101761,ROCKER COVER GASKET CYLINDER #2 LEAKING.,OK,CYLINDER #2,ROCKER COVER GASKET,LEAKING,,REMOVED & REPLACED ROCKER COVER GASKET.,,,ROCKER COVER GASKET,REMOVED & REPLACED,
101762,#3 INTAKE GASKET LEAKING.,OK,#3,INTAKE GASKET,LEAKING,,REMOVED & REPLACED GASKET.,,,GASKET,REMOVED & REPLACED,
101763,#3 INTAKE LEAKING.,OK,#3,INTAKE,LEAKING,,REMOVED & REPLACED #3 INTAKE GASKET.,,,INTAKE GASKET,REMOVED & REPLACED,
101764,R/H BAFFLE SAFETY WIRE BROKEN.,OK,R/H,BAFFLE SAFETY WIRE,BROKEN,,SECURED WITH NEW SAFETY WIRE & SPIRAL WRAP.,,NEW,"SAFETY WIRE, SPIRAL WRAP",SECURED,
101765,L/H BAFFLE BUTTON PLUG IS BROKEN.,OK,L/H,BAFFLE BUTTON PLUG,BROKEN,,INSTALLED NEW PLUG.,,NEW,PLUG,INSTALLED,
101766,#2 INTAKE LEAKING.,OK,#2,INTAKE,LEAKING,,REMOVED & REPLACED INTAKE GASKET.,,,INTAKE GASKET,REMOVED & REPLACED,
101767,"CYLINDER #1, 3, 4 ROCKER COVERS ARE LEAKING.",OK,"CYLINDER #1, 3, 4",ROCKER COVERS,LEAKING,,REMOVED & REPLACED ROCKER COVER GASKETS.,,,ROCKER COVER GASKETS,REMOVED & REPLACED,
101768,CASE HALVES LEAKING ON BOTTOM FORWARD PORTION.,OK,BOTTOM FORWARD PORTION,CASE HALVES,LEAKING,,"CLEANED ENGINE, RAN A/C, INSPECTED & DETECTED NO LEAKS.",,,"ENGINE, A/C","CLEANED, RAN, INSPECTED",
101769,#1 INTAKE IS LEAKING.,OK,#1,INTAKE,LEAKING,,REMOVED & REPLACED GASKET.,,,GASKET,REMOVED & REPLACED,
101770,L/H I/B BAFFLE SPRING IS BRKOEN.,OK,L/H I/B,BAFFLE SPRING,BROKEN,,INSTALLED NEW SPRING.,,NEW,SPRING,INSTALLED,
101771,ROCKER COVER GASKET CYLINDER #2 LEAKING.,OK,CYLINDER #2,ROCKER COVER GASKET,LEAKING,,DRESSED PROP.,,,PROP,DRESSED,
101772,"INTAKE GASKET, CYLINDER #2, LEAKING.",OK,CYLINDER #2,INTAKE GASKET,LEAKING,,REMOVED & REPLACED INTAKE GASKET.,,,INTAKE GASKET,REMOVED & REPLACED,
101773,CYLINDER #4 INTAKE GASKET IS LEAKING.,OK,CYLINDER #4,INTAKE GASKET,LEAKING,,REMOVED & REPLACED GASKET WITH NEW.,,NEW,GASKET,REMOVED & REPLACED,
101774,#2 & 4 INTAKES ARE LEAKING ON L/H ENGINE.,OK,#2 & 4 ON L/H ENGINE,INTAKES,LEAKING,,REPLACED GASKETS ON 2 & 4 INTAKES.,,,GASKETS,REPLACED,
101775,R/H ENGINE CYLINDER #4 AFT BAFFLE BRACKET CRACKED.,OK,R/H ENGINE CYLINDER #4 AFT,BAFFLE BRACKET,CRACKED,,STOP DRILLED CRACK.,,,DRILLED CRACK,STOP,
101776,R/H ENGINE CYLINDER #3 INTAKE GASKET LEAKING.,OK,R/H ENGINE CYLINDER #3,INTAKE GASKET,LEAKING,,REMOVED & REPLACED CYLINDER #3 INTAKE GASKET.,,,INTAKE GASKET,REMOVED & REPLACED,
101777,"L/H ENG, CYLINDER #2 ROCKER COVER LEAKING.",OK,"L/H ENG, CYLINDER #2",ROCKER COVER,LEAKING,,REMOVED & REPLACED L/H ENGINE CYLINDER #2 ROCKER COVER GASKET.,,,ROCKER COVER GASKET,REMOVED & REPLACED,
101778,"L/H ENGINE ROCKER COVER GASKETS, CYLINDER 3, LEAKING.",OK,L/H ENGINE CYLINDER 3,ROCKER COVER GASKETS,LEAKING,,REMOVED & REPLACED L/H ENGINE ROCKER COVER GASKET.,,,ROCKER COVER GASKET,REMOVED & REPLACED,
101779,R/H ENGINE CYLINDER #3 ROCKER COVER GASKET LEAKING.,OK,R/H ENGINE CYLINDER #3,ROCKER COVER GASKET,LEAKING,,REMOVED & REPLACED R/H ENGINE CYLINDER #3 ROCKER COVER GASKET.,,,ROCKER COVER GASKET,REMOVED & REPLACED,
101780,#2 INDUCTION TUBE GASKET LEAKING.,OK,#2,INDUCTION TUBE GASKET,LEAKING,,INSTALLED NEW INDUCTION TUBE GASKET.,,NEW,INDUCTION TUBE GASKET,INSTALLED,
101781,PARTICLE SEPERATOR HAS GRASS IN IT.,OK,,PARTICLE SEPERATOR,GRASS,,CLEANED GRASS OUT OF PARTICLE SEPERATOR.,,,"GRASS, PARTICLE SEPERATOR",CLEANED,
101782,CYLINDER #4 INTAKE IS LEAKING.,OK,CYLINDER #4,INTAKE,LEAKING,,INSTALLED NEW INDUCTION TUBE GASKET.,,NEW,INDUCTION TUBE GASKET,INSTALLED,
101783,FORWARD LOWER ENGINE BAFFLE CRACKED.,OK,FORWARD LOWER ENGINE,BAFFLE,CRACKED,,"REMOVED ENGINE BAFFLE, STOP DRILLED CRACK, FABRICATED P",,,"ENGINE BAFFLE, DRILLED CRACK","REMOVED, STOP",
101784,R/H ENGINE SIDE BAFFLE CRACKED.,OK,R/H ENGINE SIDE,BAFFLE,CRACKED,,STOP DRILLED CRACK.,,,DRILLED CRACK,STOP,
101785,CYLINDER #2 ROCKER COVER GASKET LEAKING.,OK,CYLINDER #2,ROCKER COVER GASKET,LEAKING,,REMOVED & REPLACED CYLINDER #2 ROCKER COVER GASKET.,,,ROCKER COVER GASKET,REMOVED & REPLACED,
101786,FORWARD BAFFLE NEAR ALTERNATOR IS CRACKED.,OK,FORWARD NEAR ALTERNATOR,BAFFLE,CRACKED,,STOP DRILLED CRACK.,,,DRILLED CRACK,STOP,
101787,BOTH ENGINE BAFFLE BUTTONS WORN.,OK,BOTH ENGINE,BAFFLE BUTTONS,WORN,,REPLACED & INSTALLED 2 BUTTONS.,,,BUTTONS,REPLACED & INSTALLED,
101788,ALL ROCKER COVER SCREWS LOOSE & 1 MISSING.,OK,ALL &1,ROCKER COVER SCREWS,LOOSE & MISSING,,REPLACED MISSING SCREW & TIGHTENED ALL SCREWS.,,,"SCREW, SCREWS",REPLACED & TIGHTENED,
101789,CYLINDER #4 INTAKE IS LEAKING.,OK,CYLINDER #4,INTAKE,LEAKING,,INSTALLED NEW INDUCTION TUBE GASKET.,,NEW,INDUCTION TUBE GASKET,INSTALLED,
101790,"DURING CRUISE, ENGINE BECAME INCREDIBLY ROUGH. ENGINE CONTIN",OK,ENGINE,,ROUGH,,RAN A/C & CYLINDER LEAK & OPS CHECK GOOD.,,,"A/C, CYLINDER, LEAK","RAN, CHECK & CHECK",
101791,"DURING CRUISE, ENGINE BECAME INCREDIBLY ROUGH. ENGINE CONTIN",OK,ENGINE,,ROUGH,,REMOVED #2 CYL. FOUND #2 EXHAUST VALVE & GUIDE GALLED.,,,#2 CYL EXHAUST VALVE & GUIDE,REMOVED & FOUND,2 EXHAUST VALVE & GUIDE GALLED
101792,"DURING CRUISE, ENGINE BECAME INCREDIBLY ROUGH. ENGINE CONTIN",OK,ENGINE,,ROUGH,,COMPLETED INSTALLATION OF #2 CYL. SERVICED ENGINE WITH 8,,,"#2 CYL, ENGINE","INSTALLED, SERVICED",
101793,#3 INTAKE LEAKING.,OK,#3,INTAKE,LEAKING,,REPLACED INTAKE GASKET.,,,INTAKE GASKET,REPLACED,
101794,BOTH BAFFLE PLUGS WORN.,OK,BOTH,BAFFLE PLUGS,WORN,,REMOVED & REPLACED PLUGS.,,,PLUGS,REMOVED & REPLACED,
101795,R/H AFT BAFFLE CRACKED.,OK,R/H AFT,BAFFLE,CRACKED,,"DISCONNECTED OIL PRESSURE LINE, DISPLACED OIL COOLER. F",,,"OIL PRESSURE LINE, OIL COOLER","DISCONNECTED, DISPLACED",
101796,ROCKER COVER GASKET CYLINDER #1 LEAKING.,OK,CYLINDER #1,ROCKER COVER GASKET,LEAKING,,REMOVED & REPLACED ROCKER COVER GASKET.,,,ROCKER COVER GASKET,REMOVED & REPLACED,
101797,#4 ROCKER COVER GASKET LEAKING.,OK,#4,ROCKER COVER GASKET,LEAKING,,REMOVED & REPLACED #4 ROCKER COVER GASKET.,,,ROCKER COVER GASKET,REMOVED & REPLACED,
101798,#4 ROCKER COVER GASKET LEAKING.,OK,#4,ROCKER COVER GASKET,LEAKING,,REPLACED GASKET.,,,GASKET,REPLACED,
101799,SCREW MISSING ON #4 ROCKER COVER.,OK,#4,ROCKER COVER SCREW,MISSING,,INSTALLED NEW SCREW.,,NEW,SCREW,INSTALLED,
101800,#4 INTAKE LEAKING.,OK,#4,INTAKE,LEAKING,,REMOVED & REPLACED #4 INTAKE GASKET.,,,INTAKE GASKET,REMOVED & REPLACED,
101801,L/H BAFFLE PLUG LOCK TABS MISSING.,OK,L/H,BAFFLE PLUG LOCK TABS,MISSING,,INSTALLED NEW BAFFLE PLUG.,,NEW,BAFFLE PLUG,INSTALLED,
101802,#3 ROCKER COVER IS LEAKING.,OK,#3,ROCKER COVER,LEAKING,,REMOVED & REPLACED GASKET.,,,GASKET,REMOVED & REPLACED,
101803,#2 INTAKE LEAKING.,OK,#2,INTAKE,LEAKING,,REPLACED CYLINDER #2 INTAKE GASKET.,,,INTAKE GASKET,REPLACED,
101804,R/H FORWARD ENGINE BAFFLE SEAL LOOSE.,OK,R/H FORWARD ENGINE,BAFFLE SEAL,LOOSE,,REATTACHED BAFFLE SEAL.,,,BAFFLE SEAL,REATTACHED,
101805,#2 INDUCTION TUBE GASKET LEAKING.,OK,#2,INDUCTION TUBE GASKET,LEAKING,,INSTALLED NEW #2 INDUCTION TUBE GASKET.,,NEW,INDUCTION TUBE GASKET,INSTALLED,
101806,R/H REAR ENGINE BAFFLE SUPPORT BRACKET RIVETS BROKEN.,OK,R/H REAR ENGINE,BAFFLE SUPPORT BRACKET RIVETS,BROKEN,,"LOOSENED OIL COOLER, OIL PRESSURE LINE. RE-RIVETED BAFF",,,"OIL COOLER, OIL PRESSURE LINE, BAFFLE SUPPORT BRACKET RIVETS","LOOSENED, RE-RIVETED",
101807,#2 & 4 INTAKES LEAKING.,OK,#2 & 4,INTAKES,LEAKING,,REPLACED GASKETS ON #2 & 4 INTAKES.,,,GASKETS,REPLACED,
101808,#3 INTAKE LEAKING ON R/H ENGINE.,OK,#3 ON R/H ENGINE,INTAKE,LEAKING,,REMOVED & REPLACED INTAKE GASKET.,,,INTAKE GASKET,REMOVED & REPLACED,
101809,"INTAKES 2, 3 & 4 LEAKING ON L/H ENGINE.",OK,"2, 3 & 4 ON L/H ENGINE",INTAKES,LEAKING,,REMOVED & REPLACED INTAKE GASKETS.,,,INTAKE GASKETS,REMOVED & REPLACED,
101810,LOWER L/H FORWARD BAFFLE SEAL IS LOOSE.,OK,LOWER L/H FORWARD,BAFFLE SEAL,LOOSE,,REPAIRED BAFFLE SEAL & SECURED.,,,BAFFLE SEAL,REPAIRED & SECURED,
101811,"CLIMBING AFTER TAKEOFF, ENGINE CHOKED & BACK FIRED.",OK,ENGINE,,CHOKED & BACK FIRED,,"PERFORMED ENGINE RUN UP, CHECK FOR NORMAL OPERATION AT",,,ENGINE,"RUN , CHECK",
101812,LOWER FRONT ENGINE CASE HALF SEAM IS LEAKING.,OK,LOWER FRONT ENGINE,CASE HALF SEAM,LEAKING,,"REINSTALLED FLYWHEEL. REINSTALLED, TORQUED & SAFETIED P",,,"FLYWHEEL, P","REINSTALLED , REINSTALLED & TORQUED & SAFETIED",
101813,LOWER FRONT ENGINE CASE HALF SEAM IS LEAKING.,OK,LOWER FRONT ENGINE,CASE HALF SEAM,LEAKING,,REMOVED PROP & FLYWHEEL TO GAIN ACCESS. CLEANED FORWARD CAS,,,"PROP, FLYWHEEL, FORWARD CAS","REMOVED, CLEANED",
101814,#4 INTAKE TUBE LEAKING.,OK,#4,INTAKE TUBE,LEAKING,,REMOVED & REPLACED INTAKE GASKET.,,,INTAKE GASKET,REMOVED & REPLACED,
101815,#1 ROCKER COVER LEAKING.,OK,#1,ROCKER COVER,LEAKING,,REMOVED & REPLACED #4 ROCKER COVER GASKET.,,,ROCKER COVER GASKET,REMOVED & REPLACED,
101816,LEFT IDLER GEAR HAS SPALLING ON FUEL PUMP CAM.,OK,LEFT,IDLER GEAR,SPALLING,,INSTALLED SERVICEABLE GEAR.,,SERVICEABLE,GEAR,INSTALLED,
101817,LEFT IDLER GEAR HAS SPALLING ON FUEL PUMP CAM.,OK,LEFT,IDLER GEAR,SPALLING,,"INSPECTED, FOUND TO BE SERVICEABLE.",,,,INSPECTED & FOUND,TO BE SERVICEABLE
101818,CYLINDER #2 ROCKER COVER GASKET LEAKING.,OK,CYLINDER #2,ROCKER COVER GASKET,LEAKING,,REMOVED & REPLACED ROCKER COVER GASKET.,,,ROCKER COVER GASKET,REMOVED & REPLACED,
101819,#4 INTAKE LEAKING.,OK,#4,INTAKE,LEAKING,,REMOVED & REPLACED GASKET.,,,GASKET,REMOVED & REPLACED,
101820,#2 ROCKER COVER LEAKING.,OK,#2,ROCKER COVER,LEAKING,,REMOVED & REPLACED ROCKER COVER GASKET.,,,ROCKER COVER GASKET,REMOVED & REPLACED,
101821,#2 INTAKE LEAKING.,OK,#2,INTAKE,LEAKING,,LEAK CHECK GOOD.,,,LEAK,CHECK,
101822,#2 INTAKE LEAKING.,OK,#2,INTAKE,LEAKING,,REMOVED & REPLACED INTAKE GASKET.,,,INTAKE GASKET,REMOVED & REPLACED,
101823,#1 ROCKER COVER LEAKING.,OK,#1,ROCKER COVER,LEAKING,,REMOVED & REPLACED #1 ROCKER COVER GASKET.,,,ROCKER COVER GASKET,REMOVED & REPLACED,
101824,ROCKER COVER GASKETS #3 & 2 ARE LEAKING.,OK,#3 & 2,ROCKER COVER GASKETS,LEAKING,,REMOVED & REPLACED ROCKER COVER GASKETS.,,,ROCKER COVER GASKETS,REMOVED & REPLACED,
101825,CYLINDER #4 AFT BAFFLE CRACKED.,OK,CYLINDER #4 AFT,BAFFLE,CRACKED,,"REMOVED & REPLACED AFT BAFFLE, INSTALLED NEW BAFFLE SPR",,NEW,"AFT BAFFLE, BAFFLE SPR","REMOVED & REPLACED , INSTALLED",
101826,L/H ENGINE BAFFLE PLUG DAMAGED.,OK,L/H ENGINE,BAFFLE PLUG,DAMAGED,,"REMOVED & REPLACED L/H BAFFLE PLUG, NEW CYLINDER #4 AFT BAFF",,NEW,"BAFFLE PLUG, CYLINDER #4 AFT BAFF",REMOVED & REPLACED,
101827,R/H #4 INTAKE GASKET IS LEAKING.,OK,R/H #4,INTAKE GASKET,LEAKING,,REMOVED & REPLACED GASKET.,,,GASKET,REMOVED & REPLACED,
101828,"CYLINDER #2, 3, & 4 ROCKER COVER GASKETS LEAKING.",OK,"CYLINDER #2, 3, & 4",ROCKER COVER GASKETS,LEAKING,,REMOVED & REPLACED ROCKER COVER GASKETS.,,,ROCKER COVER GASKETS,REMOVED & REPLACED,
101829,CYLINDER #2 INTAKE GASKET LEAKING.,OK,CYLINDER #2,INTAKE GASKET,LEAKING,,REMOVED & REPLACED CYLINDER #2 INTAKE GASKET.,,,INTAKE GASKET,REMOVED & REPLACED,
101830,ROCKER COVER GASKET CYLINDER #4 LEAKING.,OK,CYLINDER #4,ROCKER COVER GASKET,LEAKING,,REMOVED & REPLACED ROCKER COVER GASKET.,,,ROCKER COVER GASKET,REMOVED & REPLACED,
101831,#1 & 3 ROCKER COVERS LEAKING.,OK,#1 & 3,ROCKER COVERS,LEAKING,,REMOVED & REPLACED ROCKER COVER GASKETS.,,,ROCKER COVER GASKETS,REMOVED & REPLACED,
101832,#2 & 4 ROCKER COVERS LEAKING.,OK,#2 & 4,ROCKER COVERS,LEAKING,,REMOVED & REPLACED ROCKER COVER GASKETS.,,,ROCKER COVER GASKETS,REMOVED & REPLACED,
101833,BOLT MISSING FROM #4 CYLINDER HEAD.,OK,#4 CYLINDER HEAD,BOLT,MISSING,,INSTALLED NEW SCREW.,,NEW,SCREW,INSTALLED,
101834,BOLT MISSING FROM #4 CYLINDER HEAD.,OK,#4 CYLINDER HEAD,BOLT,MISSING,,"INSPECTED, FOUND NO BOLTS MISSING FROM CYLINDER #4 HEAD. FOU",,,BOLTS,INSPECTED & FOUND, NO BOLTS MISSING FROM CYLINDER #4 
101835,#2 & 3 INTAKE LEAKING.,OK,#2 & 3,INTAKE,LEAKING,,REMOVED & REPLACED #2 & 3 INTAKE GASKETS.,,,INTAKE GASKETS,REMOVED & REPLACED,
