IDENT,PROBLEM,TYPE,LOCATION,PART,TAGEDPROBLEM,ACTION,TYPE,WITH,INSTALL TYPE,ACTIONPART,TAGGEDACTION,CAUSE
100617,#2 CYLINDER HAS A STUCK VALVE.,Ok,#2 CYLINDER,VALVE,STUCK,"CHECKED VALVE GUIDE CLEARANCE, CHECK OK. CLEANED SPARK",,,,"VALVE GUIDE, SPARK","CHECKED, CLEANED",
100618,IDLE RPM IS LOW.,Ok,,IDLE,RPM PROBLEM,"ADJUSTED IDLE RPM PER SPECS, OPS CHECK GOOD.",,,,"IDLE RPM, OPS","ADJUSTED , CHECKED",
100619,"ROCKER COVERS #1, 2 & 3 LEAKING.",Ok,"#1, 2 & 3",ROCKER COVER,LEAKING,REMOVED & REPLACED ROCKER COVER GASKETS.,,,,ROCKER COVER GASKET,REMOVED & REPLACED,
100620,INDUCTION TUBE HOSE CLAMPS LOOSE (ALL  CYLINDER).,Ok,ALL  CYLINDER,INDUCTION TUBE HOSE CLAMP,LOOSE,TIGHTENED HOSE CLAMPS.,,,,HOSE CLAMP,TIGHTENED,
100621,R/H REAR ENGINE BAFFLE MOUNTING BRACKET RIVETS BROKEN.,Ok,R/H REAR ENGINE,BAFFLE MOUNTING BRACKET RIVET,BROKEN,REMOVED & REPLACED BROKEN BAFFLE MOUNTING BRACKET RIVET,,,,BAFFLE MOUNTING BRACKET RIVET,REMOVED & REPLACED,
100622,#3 INTAKE LEAKING.,Ok,#3,INTAKE,LEAKING,REMOVED & REPLACED #3 INTAKE GASKET.,,,,INTAKE GASKET,REMOVED & REPLACED,
100623,ROCKER BOX COVER SCREWS LOOSE.,Ok,,ROCKER BOX COVER SCREW,LOOSE,TIGHTENED SCREWS.,,,,SCREW,TIGHTENED,
100624,#4 INDUCTION TUBE GASKET LEAKING.,Ok,#4,INDUCTION TUBE GASKET,LEAKING,REMOVED & REPLACED GASKET.,,,,GASKET,REMOVED & REPLACED,
100625,#2 INTAKE GASKET LEAKING.,Ok,#2,INTAKE GASKET,LEAKING,REMOVED & REPLACED GASKET WITH NEW.,,WITH NEW,,GASKET,REMOVED & REPLACED,
100626,#1 INTAKE IS LEAKING.,Ok,#1,INTAKE,LEAKING,REMOVED & REPLACED GASKET.,,,,GASKET,REMOVED & REPLACED,
100627,#1 ROCKER GASKET LEAKING.,Ok,#1,ROCKER GASKET,LEAKING,REPLACED GASKET.,,,,GASKET,REPLACED,
100628,#2 & 4 BAFFLE PLUGS HAVE SEVERAL BROKEN PRONGS.,Ok,#2 & 4,BAFFLE PLUG PRONG,BROKEN,REPLACED BUTTON PLUGS.,,,,BUTTON PLUG,REPLACED,
100629,#2 INTAKE GASKET LEAKS.,Ok,#2,INTAKE GASKET,LEAKING,REMOVED & REPLACED GASKET.,,,,GASKET,REMOVED & REPLACED,
100630,"ROCKER COVER GASKET, CYLINDER #2, LEAKING.",Ok,CYLINDER #2,ROCKER COVER GASKET,LEAKING,REMOVED & REPLACED GASKET. CLEANED LEAKS IN AREA.,,,,"GASKET, LEAKS","REMOVED & REPLACED, CLEANED",
100631,#2 INTAKE LEAKING ON LEFT ENGINE.,Ok,#2 LEFT ENGINE,INTAKE,LEAKING,REMOVED & REPLACED #2 INTAKE GASKET ON L/H ENGINE.,,,,INTAKE GASKET,REMOVED & REPLACED,
100632,"ENGINE BAFFLE CRACKED AT TOP REAR CENTER BRACKET, AT ENGINE",Ok,TOP REAR CENTER BRACKET AT ENGINE,BAFFLE,CRACKED,FABRICATED PATCH FROM LIKE MATERIAL & RIVETED IAW,,,,PATCH,FABRICATED & RIVETED,
100633,#4 INTAKE GASKET IS LEAKING.,Ok,#4,INTAKE GASKET,LEAKING,REPLACED GASKET.,,,,GASKET,REPLACED,
100634,#3 & 4 ROCKER GASKETS ARE LEAKING.,Ok,#3 & 4,ROCKER GASKET,LEAKING,REMOVED & REPLACED #3 & 4 ROCKER COVER GASKETS.,,,,ROCKER COVER GASKET,REMOVED & REPLACED,
100635,"R/H ENGINE, L/H FORWARD BAFFLE SCREW MISSING.",Ok,"R/H ENGINE, L/H FORWARD",BAFFLE SCREW,MISSING,INSTALLED NEW SCREW.,,,NEW,SCREW,INSTALLED,
100636,R/H ENGINE #3 INDUCTION TUBE GASKET LEAKING.,Ok,R/H ENGINE #3,INDUCTION TUBE GASKET,LEAKING,REMOVED & REPLACED INTAKE GASKET WITH NEW.,,WITH NEW,,INTAKE GASKET,REMOVED & REPLACED,
100637,"L/H ENGINE, ALTERNATOR COOLING HOSE CHAFING AGAINST ALTERNATOR ""BAT"" CABLE.",Ok,L/H ENGINE,ALTERNATOR COOLING HOSE,CHAFING,REPOSITIONED ALTERNATOR COOLING HOSE.,,,,ALTERNATOR COOLING HOSE,REPOSITIONED,
100638,FORWARD L/H BAFFLE IS CRACKED BELOW SHROUD AIR INTAKE.,Ok,FORWARD L/H BELOW SHROUD AIR INTAKE,BAFFLE,CRACKED,FABRICATED PATCH OUT OF LIKE MATERIAL & INSTALLED. RIVE,,,,"PATCH, RIVE",FABRICATED & INSTALLED,
100639,REAR R/H BAFFLE RIVETS MISSING.,Ok,REAR R/H,BAFFLE RIVET,MISSING,"REMOVED BAFFLE, REPLACED RIVETS, REINSTALLED BAFFLE.",,,,"BAFFLE, RIVET","REMOVED & REINSTALLED, REPLACED",
100640,"R/H ENGINE, L/H REAR BAFFLE CRACKED.",Ok,"R/H ENGINE, L/H REAR",BAFFLE,CRACKED,PREVIOUSLY REPAIRED BY STOP DRILLING CRACK.,,,,DRILLED CRACK,STOP,
100641,R/H ENGINE #2 & 4 INDUCTION TUBE GASKETS LEAKING.,Ok,R/H ENGINE #2 & 4,INDUCTION TUBE GASKET,LEAKING,REMOVED & REPLACED #2 & 4 INTAKE GASKETS.,,,,INTAKE GASKET,REMOVED & REPLACED,
100642,"L/H ENGINE #2, 3 & 4 INDUCTION TUBE GASKETS LEAKING.",Ok,"L/H ENGINE #2, 3 & 4",INDUCTION TUBE GASKET,LEAKING,"REMOVED & REPLACED INTAKE GASKETS #2, 3 & 4.",,,,INTAKE GASKET,REMOVED & REPLACED,
100643,"L/H ENGINE, ALL ROCKER BOX COVER GASKETS LEAKING.",Ok,L/H ENGINE ALL,ROCKER BOX COVER GASKET,LEAKING,"REMOVED & REPLACED #1, 2, 3 & 4 ROCKER COVER GASKETS.",,,,ROCKER COVER GASKET,REMOVED & REPLACED,
100644,"ENGINE BAFFLING CRACKED, R/H SIDE, ABOVE #1 CYLINDER.",Ok,"R/H SIDE, ABOVE #1 CYLINDER",BAFFLE,CRACKED,CLEANED UP EDGES & INSTALLED.,,,,,CLEANED UP & INSTALLED,
100645,FIREWALL CRACKED BY BATTERY BOX.,Ok,FIREWALL,BATTERY BOX,CRACKED,"ASSEMBLED, FITTED, PRIMED & PAINTED BRACKET & INSTALLED",,,,BRACKET,"ASSEMBLED & FITTED & PRIMED & PAINTED, INSTALLED",
100646,"ENGINE BAFFLING CRACKED, R/H SIDE, ABOVE #1 CYLINDER.",Ok,"R/H SIDE, ABOVE #1 CYLINDER",BAFFLE,CRACKED,FABRICATED NEW R/H BAFFLE WITH LIKE MATERIAL.,,WITH LIKE MATERIAL,,BAFFLE,FABRICATED,
100647,#2 INTAKE LEAKING.,Ok,#2,INTAKE,LEAKING,REMOVED & REPLACED #2 INTAKE GASKET.,,,,INTAKE GASKET,REMOVED & REPLACED,
100648,#2 & 4 INTAKE GASKETS LEAKING.,Ok,#2 & 4,INTAKE GASKET,LEAKING,REMOVED & REPLACED GASKETS.,,,,GASKET,REMOVED & REPLACED,
100649,#2 & 4 ROCKER GASKETS ARE LEAKING.,Ok,#2 & 4,ROCKER GASKET,LEAKING,REMOVED & REPLACED #2 & 4 GASKETS.,,,,GASKET,REMOVED & REPLACED,
100650,#3 EXHAUST I/B PUSH ROD SEAL IS LEAKING.,Ok,#3,EXHAUST I/B PUSH ROD SEAL,LEAKING,REPLACED INNER & OUTER PUSH ROD SEALS ON #3 CYLINDER AS WELL,,,,INNER & OUTER PUSH ROD SEAL,REPLACED,
100651,"INTAKES 2, 3 & 4 LEAKING ON R/H ENGINE.",Ok,"2, 3 & 4 R/H ENGINE",INTAKE,LEAKING,REMOVED & REPLACED GASKETS.,,,,GASKET,REMOVED & REPLACED,
100652,"INTAKES 2, 3 & 4 LEAKING ON L/H ENGINE.",Ok,"INTAKES 2, 3 & 4 ON L/H ENGINE",INTAKE,LEAKING,REMOVED & REPLACED INTAKE GASKETS.,,,,INTAKE GASKET,REMOVED & REPLACED,
100653,ROCKER COVER 1 & 4 LEAKING ON L/H ENGINE.,Ok,1 & 4 L/H ENGINE,ROCKER COVER,LEAKING,REMOVED & REPLACED ROCKER COVER GASKETS.,,,,ROCKER COVER GASKET,REMOVED & REPLACED,
100654,#3 ROCKER COVER LEAKING.,Ok,#3,ROCKER COVER,LEAKING,REMOVED & REPLACED ROCKER COVER GASKET WITH NEW.,,WITH NEW,,ROCKER COVER GASKET,REMOVED & REPLACED,
100655,#2 INTAKE LEAKING.,Ok,#2,INTAKE,LEAKING,REMOVED & REPLACED #2 INTAKE GASKET.,,,,INTAKE GASKET,REMOVED & REPLACED,
100656,#2 & 4 ROCKER COVERS ARE LEAKING.,Ok,#2 & 4,ROCKER COVER,LEAKING,REMOVED & REPLACED ROCKER COVER GASKETS.,,,,ROCKER COVER GASKET,REMOVED & REPLACED,
100657,#3 CYLINDER AFT BAFFLE IS CRACKED.,Ok,#3 CYLINDER AFT,BAFFLE,CRACKED,STOP DRILLED CRACK.,,,,DRILLED CRACK,STOP,
100658,#2 & 4 CYLINDER OIL RETURN LINE HOSE CLAMPS LOOSE.,Ok,#2 & 4 CYLINDER,OIL RETURN LINE HOSE CLAMP,LOOSE,TIGHTENED CLAMPS.,,,,CLAMP,TIGHTENED,
100659,"MIXTURE LINKAGE LOOSE, MISSING SPRING WASHER.",Ok,,"MIXTURE LINKAGE, SPRING WASHER","LOOSE, MISSING",REPLACED SPRING WASHERS & SAFETIED.,,,,SPRING WASHER,REPLACED & SAFETIED,
100660,#3 ROCKER COVER LEAKING.,Ok,#3,ROCKER COVER,LEAKING,REMOVED & REPLACED ROCKER COVER.,,,,ROCKER COVER,REMOVED & REPLACED,
100661,#1 FORWARD BAFFLE IS WORN THROUGH.,Ok,#1 FORWARD,BAFFLE,WORN,FABRICATED NEW SECTION FROM LIKE MATERIAL AS ORIGINAL &,,,NEW,SECTION,FABRICATED,
100662,#2 INTAKE GASKET LEAKING.,Ok,#2,INTAKE GASKET,LEAKING,REMOVED & REPLACED #2 INTAKE GASKET.,,,,INTAKE GASKET,REMOVED & REPLACED,
100663,R/H BACK BAFFLE SCREW IS MISSING.,Ok,R/H BACK,BAFFLE SCREW,MISSING,INSTALLED NEW SCREW.,,,NEW,SCREW,INSTALLED,
100664,#2 INTAKE GASKET LEAKING.,Ok,#2,INTAKE GASKET,LEAKING,REMOVED & REPLACED #2 INTAKE GASKET.,,,,INTAKE GASKET,REMOVED & REPLACED,
100665,#1 & 3 ROCKER COVER GASKETS LEAKING.,Ok,#1 & 3,ROCKER COVER GASKET,LEAKING,REMOVED & REPLACED #1 & 3 ROCKER COVER GASKETS.,,,,ROCKER COVER GASKET,REMOVED & REPLACED,
100666,"R/H ENGINE #2, 3 INDUCTION IS LEAKING.",Ok,"R/H ENGINE #2, 3",INDUCTION,LEAKING,"REMOVED & REPLACED #2, 3 INDUCTION TUBE GASKET ON R/H E",,,,INDUCTION TUBE GASKET,REMOVED & REPLACED,
100667,#3 & 4 ROCKER COVER GASKETS ARE BROKEN.,Ok,#3 & 4,ROCKER COVER GASKET,BROKEN,REMOVED & REPLACED #3 & 4 ROCKER COVER GASKETS.,,,,ROCKER COVER GASKET,REMOVED & REPLACED,
100668,#3 ROCKER COVER GASKET IS TORN.,Ok,#3,ROCKER COVER GASKET,TORN,REMOVED & REPLACED ROCKER COVER GASKET.,,,,ROCKER COVER GASKET,REMOVED & REPLACED,
100669,"#1, 3 & 4 ROCKER COVER GASKETS ARE TORN.",Ok,"#1, 3 & 4",ROCKER COVER GASKET,TORN,REMOVED & REPLACED ROCKER COVER GASKETS.,,,,ROCKER COVER GASKET,REMOVED & REPLACED,
100670,PILOT COULDN'T REMOVE DIPSTICK.,DIFFICULT,,,,REMOVED DIPSTICK FOR PILOT.,,,,DIPSTICK,REMOVED,
100671,#3 AFT BAFFLE GROMMET TORN.,Ok,#3 AFT,BAFFLE GROMMET,TORN,INSTALLED NEW GROMMET.,,,NEW,GROMMET,INSTALLED,
100672,#3 & 4 ROCKER BOX COVER GASKETS LEAKING.,Ok,#3 & 4,ROCKER BOX COVER GASKET,LEAKING,REMOVED & REPLACED #3 & 4 ROCKER COVER GASKETS.,,,,ROCKER COVER GASKET,REMOVED & REPLACED,
100673,#2 & 4 INTAKE GASKETS LEAKING.,Ok,#2 & 4,INTAKE GASKET,LEAKING,REMOVED & REPLACED GASKETS.,,,,GASKET,REMOVED & REPLACED,
100674,#1 & 3 INTAKE GASKETS LEAKING.,Ok,#1 & 3,INTAKE GASKET,LEAKING,REMOVED & REPLACED #1 & 3 INTAKE GASKETS WITH NEW.,,WITH NEW,,INTAKE GASKET,REMOVED & REPLACED,
100675,INTAKES 2 & 4 LEAKING ON R/H ENGINE.,Ok,2 & 4 R/H ENGINE,INTAKE,LEAKING,REMOVED & REPLACED INTAKE GASKETS.,,,,INTAKE GASKET,REMOVED & REPLACED,
100676,"INTAKES 2, 3 & 4 LEAKING ON L/H ENGINE.",Ok,"INTAKES 2, 3 & 4 L/H ENGINE",INTAKE,LEAKING,REMOVED & REPLACED INTAKE GASKETS.,,,,INTAKE GASKET,REMOVED & REPLACED,
100677,ROCKER COVERS 3 & 4 LEAKING ON L/H ENGINE.,Ok,3 & 4 L/H ENGINE,ROCKER COVER,LEAKING,REMOVED & REPLACED ROCKER COVER GASKETS.,,,,ROCKER COVER GASKET,REMOVED & REPLACED,
100678,"ROCKER COVERS 1, 2 & 3 LEAKING ON R/H ENGINE.",Ok,"1, 2 & 3 ON R/H ENGINE",ROCKER COVER,LEAKING,REMOVED & REPLACED ROCKER COVER GASKETS.,,,,ROCKER COVER GASKET,REMOVED & REPLACED,
100679,R/H ENGINE #3 & 2 INTAKES LEAK.,Ok,R/H ENGINE #3 & 2,INTAKE,LEAKING,REMOVED & REPLACED GASKETS.,,,,GASKET,REMOVED & REPLACED,
100680,#3 INTAKE IS LEAKING ON L/H ENGINE.,Ok,#3 L/H ENGINE,INTAKE,LEAKING,REMOVED & REPLACED GASKET.,,,,GASKET,REMOVED & REPLACED,
100681,#4 ROCKER COVER GASKET LEAKING.,Ok,#4,ROCKER COVER GASKET,LEAKING,REMOVED & REPLACED ROCKER COVER GASKET.,,,,ROCKER COVER GASKET,REMOVED & REPLACED,
100682,ROCKER BOX COVER SCREWS LOOSE.,Ok,,ROCKER BOX COVER SCREW,LOOSE,TIGHTENED SCREWS.,,,,SCREW,TIGHTENED,
100683,#2 ROCKER BOX COVER GASKET LEAKS.,Ok,#2,ROCKER BOX COVER GASKET,LEAKING,REMOVED & REPLACED #2 COVER GASKET.,,,,COVER GASKET,REMOVED & REPLACED,
100684,#1 & 3 CYLINDER LOWER BAFFLE IS CRACKED.,Ok,#1 & 3 CYLINDER,LOWER BAFFLE,CRACKED,"REMOVED #1 CYLINDER INTAKE TUBE, REMOVED & REPLACED BAFFLE.",,,,"INTAKE TUBE, BAFFLE","REMOVED, REMOVED & REPLACED",
100685,#1 INTAKE TUBE WAS CANNED,Ok,#1,INTAKE TUBE,CANNED,"INSTALLED NEW INTAKE TUBE, O-RING & GASKET.",,,NEW,"INTAKE TUBE, O-RING & GASKET",INSTALLED,
100686,L/H #2 INTAKE GASKET LEAKING.,Ok,L/H #2,INTAKE GASKET,LEAKING,REMOVED & REPLACED #2 INTAKE GASKET WITH NEW.,,WITH NEW,,INTAKE GASKET,REMOVED & REPLACED,
100687,R/H ENGINE #2 & 3 INTAKES LEAKING.,Ok,R/H ENGINE #2 & 3,INTAKE,LEAKING,REMOVED & REPLACED INTAKE GASKETS WITH NEW.,,WITH NEW,,INTAKE GASKET,REMOVED & REPLACED,
100688,R/H ENGINE #3 ROCKER COVER GASKET LEAKING.,Ok,R/H ENGINE #3,ROCKER COVER GASKET,LEAKING,REMOVED & REPLACED ROCKER COVER GASKET.,,,,ROCKER COVER GASKET,REMOVED & REPLACED,
100689,R/H ENGINE #2 CYLINDER ROCKER COVER GASKET IS SPLIT.,Ok,R/H ENGINE #2 CYLINDER,ROCKER COVER GASKET,SPLIT,REPLACED GASKET.,,,,GASKET,REPLACED,
100690,R/H ENGINE #4 INDUCATION TUBE GASKET LEAKING.,Ok,R/H ENGINE #4,INDUCATION TUBE GASKET,LEAKING,REPLACED #4 R/H INTAKE TUBE GASKET.,,,,INTAKE TUBE GASKET,REPLACED,
100691,#4 CYLINDER INTAKE TUBE LEAKING.,Ok,#4 CYLINDER,INTAKE TUBE,LEAKING,REMOVED & REPLACED INTAKE GASKET.,,,,INTAKE GASKET,REMOVED & REPLACED,
100692,#2 INTAKE IS LEAKING.,Ok,#2,INTAKE,LEAKING,REMOVED & REPLACED INTAKE GASKET.,,,,INTAKE GASKET,REMOVED & REPLACED,
100693,#1 INTAKE LEAKING.,Ok,#1,INTAKE,LEAKING,REPLACED GASKET.,,,,GASKET,REPLACED,
100694,#2 EXHAUST DRY LIFTER CLEARANCE IS TOO TIGHT.,Ok,#2,EXHAUST DRY LIFTER CLEARANCE,TIGHT,"REMOVED, INSPECTED & DETERMINED TO BE SERVICEABLE PUSH",,,,PUSH,REMOVED & INSPECTED & DETERMINED,
100695,#2 EXHAUST LIFTER PLUNGER ASSEMBLY CAME APART WHEN CLEANED.,Ok,#2,EXHAUST LIFTER PLUNGER ASSEMBLY,CAME APART,REMOVED PLUNGER ASSEMBLY FROM CORE ENGINE,,,,PLUNGER ASSEMBLY,REMOVED,
100696,ENGINE RUNS ROUGH ON START. MX HAND SPUN PROP & REPORTED 1 CYLINDER,Ok,ENGINE,,RUN ROUGH,PERFORMED COMPRESSION CHECK & FOUND #3 EXHAUST VALVE ST,,,,COMPRESSION,CHECKED,FOUND #3 EXHAUST VALVE ST
100697,ENGINE RUNS ROUGH ON START. MX HAND SPUN PROP & REPORTED 1 CYLINDER,Ok,ENGINE,,RUN ROUGH,REMOVED & REPLACED #3 CYLINDER IAW LYCOMING O/H MANUAL.,,,,CYLINDER,REMOVED & REPLACED,
100698,R/H ENGINE #3 INDUCTION TUBE GASKET LEAKING.,Ok,R/H ENGINE #3,INDUCTION TUBE GASKET,LEAKING,INSTALLED NEW #3 INDUCTION TUBE GASKET.,,,NEW,INDUCTION TUBE GASKET,INSTALLED,
100699,BAFFLE SEAL LOOSE ON LEFT SIDE OF ENGINE.,Ok,LEFT SIDE OF ENGINE,BAFFLE SEAL,LOOSE,SECURED BAFFLE SEAL.,,,,BAFFLE SEAL,SECURED,
100700,LEFT DOOR WOULD NOT LATCH.,Ok,LEFT,DOOR,WOULDN'T LATCH,"ADJUSTED STRIKER PLATE, DOOR. OPS CHECK GOOD.",,,,"STRIKER PLATE, DOOR",ADJUSTED,
100701,CYLINDER #2 INTAKE GASKET LEAKING.,Ok,CYLINDER #2,INTAKE GASKET,LEAKING,REMOVED & REPLACED INTAKE GASKET.,,,,INTAKE GASKET,REMOVED & REPLACED,
100702,"INTAKES 2, 3 & 4 LEAKING ON L/H ENGINE.",Ok,"2, 3 & 4 ON L/H ENGINE",INTAKE,LEAKING,REPLACED INTAKE GASKETS.,,,,INTAKE GASKET,REPLACED,
100703,BAFFLE SEALS NEED TO BE RESECURED ON BOTH ENGINES.,Ok,BOTH ENGINES,BAFFLE SEAL,NEED RESECURING,RESECURED BAFFLE SEALS.,,,,BAFFLE SEAL,RESECURED,
100704,"INTAKES 2, 3 & 4 LEAKING ON R/H ENGINE.",Ok,"2, 3 & 4 R/H ENGINE",INTAKE,LEAKING,REMOVED & REPLACED INTAKE GASKETS. CLEANED AREA OF LEAK,,,,"INTAKE GASKET,  LEAK","REMOVED & REPLACED, CLEANED",
100705,#2 INTAKE IS LEAKING.,Ok,#2,INTAKE,LEAKING,REMOVED & REPLACED GASKET.,,,,GASKET,REMOVED & REPLACED,
100706,#2 ROCKER COVER IS LEAKING.,Ok,#2,ROCKER COVER,LEAKING,REMOVED & REPLACED GASKET.,,,,GASKET,REMOVED & REPLACED,
100707,#2 INTAKE LEAKING.,Ok,#2,INTAKE,LEAKING,REMOVED & REPLACED #2 INTAKE GASKET.,,,,INTAKE GASKET,REMOVED & REPLACED,
100708,R/H SIDE COWL SEAL IS LOOSE.,Ok,R/H SIDE,COWL SEAL,LOOSE,SECURED SEAL.,,,,SEAL,SECURED,
100709,HARDWARE MISSING ON R/H AFT BAFFLE.,Ok,R/H AFT,BAFFLE HARDWARE,MISSING,INSTALLED NEW HARDWARE IN AFT R/H BAFFLE.,,,NEW,HARDWARE,INSTALLED,
100710,HARDWARE MISSING ON R/H AFT BAFFLE.,Ok,R/H AFT,BAFFLE HARDWARE,MISSING,INSTALLED NEW HARDWARE ON BAFFLE.,,,NEW,HARDWARE,INSTALLED,
100711,ENGINE BAFFLE PLUGS BAD.,Ok,ENGINE,BAFFLE PLUG,PLUGS BAD,INSTALLED NEW BAFFLE PLUGS.,,,NEW,BAFFLE PLUG,INSTALLED,
100712,#2 ROCKER BOX COVER GASKET LEAKING.,Ok,#2,ROCKER BOX COVER GASKET,LEAKING,INSTALLED NEW #2 ROCKER BOX COVER GASKET.,,,NEW,ROCKER BOX COVER GASKET,INSTALLED,
100713,"CYLINDER #1 & 3 INTAKES ARE LEAKING, L/H ENGINE.",Ok,"CYLINDER #1 & 3, L/H ENGINE",INTAKE,LEAKING,REPLACED INTAKE GASKETS.,,,,INTAKE GASKET,REPLACED,
100714,R/H ENGINE CYLINDER #2 INTAKE IS LEAKING.,Ok,R/H ENGINE CYLINDER #2,INTAKE,LEAKING,REPLACED R/H CYLINDER #2 INTAKE GASKET.,,,,INTAKE GASKET,REPLACED,
100715,"CYLINDER #2 INTAKE IS LEAKING, L/H ENGINE.",Ok,CYLINDER #2 L/H ENGINE,INTAKE,LEAKING,REPLACED CYLINDER #2 L/H INTAKE TUBE GASKET.,,,,INTAKE TUBE GASKET,REPLACED,
100716,R/H ENGINE CORNER BRACKET BY PROP CABLE IS CRACKED.,Ok,R/H ENGINE CORNER,BRACKET,CRACKED,REMOVED & REPLACED BRACKET.,,,,BRACKET,REMOVED & REPLACED,
100717,"R/H ENGINE CYLINDER #2, 3 ROCKER COVERS ARE LEAKING.",Ok,"R/H ENGINE CYLINDER #2, 3",ROCKER COVER,LEAKING,REMOVED & REPLACED ROCKER COVER GASKETS.,,,,ROCKER COVER GASKET,REMOVED & REPLACED,
100718,"RAN ENGINE START CKLIST 3 TIMES, TRIED COLD START CKLIST 2 T",DIFFICULT,,,,"STARTED ENGINE USING NORMAL PROCEDURES, OPS CHECK GOOD.",,,,ENGINE,STARTED,
100719,CYLINDER #4 INTAKE IS LEAKING.,Ok,CYLINDER #4,INTAKE,LEAKING,REMOVED & REPLACED INTAKE GASKET.,,,,INTAKE GASKET,REMOVED & REPLACED,
100720,CYLINDER #1/3 BAFFLE SPRING BROKEN.,Ok,CYLINDER #1/3,BAFFLE SPRING,BROKEN,REPLACED #1/3 BAFFLE SPRING.,,,,BAFFLE SPRING,REPLACED,
100721,REAR R/H BAFFLE BRACKET RIVETS SHEARED.,Ok,REAR R/H,BAFFLE BRACKET RIVET,SHEARED,"REMOVED BAFFLE, REPLACED RIVETS, REINSTALLED BAFFLE.",,,,"BAFFLE, RIVET, BAFFLE","REMOVED, REPLACED, REINSTALLED",
100722,#2 INTAKE IS LEAKING.,Ok,#2,INTAKE,LEAKING,REMOVED & REPLACED #2 INTAKE GASKET.,,,,INTAKE GASKET,REMOVED & REPLACED,
100723,BACK R/H BAFFLE BACK BRACKET RIVET HEAD IS SHEARED OFF.,Ok,BACK R/H,BAFFLE BRACKET RIVET HEAD,SHEARED,"REMOVED R/H BACK BAFFLE, INSTALLED BRACKET WITH SCREWS. I",,,WITH SCREWS,"BAFFLE, BRACKET","REMOVED, INSTALLED",
100724,"SCREW MISSING, AFT BAFFLE BRACKET.",Ok,AFT BAFFLE BRACKET,BAFFLE BRACKET SCREW,MISSING,INSTALLED SCREW.,,,,SCREW,INSTALLED,
100725,SCREW MISSING ON BAFFLE ABOVE #3 CYLINDER.,Ok,ABOVE #3 CYLINDER,BAFFLE SCREW,MISSING,INSTALLED SCREW.,,,,SCREW,INSTALLED,
100726,BAFFLE CRACKED ABOVE #1 CYLINDER.,Ok,ABOVE #1 CYLINDER,BAFFLE,CRACKED,"REMOVED BAFFLE, STOP DRILLED CRACK. FABRICATED PATCH, P",,,,"BAFFLE,DRILLED CRACK,  PATCH","REMOVED, STOP , FABRICATED",
100727,REAR BAFFLE PLUGS WORN OUT.,Ok,REAR,BAFFLE PLUG,WORN,REPLACED BOTH PLUGS WITH NEW.,,WITH NEW,,PLUG,REPLACED,
100728,STAND OFF NEEDED FOR FUEL LINE ON TOP OF ENGINE.,Ok,TOP OF ENGINE,FUEL LINE,NEED STAND OFF,CLAMPED STAND OFF @ PUSH ROD TUBE.,,,,STAND OFF,CLAMPED,
100729,R/H BAFFLE MISSING RIVET ON AFT SUPPORT BRACKET.,Ok,R/H BAFFLE AFT SUPPORT BRACKET,BAFFLE RIVET,MISSING,"REMOVED BAFFLE, REPAIRED BRACKET & STRIPPED OIL COOLER",,,,"BAFFLE, BRACKET, OIL COOLER","REMOVED, REPAIRED & STRIPPED",
100730,R/H ENGINE #4 INTAKE GASKET LEAKING.,Ok,R/H ENGINE #4,INTAKE GASKET,LEAKING,REPLACED R/H #4 INTAKE GASKET.,,,,INTAKE GASKET,REPLACED,
100731,R/H ENGINE #3 INDUCTION TUBE GASKET LEAKING.,Ok,R/H ENGINE #3,INDUCTION TUBE GASKET,LEAKING,REPLACED R/H #3 INTAKE GASKET.,,,,INTAKE GASKET,REPLACED,
100732,L/H ENGINE #3 INDUCTION TUBE GASKET LEAKING.,Ok,L/H ENGINE #3,INDUCTION TUBE GASKET,LEAKING,"REPLACED INTAKE TUBE GASKET, L/H #3.",,,,INTAKE TUBE GASKET,REPLACED,
100733,"R/H ENGINE, L/H FORWARD BAFFLE & L/H AFT BAFFLE MISSING SCREWS.",Ok,"R/H ENGINE, L/H FORWARD & L/H AFT",BAFFLE SCREW,MISSING,"REPLACED R/H ENGINE, L/H FORWARD & L/H AFT BAFFLE SCREWS.",,,,BAFFLE SCREW,REPLACED,
100734,CYLINDER #1 INTAKE LEAKS.,Ok,CYLINDER #1,INTAKE,LEAKING,REMOVED & REPLACED CYLINDER #1 INTAKE GASKET.,,,,INTAKE GASKET,REMOVED & REPLACED,
100735,"L/H BAFFLE, SPARK PLUG ACCESS PLUG WORN TABS.",Ok,L/H,BAFFLE SPARK PLUG ACCESS PLUG TABS,WORN,REMOVED & REPLACED BROKEN BAFFLE PLUG.,,,,BAFFLE PLUG,REMOVED & REPLACED,
100736,CYLINDER #2 INTAKE IS LEAKING.,Ok,CYLINDER #2,INTAKE,LEAKING,REPLACED INTAKE GASKET.,,,,INTAKE GASKET,REPLACED,
100737,#3 & 4 ROCKER GASKETS ARE LEAKING.,Ok,#3 & 4,ROCKER GASKET,LEAKING,REPLACED GASKETS.,,,,GASKET,REPLACED,
100738,A/C WON'T START.,Ok,,A/C,WON'T START,"ATTEMPTED TO START A/C FOR PILOT. BATTERY WAS DEAD,",,,,A/C,START,BATTERY WAS DEAD
100739,A/C WON'T START.,Ok,,A/C,WON'T START,"ATTEMPTED TO START A/C FOR PILOT, BATTERY WAS DEAD.",,,,A/C,START,BATTERY WAS DEAD
